POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;*Extra 10;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;2;Classified;49;58:09.388;-;-;18;1:05.818;106.8;DS Virgin Racing;;;1087;DS Virgin DSV-02;;;;;;;;;;;;Sam;BIRD;;GBR;GBR;BIR;;;;;;
2;19;Classified;49;58:20.769;+11.381;+11.381;15;1:05.558;107.2;Mahindra Racing;;;8005;Mahindra M3Electro;;;;;;;;;;;;Felix;ROSENQVIST;;SWE;SWE;FRO;;;;;;
3;23;Classified;49;58:21.707;+12.319;+0.938;17;1:05.619;107.1;Mahindra Racing;;;1099;Mahindra M3Electro;;;;;;;;;;;;Nick;HEIDFELD;;DEU;DEU;HEI;;;;;;
4;9;Classified;49;58:21.743;+12.355;+0.036;11;1:05.598;107.2;Renault e.dams;;;1090;Renault Z.E. 16;;;;;;;;;;;;Pierre;GASLY;;FRA;FRA;GAS;;;;;;
5;11;Classified;49;58:32.839;+23.451;+11.096;30;1:05.922;106.7;ABT Schaeffler Audi Sport;;;1098;ABT Schaeffler FE02;;;;;;;;;;;;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
6;8;Classified;49;58:39.858;+30.470;+7.019;30;1:06.182;106.2;Renault e.dams;;;2032;Renault Z.E. 16;;;;;;;;;;;;Nicolas;PROST;;FRA;FRA;PRO;;;;;;
7;4;Classified;49;58:51.250;+41.862;+11.392;20;1:06.291;106.1;Venturi Formula E Team;;;8003;Venturi VM200-FE-02;;;;;;;;;;;;Tom;DILLMANN;;FRA;FRA;DIL;;;;;;
8;25;Classified;49;59:01.680;+52.292;+10.430;10;1:05.522;107.3;TECHEETAH;;;1086;Renault Z.E. 16;;;;;;;;;;;;Jean-Eric;VERGNE;;FRA;FRA;VER;;;;;;
9;27;Classified;49;59:09.863;+1:00.475;+8.183;34;1:05.668;107.1;Andretti Formula E;;;9093;Andretti ATEC-02;;;;;;;;;;;;Robin;FRIJNS;;NLD;NLD;FRI;;;;;;
10;7;Classified;49;59:22.047;+1:12.659;+12.184;7;1:06.315;106.0;Faraday Future Dragon Racing;;;1084;Penske 701-EV;;;;;;;;;;;;Jérôme;D'AMBROSIO;;BEL;BEL;DAM;;;;;;
11;47;Classified;49;59:50.522;+1:41.134;+28.475;11;1:06.259;106.1;Panasonic Jaguar Racing;;;8006;Jaguar I-Type 1;;;;;;;;;;;;Adam;CARROLL;;GBR;GBR;CAR;;;;;;
12;33;Classified;48;57:57.004;1 Lap;1 Lap;25;1:05.676;107.1;TECHEETAH;;;1113;Renault Z.E. 16;;;;;;;;;;;;Stéphane;SARRAZIN;;FRA;FRA;SAR;;;;;;
13;6;Classified;48;57:58.458;1 Lap;+1.454;26;1:06.312;106.0;Faraday Future Dragon Racing;;;9082;Penske 701-EV;;;;;;;;;;;;Loïc;DUVAL;;FRA;FRA;DUV;;;;;;
14;88;Classified;48;58:10.432;1 Lap;+11.974;48;1:05.365;107.6;NEXTEV NIO;;;9092;NextEV TCR Formula 002;;;;;;;;;;;;Oliver;TURVEY;;GBR;GBR;TUR;;;;;;
15;28;Classified;48;58:15.699;1 Lap;+5.267;14;1:06.344;106.0;Andretti Formula E;;;3177;Andretti ATEC-02;;;;;;;;;;;;Antonio Felix;DA COSTA;;PRT;PRT;DAC;;;;;;
16;3;Classified;46;56:29.567;3 Laps;2 Laps;46;1:04.754;108.6;NEXTEV NIO;;;9069;NextEV TCR Formula 002;;;;;;;;;;;;Nelson;PIQUET JR;;BRA;BRA;PIQ;;;;;;
;5;Not classified;22;57:47.674;;;22;1:03.942;110.0;Venturi Formula E Team;;;8003;Venturi VM200-FE-02;;;;;;;;;;;;Maro;ENGEL;;DEU;DEU;ENG;;;;;;
;37;Not classified;19;22:49.646;;;11;1:06.147;106.3;DS Virgin Racing;;;8004;DS Virgin DSV-02;;;;;;;;;;;;Alex;LYNN;;GBR;GBR;LYN;;;;;;
;66;Not classified;18;57:17.959;;;7;1:03.898;110.0;ABT Schaeffler Audi Sport;;;1080;ABT Schaeffler FE02;;;;;;;;;;;;Daniel;ABT;;DEU;DEU;ABT;;;;;;
;20;Not classified;5;6:20.951;;;4;1:06.895;105.1;Panasonic Jaguar Racing;;;8007;Jaguar I-Type 1;;;;;;;;;;;;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
