NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;0;1;1:50.374;0;;1:09.164;0;19.026;0;22.184;0;63.7;1:50.374;13:07:07.818;1:09.164;0:19.026;0:22.184;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;2;1:07.785;0;;26.969;0;18.703;0;22.113;0;103.7;2:58.159;13:08:15.603;0:26.969;0:18.703;0:22.113;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;3;1:07.190;0;;26.695;0;18.583;0;21.912;0;104.6;4:05.349;13:09:22.793;0:26.695;0:18.583;0:21.912;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;4;1:06.879;0;;26.431;0;18.636;0;21.812;0;105.1;5:12.228;13:10:29.672;0:26.431;0:18.636;0:21.812;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;5;1:07.134;0;;26.368;0;18.657;0;22.109;0;104.7;6:19.362;13:11:36.806;0:26.368;0:18.657;0:22.109;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;6;1:07.732;0;;26.788;0;19.362;0;21.582;0;103.8;7:27.094;13:12:44.538;0:26.788;0:19.362;0:21.582;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;7;1:06.949;0;;26.445;0;18.499;0;22.005;0;105.0;8:34.043;13:13:51.487;0:26.445;0:18.499;0:22.005;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;8;1:07.015;0;;26.606;0;18.649;0;21.760;0;104.9;9:41.058;13:14:58.502;0:26.606;0:18.649;0:21.760;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;9;1:51.276;0;;30.345;0;44.353;0;36.578;0;63.2;11:32.334;13:16:49.778;0:30.345;0:44.353;0:36.578;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;10;1:06.760;0;;26.401;0;18.473;0;21.886;0;105.3;12:39.094;13:17:56.538;0:26.401;0:18.473;0:21.886;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;11;1:06.914;0;;26.401;0;18.513;0;22.000;0;105.1;13:46.008;13:19:03.452;0:26.401;0:18.513;0:22.000;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;12;1:06.988;0;;26.384;0;18.625;0;21.979;0;105.0;14:52.996;13:20:10.440;0:26.384;0:18.625;0:21.979;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
