NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;1:40.515;0;;42.379;0;28.845;0;29.291;0;85.1;1:40.515;14:31:40.515;0:42.379;0:28.845;0:29.291;;Lucas DI GRASSI;0:00:09.137;;4;Audi Sport ABT Schaeffler;;
1;0;2;1:29.722;0;;31.654;0;30.492;0;27.576;0;95.4;3:10.237;14:33:10.237;0:31.654;0:30.492;0:27.576;;Lucas DI GRASSI;;;4;Audi Sport ABT Schaeffler;;
1;0;3;1:09.620;4;;25.290;2;21.303;4;23.027;4;122.9;4:19.857;14:34:19.857;0:25.290;0:21.303;0:23.027;;Lucas DI GRASSI;;;4;Audi Sport ABT Schaeffler;;
19;0;1;2:23.067;0;;1:22.516;0;30.544;0;30.007;0;59.8;2:23.067;14:32:23.067;1:22.516;0:30.544;0:30.007;;Felix ROSENQVIST;0:00:48.559;;4;Mahindra Racing;;
19;0;2;1:20.214;0;;30.412;0;25.432;0;24.370;0;106.7;3:43.281;14:33:43.281;0:30.412;0:25.432;0:24.370;;Felix ROSENQVIST;;;4;Mahindra Racing;;
19;0;3;1:09.951;2;;25.214;2;21.460;2;23.277;2;122.3;4:53.232;14:34:53.232;0:25.214;0:21.460;0:23.277;;Felix ROSENQVIST;;;4;Mahindra Racing;;
2;0;1;1:43.019;0;;43.595;0;29.237;0;30.187;0;83.1;1:43.019;14:31:43.019;0:43.595;0:29.237;0:30.187;;Sam BIRD;0:00:09.997;;4;DS Virgin Racing;;
2;0;2;1:37.230;0;;33.187;0;36.186;0;27.857;0;88.0;3:20.249;14:33:20.249;0:33.187;0:36.186;0:27.857;;Sam BIRD;;;4;DS Virgin Racing;;
2;0;3;1:10.087;2;;25.253;2;21.740;2;23.094;2;122.1;4:30.336;14:34:30.336;0:25.253;0:21.740;0:23.094;;Sam BIRD;;;4;DS Virgin Racing;;
25;0;1;3:00.281;0;;2:06.044;0;27.092;0;27.145;0;47.5;3:00.281;14:33:00.281;2:06.044;0:27.092;0:27.145;;Jean-Eric VERGNE;0:01:26.142;;4;TECHEETAH;;
25;0;2;1:09.765;2;;25.129;3;21.440;2;23.196;2;122.7;4:10.046;14:34:10.046;0:25.129;0:21.440;0:23.196;;Jean-Eric VERGNE;;;4;TECHEETAH;;
9;0;1;1:31.730;0;;38.213;0;25.619;0;27.898;0;93.3;1:31.730;14:31:31.730;0:38.213;0:25.619;0:27.898;;Sébastien BUEMI;0:00:06.022;;4;Renault e.dams;;
9;0;2;1:22.990;0;;29.647;0;25.638;0;27.705;0;103.1;2:54.720;14:32:54.720;0:29.647;0:25.638;0:27.705;;Sébastien BUEMI;;;4;Renault e.dams;;
9;0;3;1:09.994;2;;25.204;2;21.579;2;23.211;2;122.3;4:04.714;14:34:04.714;0:25.204;0:21.579;0:23.211;;Sébastien BUEMI;;;4;Renault e.dams;;
