NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;11:08.962;0;;10:10.717;0;32.161;0;26.084;0;12.8;11:08.962;14:56:08.962;10:10.717;0:32.161;0:26.084;;Lucas DI GRASSI;0:09:32.835;;4;Audi Sport ABT Schaeffler;;
1;0;2;1:10.498;2;;25.143;2;21.423;2;23.932;2;121.4;12:19.460;14:57:19.460;0:25.143;0:21.423;0:23.932;;Lucas DI GRASSI;;;4;Audi Sport ABT Schaeffler;;
16;0;1;1:33.307;0;;38.358;0;28.405;0;26.544;0;91.7;1:33.307;14:46:33.307;0:38.358;0:28.405;0:26.544;;Oliver TURVEY;0:00:05.215;;1;NIO Formula E Team;;
16;0;2;1:09.735;2;;25.092;2;21.496;2;23.147;3;122.7;2:43.042;14:47:43.042;0:25.092;0:21.496;0:23.147;;Oliver TURVEY;;;1;NIO Formula E Team;;
25;0;1;8:37.220;0;;7:43.218;0;28.466;0;25.536;0;16.5;8:37.220;14:53:37.220;7:43.218;0:28.466;0:25.536;;Jean-Eric VERGNE;0:06:01.579;;4;TECHEETAH;;
25;0;2;1:09.991;2;;25.235;2;21.493;2;23.263;2;122.3;9:47.211;14:54:47.211;0:25.235;0:21.493;0:23.263;;Jean-Eric VERGNE;;;4;TECHEETAH;;
66;0;1;6:16.649;0;;5:19.493;0;30.962;0;26.194;0;22.7;6:16.649;14:51:16.649;5:19.493;0:30.962;0:26.194;;Daniel ABT;0:03:10.070;;1;Audi Sport ABT Schaeffler;;
66;0;2;1:09.472;3;;25.012;3;21.293;3;23.167;2;123.2;7:26.121;14:52:26.121;0:25.012;0:21.293;0:23.167;;Daniel ABT;;;1;Audi Sport ABT Schaeffler;;
7;0;1;3:56.109;0;;3:02.200;0;27.001;0;26.908;0;36.2;3:56.109;14:48:56.109;3:02.200;0:27.001;0:26.908;;Jérôme D'AMBROSIO;0:02:27.402;;3;DRAGON;;
7;0;2;1:10.054;2;;25.287;2;21.558;2;23.209;2;122.2;5:06.163;14:50:06.163;0:25.287;0:21.558;0:23.209;;Jérôme D'AMBROSIO;;;3;DRAGON;;
