NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;1:19.719;0;;32.136;0;23.111;0;24.472;0;107.3;1:19.719;18:05:03.941;0:32.136;0:23.111;0:24.472;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;2;1:14.541;0;;26.549;0;23.474;0;24.518;0;114.8;2:34.260;18:06:18.482;0:26.549;0:23.474;0:24.518;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;3;1:13.010;0;;26.336;0;22.677;0;23.997;2;117.2;3:47.270;18:07:31.492;0:26.336;0:22.677;0:23.997;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;4;1:13.067;0;;26.195;0;22.608;0;24.264;0;117.1;5:00.337;18:08:44.559;0:26.195;0:22.608;0:24.264;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;5;1:13.538;0;;26.338;0;22.814;0;24.386;0;116.4;6:13.875;18:09:58.097;0:26.338;0:22.814;0:24.386;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;6;1:13.760;0;;26.463;0;22.913;0;24.384;0;116.0;7:27.635;18:11:11.857;0:26.463;0:22.913;0:24.384;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;7;1:13.675;0;;26.433;0;22.810;0;24.432;0;116.1;8:41.310;18:12:25.532;0:26.433;0:22.810;0:24.432;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;8;1:13.860;0;;26.407;0;22.934;0;24.519;0;115.9;9:55.170;18:13:39.392;0:26.407;0:22.934;0:24.519;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;9;1:13.999;0;;26.490;0;22.903;0;24.606;0;115.6;11:09.169;18:14:53.391;0:26.490;0:22.903;0:24.606;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;10;1:13.910;0;;26.533;0;22.837;0;24.540;0;115.8;12:23.079;18:16:07.301;0:26.533;0:22.837;0:24.540;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;11;1:13.221;0;;26.341;0;22.553;0;24.327;0;116.9;13:36.300;18:17:20.522;0:26.341;0:22.553;0:24.327;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;12;1:13.152;0;;26.418;0;22.271;2;24.463;0;117.0;14:49.452;18:18:33.674;0:26.418;0:22.271;0:24.463;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
