NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;2:06.454;0;;1:08.715;0;27.865;0;29.874;0;53.0;2:06.454;09:32:06.454;1:08.715;0:27.865;0:29.874;;Lucas Di Grassi;0:00:43.344;;4;Audi Sport ABT Schaeffler;;
1;0;2;1:39.307;0;;22.996;0;32.773;0;43.538;0;67.4;3:45.761;09:33:45.761;0:22.996;0:32.773;0:43.538;;Lucas Di Grassi;;;4;Audi Sport ABT Schaeffler;;
1;0;3;1:03.166;2;;17.771;0;21.145;2;24.250;0;106.0;4:48.927;09:34:48.927;0:17.771;0:21.145;0:24.250;;Lucas Di Grassi;;;4;Audi Sport ABT Schaeffler;;
1;0;4;3:38.176;0;B;19.648;0;23.799;0;2:54.729;0;30.7;8:27.103;09:38:27.103;0:19.648;0:23.799;2:54.729;;Lucas Di Grassi;;;4;Audi Sport ABT Schaeffler;;
1;0;5;1:15.190;0;;24.525;0;23.981;0;26.684;0;89.1;9:42.293;09:39:42.293;0:24.525;0:23.981;0:26.684;;Lucas Di Grassi;0:02:30.114;;4;Audi Sport ABT Schaeffler;;
1;0;6;1:14.685;0;;23.630;0;25.887;0;25.168;0;89.7;10:56.978;09:40:56.978;0:23.630;0:25.887;0:25.168;;Lucas Di Grassi;;;4;Audi Sport ABT Schaeffler;;
1;0;7;1:05.481;0;;18.512;0;22.003;0;24.966;0;102.3;12:02.459;09:42:02.459;0:18.512;0:22.003;0:24.966;;Lucas Di Grassi;;;4;Audi Sport ABT Schaeffler;;
1;0;8;1:05.405;0;;18.441;0;21.929;0;25.035;0;102.4;13:07.864;09:43:07.864;0:18.441;0:21.929;0:25.035;;Lucas Di Grassi;;;4;Audi Sport ABT Schaeffler;;
1;0;9;1:04.942;0;;18.276;0;21.740;0;24.926;0;103.1;14:12.806;09:44:12.806;0:18.276;0:21.740;0:24.926;;Lucas Di Grassi;;;4;Audi Sport ABT Schaeffler;;
1;0;10;1:04.690;0;;18.228;0;21.597;0;24.865;0;103.5;15:17.496;09:45:17.496;0:18.228;0:21.597;0:24.865;;Lucas Di Grassi;;;4;Audi Sport ABT Schaeffler;;
1;0;11;1:04.908;0;;18.309;0;21.740;0;24.859;0;103.2;16:22.404;09:46:22.404;0:18.309;0:21.740;0:24.859;;Lucas Di Grassi;;;4;Audi Sport ABT Schaeffler;;
1;0;12;1:05.293;0;;18.358;0;21.838;0;25.097;0;102.6;17:27.697;09:47:27.697;0:18.358;0:21.838;0:25.097;;Lucas Di Grassi;;;4;Audi Sport ABT Schaeffler;;
1;0;13;1:20.181;0;;23.245;0;30.352;0;26.584;0;83.5;18:47.878;09:48:47.878;0:23.245;0:30.352;0:26.584;;Lucas Di Grassi;;;4;Audi Sport ABT Schaeffler;;
1;0;14;1:04.026;0;;18.112;0;21.443;0;24.471;0;104.6;19:51.904;09:49:51.904;0:18.112;0:21.443;0:24.471;;Lucas Di Grassi;;;4;Audi Sport ABT Schaeffler;;
1;0;15;1:18.419;0;;20.454;0;26.404;0;31.561;0;85.4;21:10.323;09:51:10.323;0:20.454;0:26.404;0:31.561;;Lucas Di Grassi;;;4;Audi Sport ABT Schaeffler;;
1;0;16;4:47.147;0;B;18.276;0;21.426;0;4:07.445;0;23.3;25:57.470;09:55:57.470;0:18.276;0:21.426;4:07.445;;Lucas Di Grassi;;;4;Audi Sport ABT Schaeffler;;
1;0;17;1:19.357;0;;24.272;0;25.703;0;29.382;0;84.4;27:16.827;09:57:16.827;0:24.272;0:25.703;0:29.382;;Lucas Di Grassi;0:03:48.062;;4;Audi Sport ABT Schaeffler;;
1;0;18;1:24.025;0;;20.470;0;27.751;0;35.804;0;79.7;28:40.852;09:58:40.852;0:20.470;0:27.751;0:35.804;;Lucas Di Grassi;;;4;Audi Sport ABT Schaeffler;;
1;0;19;1:05.102;0;;17.662;3;23.318;0;24.122;2;102.9;29:45.954;09:59:45.954;0:17.662;0:23.318;0:24.122;;Lucas Di Grassi;;;4;Audi Sport ABT Schaeffler;;
1;0;20;1:11.633;0;;19.432;0;25.586;0;26.615;0;93.5;30:57.587;10:00:57.587;0:19.432;0:25.586;0:26.615;;Lucas Di Grassi;;;4;Audi Sport ABT Schaeffler;;
16;0;1;2:08.329;0;;1:14.070;0;26.282;0;27.977;0;52.2;2:08.329;09:32:08.329;1:14.070;0:26.282;0:27.977;;Oliver Turvey;0:00:48.666;;4;NIO Formula E Team;;
16;0;2;1:21.155;0;;21.624;0;27.540;0;31.991;0;82.5;3:29.484;09:33:29.484;0:21.624;0:27.540;0:31.991;;Oliver Turvey;;;4;NIO Formula E Team;;
16;0;3;1:03.950;0;;18.024;0;21.404;0;24.522;0;104.7;4:33.434;09:34:33.434;0:18.024;0:21.404;0:24.522;;Oliver Turvey;;;4;NIO Formula E Team;;
16;0;4;1:18.313;0;;20.801;0;28.941;0;28.571;0;85.5;5:51.747;09:35:51.747;0:20.801;0:28.941;0:28.571;;Oliver Turvey;;;4;NIO Formula E Team;;
16;0;5;1:07.142;0;;18.214;0;21.785;0;27.143;0;99.7;6:58.889;09:36:58.889;0:18.214;0:21.785;0:27.143;;Oliver Turvey;;;4;NIO Formula E Team;;
16;0;6;1:04.588;0;;18.174;0;21.424;0;24.990;0;103.7;8:03.477;09:38:03.477;0:18.174;0:21.424;0:24.990;;Oliver Turvey;;;4;NIO Formula E Team;;
16;0;7;1:09.709;0;;19.515;0;24.325;0;25.869;0;96.1;9:13.186;09:39:13.186;0:19.515;0:24.325;0:25.869;;Oliver Turvey;;;4;NIO Formula E Team;;
16;0;8;1:04.482;0;;18.240;0;21.480;0;24.762;0;103.8;10:17.668;09:40:17.668;0:18.240;0:21.480;0:24.762;;Oliver Turvey;;;4;NIO Formula E Team;;
16;0;9;10:58.179;0;B;18.349;0;21.464;0;10:18.366;0;10.2;21:15.847;09:51:15.847;0:18.349;0:21.464;10:18.366;;Oliver Turvey;;;4;NIO Formula E Team;;
16;0;10;1:17.604;0;;24.772;0;24.805;0;28.027;0;86.3;22:33.451;09:52:33.451;0:24.772;0:24.805;0:28.027;;Oliver Turvey;0:09:58.287;;4;NIO Formula E Team;;
16;0;11;1:12.169;0;;19.973;0;24.815;0;27.381;0;92.8;23:45.620;09:53:45.620;0:19.973;0:24.815;0:27.381;;Oliver Turvey;;;4;NIO Formula E Team;;
16;0;12;1:03.295;2;;17.831;2;21.068;2;24.396;2;105.8;24:48.915;09:54:48.915;0:17.831;0:21.068;0:24.396;;Oliver Turvey;;;4;NIO Formula E Team;;
16;0;13;4:39.165;0;B;19.801;0;28.000;0;3:51.364;0;24.0;29:28.080;09:59:28.080;0:19.801;0:28.000;3:51.364;;Oliver Turvey;;;4;NIO Formula E Team;;
16;0;14;1:31.194;0;;30.426;0;28.969;0;31.799;0;73.4;30:59.274;10:00:59.274;0:30.426;0:28.969;0:31.799;;Oliver Turvey;0:03:25.491;;4;NIO Formula E Team;;
18;0;1;1:33.499;0;;40.852;0;25.619;0;27.028;0;71.6;1:33.499;09:31:33.499;0:40.852;0:25.619;0:27.028;;André Lotterer;0:00:14.216;;1;TECHEETAH;;
18;0;2;1:12.394;0;;19.278;0;24.745;0;28.371;0;92.5;2:45.893;09:32:45.893;0:19.278;0:24.745;0:28.371;;André Lotterer;;;1;TECHEETAH;;
18;0;3;1:05.020;2;;18.389;2;21.714;0;24.917;2;103.0;3:50.913;09:33:50.913;0:18.389;0:21.714;0:24.917;;André Lotterer;;;1;TECHEETAH;;
18;0;4;5:40.008;0;B;19.802;0;25.365;0;4:54.841;0;19.7;9:30.921;09:39:30.921;0:19.802;0:25.365;4:54.841;;André Lotterer;;;1;TECHEETAH;;
18;0;5;1:11.401;0;;22.882;0;22.814;0;25.705;0;93.8;10:42.322;09:40:42.322;0:22.882;0:22.814;0:25.705;;André Lotterer;0:04:33.716;;1;TECHEETAH;;
18;0;6;1:07.298;0;;18.951;0;23.070;0;25.277;0;99.5;11:49.620;09:41:49.620;0:18.951;0:23.070;0:25.277;;André Lotterer;;;1;TECHEETAH;;
18;0;7;1:08.599;0;;19.771;0;23.413;0;25.415;0;97.6;12:58.219;09:42:58.219;0:19.771;0:23.413;0:25.415;;André Lotterer;;;1;TECHEETAH;;
18;0;8;1:06.710;0;;18.896;0;22.841;0;24.973;0;100.4;14:04.929;09:44:04.929;0:18.896;0:22.841;0:24.973;;André Lotterer;;;1;TECHEETAH;;
18;0;9;1:06.963;0;;18.924;0;22.905;0;25.134;0;100.0;15:11.892;09:45:11.892;0:18.924;0:22.905;0:25.134;;André Lotterer;;;1;TECHEETAH;;
18;0;10;1:07.764;0;;19.267;0;22.603;0;25.894;0;98.8;16:19.656;09:46:19.656;0:19.267;0:22.603;0:25.894;;André Lotterer;;;1;TECHEETAH;;
18;0;11;1:06.620;0;;18.998;0;22.056;0;25.566;0;100.5;17:26.276;09:47:26.276;0:18.998;0:22.056;0:25.566;;André Lotterer;;;1;TECHEETAH;;
18;0;12;1:05.398;0;;18.578;0;21.785;0;25.035;0;102.4;18:31.674;09:48:31.674;0:18.578;0:21.785;0:25.035;;André Lotterer;;;1;TECHEETAH;;
18;0;13;1:06.221;0;;18.547;0;21.800;0;25.874;0;101.1;19:37.895;09:49:37.895;0:18.547;0:21.800;0:25.874;;André Lotterer;;;1;TECHEETAH;;
18;0;14;1:06.208;0;;18.729;0;22.214;0;25.265;0;101.1;20:44.103;09:50:44.103;0:18.729;0:22.214;0:25.265;;André Lotterer;;;1;TECHEETAH;;
18;0;15;1:05.221;0;;18.492;0;21.697;2;25.032;0;102.7;21:49.324;09:51:49.324;0:18.492;0:21.697;0:25.032;;André Lotterer;;;1;TECHEETAH;;
19;0;1;2:10.034;0;;1:15.952;0;26.143;0;27.939;0;51.5;2:10.034;09:32:10.034;1:15.952;0:26.143;0:27.939;;Felix Rosenqvist;0:00:53.137;;3;Mahindra Racing;;
19;0;2;1:25.375;0;;21.392;0;28.128;0;35.855;0;78.4;3:35.409;09:33:35.409;0:21.392;0:28.128;0:35.855;;Felix Rosenqvist;;;3;Mahindra Racing;;
19;0;3;1:04.237;0;;17.735;2;21.039;2;25.463;0;104.2;4:39.646;09:34:39.646;0:17.735;0:21.039;0:25.463;;Felix Rosenqvist;;;3;Mahindra Racing;;
19;0;4;1:34.455;0;;25.143;0;33.871;0;35.441;0;70.9;6:14.101;09:36:14.101;0:25.143;0:33.871;0:35.441;;Felix Rosenqvist;;;3;Mahindra Racing;;
19;0;5;1:10.973;0;;18.090;0;24.628;0;28.255;0;94.3;7:25.074;09:37:25.074;0:18.090;0:24.628;0:28.255;;Felix Rosenqvist;;;3;Mahindra Racing;;
19;0;6;1:03.571;2;;18.001;0;21.327;0;24.243;2;105.3;8:28.645;09:38:28.645;0:18.001;0:21.327;0:24.243;;Felix Rosenqvist;;;3;Mahindra Racing;;
19;0;7;1:04.158;0;;18.114;0;21.295;0;24.749;0;104.4;9:32.803;09:39:32.803;0:18.114;0:21.295;0:24.749;;Felix Rosenqvist;;;3;Mahindra Racing;;
19;0;8;5:23.491;0;B;23.452;0;30.717;0;4:29.322;0;20.7;14:56.294;09:44:56.294;0:23.452;0:30.717;4:29.322;;Felix Rosenqvist;;;3;Mahindra Racing;;
19;0;9;1:24.341;0;;26.684;0;25.478;0;32.179;0;79.4;16:20.635;09:46:20.635;0:26.684;0:25.478;0:32.179;;Felix Rosenqvist;0:04:06.493;;3;Mahindra Racing;;
19;0;10;1:18.516;0;;25.353;0;26.634;0;26.529;0;85.3;17:39.151;09:47:39.151;0:25.353;0:26.634;0:26.529;;Felix Rosenqvist;;;3;Mahindra Racing;;
2;0;1;1:56.655;0;;1:01.525;0;25.156;0;29.974;0;57.4;1:56.655;09:31:56.655;1:01.525;0:25.156;0:29.974;;Sam Bird;0:00:38.312;;2;DS Virgin Racing;;
2;0;2;1:14.587;0;;20.170;0;25.950;0;28.467;0;89.8;3:11.242;09:33:11.242;0:20.170;0:25.950;0:28.467;;Sam Bird;;;2;DS Virgin Racing;;
2;0;3;1:03.441;2;;17.927;2;21.228;2;24.286;0;105.5;4:14.683;09:34:14.683;0:17.927;0:21.228;0:24.286;;Sam Bird;;;2;DS Virgin Racing;;
2;0;4;1:07.208;0;;19.059;0;22.145;0;26.004;0;99.6;5:21.891;09:35:21.891;0:19.059;0:22.145;0:26.004;;Sam Bird;;;2;DS Virgin Racing;;
2;0;5;1:41.140;0;;28.807;0;34.750;0;37.583;0;66.2;7:03.031;09:37:03.031;0:28.807;0:34.750;0:37.583;;Sam Bird;;;2;DS Virgin Racing;;
