NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
19;0;1;1:52.930;0;;1:01.855;0;24.679;0;26.396;0;59.3;1:52.930;11:21:52.930;1:01.855;0:24.679;0:26.396;;Felix Rosenqvist;0:00:39.203;;3;Mahindra Racing;;
19;0;2;1:09.108;0;;18.448;0;24.897;0;25.763;0;96.9;3:02.038;11:23:02.038;0:18.448;0:24.897;0:25.763;;Felix Rosenqvist;;;3;Mahindra Racing;;
19;0;3;1:03.466;2;;18.107;2;21.152;2;24.207;2;105.5;4:05.504;11:24:05.504;0:18.107;0:21.152;0:24.207;;Felix Rosenqvist;;;3;Mahindra Racing;;
23;0;1;3:58.728;0;;3:07.755;0;24.275;0;26.698;0;28.0;3:58.728;11:23:58.728;3:07.755;0:24.275;0:26.698;;Nick Heidfeld;0:02:44.897;;3;Mahindra Racing;;
23;0;2;1:08.092;0;;18.717;0;22.696;0;26.679;0;98.3;5:06.820;11:25:06.820;0:18.717;0:22.696;0:26.679;;Nick Heidfeld;;;3;Mahindra Racing;;
23;0;3;1:03.350;3;;17.896;4;21.093;3;24.361;2;105.7;6:10.170;11:26:10.170;0:17.896;0:21.093;0:24.361;;Nick Heidfeld;;;3;Mahindra Racing;;
25;0;1;2:39.104;0;;1:43.007;0;26.560;0;29.537;0;42.1;2:39.104;11:22:39.104;1:43.007;0:26.560;0:29.537;;Jean-Eric Vergne;0:01:17.278;;3;TECHEETAH;;
25;0;2;1:09.464;0;;19.113;0;23.593;0;26.758;0;96.4;3:48.568;11:23:48.568;0:19.113;0:23.593;0:26.758;;Jean-Eric Vergne;;;3;TECHEETAH;;
25;0;3;1:03.403;2;;17.978;2;21.227;2;24.198;4;105.6;4:51.971;11:24:51.971;0:17.978;0:21.227;0:24.198;;Jean-Eric Vergne;;;3;TECHEETAH;;
3;0;1;1:25.371;0;;36.134;0;23.750;0;25.487;0;78.4;1:25.371;11:21:25.371;0:36.134;0:23.750;0:25.487;;Nelson Piquet;0:00:13.726;;3;Panasonic Jaguar Racing;;
3;0;2;1:05.253;0;;18.514;0;21.914;0;24.825;0;102.6;2:30.624;11:22:30.624;0:18.514;0:21.914;0:24.825;;Nelson Piquet;;;3;Panasonic Jaguar Racing;;
3;0;3;1:03.993;2;;18.068;2;21.265;2;24.660;2;104.6;3:34.617;11:23:34.617;0:18.068;0:21.265;0:24.660;;Nelson Piquet;;;3;Panasonic Jaguar Racing;;
6;0;1;3:15.344;0;;2:20.355;0;26.070;0;28.919;0;34.3;3:15.344;11:23:15.344;2:20.355;0:26.070;0:28.919;;Neel Jani;0:01:55.868;;3;DRAGON;;
6;0;2;1:05.615;2;;18.418;2;21.929;2;25.268;2;102.0;4:20.959;11:24:20.959;0:18.418;0:21.929;0:25.268;;Neel Jani;;;3;DRAGON;;
