NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
19;0;1;3:29.096;0;;2:39.723;0;23.872;0;25.501;0;32.0;3:29.096;11:51:29.096;2:39.723;0:23.872;0:25.501;;Felix Rosenqvist;0:02:17.500;;3;Mahindra Racing;;
19;0;2;1:04.718;2;;18.640;2;21.233;2;24.845;2;103.5;4:33.814;11:52:33.814;0:18.640;0:21.233;0:24.845;;Felix Rosenqvist;;;3;Mahindra Racing;;
2;0;1;9:51.928;0;;8:58.659;0;24.585;0;28.684;0;11.3;9:51.928;11:57:51.928;8:58.659;0:24.585;0:28.684;;Sam Bird;0:08:35.416;;2;DS Virgin Racing;;
2;0;2;1:03.595;2;;17.996;2;21.164;3;24.435;2;105.3;10:55.523;11:58:55.523;0:17.996;0:21.164;0:24.435;;Sam Bird;;;2;DS Virgin Racing;;
23;0;1;7:49.127;0;;6:52.797;0;27.172;0;29.158;0;14.3;7:49.127;11:55:49.127;6:52.797;0:27.172;0:29.158;;Nick Heidfeld;0:05:28.294;;3;Mahindra Racing;;
23;0;2;1:03.597;2;;18.083;2;21.194;2;24.320;2;105.3;8:52.724;11:56:52.724;0:18.083;0:21.194;0:24.320;;Nick Heidfeld;;;3;Mahindra Racing;;
25;0;1;5:40.316;0;;4:43.947;0;28.816;0;27.553;0;19.7;5:40.316;11:53:40.316;4:43.947;0:28.816;0:27.553;;Jean-Eric Vergne;0:03:21.436;;3;TECHEETAH;;
25;0;2;1:03.568;3;;18.009;2;21.244;2;24.315;3;105.3;6:43.884;11:54:43.884;0:18.009;0:21.244;0:24.315;;Jean-Eric Vergne;;;3;TECHEETAH;;
66;0;1;1:32.484;0;;38.803;0;26.626;0;27.055;0;72.4;1:32.484;11:49:32.484;0:38.803;0:26.626;0:27.055;;Daniel Abt;0:00:11.159;;4;Audi Sport ABT Schaeffler;;
66;0;2;1:03.724;2;;17.830;3;21.244;2;24.650;2;105.1;2:36.208;11:50:36.208;0:17.830;0:21.244;0:24.650;;Daniel Abt;;;4;Audi Sport ABT Schaeffler;;
