POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;ECM ForixTeamId;*Extra 8;*Extra 9;*Extra 10;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_ECM ForixDriverId;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;2;Classified;43;1:17:10.486;-;-;29;1:04.639;103.6;DS Virgin Racing;;;;DS Virgin DSV-03;;;;;;;;2016908105;;;;Sam;Bird;;GBR;GBR;BIR;1087;;1987010900;;;
2;25;Classified;43;1:17:22.061;+11.575;+11.575;15;1:04.751;103.4;TECHEETAH;;;;Renault Z.E. 17;;;;;;;;2016908103;;;;Jean-Eric;Vergne;;FRA;FRA;VER;1086;;1990042500;;;
3;23;Classified;43;1:17:22.951;+12.465;+0.890;26;1:04.840;103.3;Mahindra Racing;;;;Mahindra M4Electro;;;;;;;;2011806107;;;;Nick;Heidfeld;;DEU;DEU;HEI;1099;;1977051000;;;
4;3;Classified;43;1:17:25.810;+15.324;+2.859;21;1:04.989;103.0;Panasonic Jaguar Racing;;;;Jaguar I-Type II;;;;;;;;2016020101;;;;Nelson;Piquet;;BRA;BRA;PIQ;9069;;1985072500;;;
5;66;Classified;43;1:17:27.691;+17.205;+1.881;27;1:04.320;104.1;Audi Sport ABT Schaeffler;;;;Audi e-tron FE04;;;;;;;;2017908101;;;;Daniel;Abt;;DEU;DEU;ABT;1080;;1990015408;;;
6;28;Classified;43;1:17:28.569;+18.083;+0.878;27;1:04.761;103.4;Andretti Formula E;;;;Andretti ATEC-03;;;;;;;;2017908103;;;;Antonio Felix;da Costa;;PRT;PRT;DAC;3177;;1991083100;;;
7;4;Classified;43;1:17:30.283;+19.797;+1.714;38;1:04.671;103.5;Venturi Formula E Team;;;;Venturi VM200-FE-03;;;;;;;;2016908106;;;;Edoardo;Mortara;;CHE;CHE;MOR;8014;;1988010183;;;
8;36;Classified;43;1:17:31.390;+20.904;+1.107;33;1:04.838;103.3;DS Virgin Racing;;;;DS Virgin DSV-03;;;;;;;;2016908105;;;;Alex;Lynn;;GBR;GBR;LYN;8010;;1991015233;;;
9;8;Classified;43;1:17:35.271;+24.785;+3.881;27;1:04.610;103.6;Renault e.dams;;;;Renault Z.E. 17;;;;;;;;2015908104;;;;Nicolas;Prost;;FRA;FRA;PRO;2032;;1981081801;;;
10;68;Classified;43;1:17:35.986;+25.500;+0.715;28;1:04.609;103.6;NIO Formula E Team;;;;NextEV NIO Sport 003;;;;;;;;2017908102;;;;Luca;Filippi;;ITA;ITA;FIL;8015;;1985080900;;;
11;9;Classified;43;1:17:36.688;+26.202;+0.702;35;1:04.756;103.4;Renault e.dams;;;;Renault Z.E. 17;;;;;;;;2015908104;;;;Sébastien;Buemi;;CHE;CHE;BUE;1090;;1988103100;;;
12;20;Classified;43;1:17:45.357;+34.871;+8.669;38;1:04.788;103.4;Panasonic Jaguar Racing;;;;Jaguar I-Type II;;;;;;;;2016020101;;;;Mitch;Evans;;NZL;NZL;EVA;8007;;1990015617;;;
13;5;Classified;43;1:17:46.238;+35.752;+0.881;27;1:05.078;102.9;Venturi Formula E Team;;;;Venturi VM200-FE-03;;;;;;;;2016908106;;;;Maro;Engel;;DEU;DEU;ENG;8003;;1985082700;;;
14;19;Classified;43;1:17:51.660;+41.174;+5.422;14;1:04.302;104.1;Mahindra Racing;;;;Mahindra M4Electro;;;;;;;;2011806107;;;;Felix;Rosenqvist;;SWE;SWE;FRO;8005;;1990015169;;;
15;27;Classified;43;1:17:58.908;+48.422;+7.248;39;1:04.762;103.4;Andretti Formula E;;;;Andretti ATEC-04;;;;;;;;2017908103;;;;Kamui;Kobayashi;;MCO;MCO;KOB;8017;;1986091300;;;
16;16;Classified;42;1:17:20.229;1 Lap;1 Lap;14;1:05.427;102.3;NIO Formula E Team;;;;NextEV NIO Sport 003;;;;;;;;2017908102;;;;Oliver;Turvey;;GBR;GBR;TUR;9092;;1987040100;;;
17;1;Classified;42;1:17:38.469;1 Lap;+18.240;9;1:05.056;102.9;Audi Sport ABT Schaeffler;;;;Audi e-tron FE04;;;;;;;;2017908101;;;;Lucas;Di Grassi;;BRA;BRA;DIG;1098;;1984081100;;;
18;6;Classified;42;1:18:06.881;1 Lap;+28.412;7;1:06.398;100.8;DRAGON;;;;PENSKE EV-2;;;;;;;;2016908101;;;;Neel;Jani;;CHE;CHE;JAN;8012;;1983120800;;;
;7;Not classified;34;1:17:38.951;;;28;1:04.297;104.1;DRAGON;;;;PENSKE EV-2;;;;;;;;2016908101;;;;Jérôme;d'Ambrosio;;BEL;BEL;DAM;1084;;1985122700;;;
;18;;43;1:18:31.559;;;27;1:04.967;103.1;TECHEETAH;;;;Renault Z.E. 17;;;;;;;;2016908103;;;;André;Lotterer;;DEU;DEU;LOT;8013;;1981111900;;;
