NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;1:13.461;0;;21.333;0;25.476;0;26.652;0;91.2;1:13.461;15:05:01.255;0:21.333;0:25.476;0:26.652;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;2;29:14.718;0;B;58.203;0;58.318;0;27:18.197;0;3.8;30:28.179;15:34:15.973;0:58.203;0:58.318;27:18.197;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;3;2:23.654;0;;1:01.760;0;48.710;0;33.184;0;46.6;32:51.833;15:36:39.627;1:01.760;0:48.710;0:33.184;;Lucas Di Grassi;0:26:25.944;;;Audi Sport ABT Schaeffler;;
1;0;4;1:08.065;0;;19.067;0;23.494;0;25.504;0;98.4;33:59.898;15:37:47.692;0:19.067;0:23.494;0:25.504;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;5;1:07.875;0;;20.014;0;22.610;0;25.251;0;98.7;35:07.773;15:38:55.567;0:20.014;0:22.610;0:25.251;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;6;1:05.582;0;;18.475;0;22.196;0;24.911;0;102.1;36:13.355;15:40:01.149;0:18.475;0:22.196;0:24.911;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;7;1:05.501;0;;18.475;0;21.932;0;25.094;0;102.2;37:18.856;15:41:06.650;0:18.475;0:21.932;0:25.094;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;8;1:05.691;0;;18.956;0;21.826;0;24.909;0;101.9;38:24.547;15:42:12.341;0:18.956;0:21.826;0:24.909;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;9;1:05.056;2;;18.372;2;21.840;0;24.844;0;102.9;39:29.603;15:43:17.397;0:18.372;0:21.840;0:24.844;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;10;1:05.164;0;;18.425;0;21.812;2;24.927;0;102.8;40:34.767;15:44:22.561;0:18.425;0:21.812;0:24.927;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;11;1:05.374;0;;18.472;0;22.014;0;24.888;0;102.4;41:40.141;15:45:27.935;0:18.472;0:22.014;0:24.888;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;12;1:05.700;0;;18.543;0;22.062;0;25.095;0;101.9;42:45.841;15:46:33.635;0:18.543;0:22.062;0:25.095;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;13;1:05.448;0;;18.410;0;21.871;0;25.167;0;102.3;43:51.289;15:47:39.083;0:18.410;0:21.871;0:25.167;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;14;1:07.358;0;;18.646;0;22.563;0;26.149;0;99.4;44:58.647;15:48:46.441;0:18.646;0:22.563;0:26.149;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;15;2:11.393;0;B;19.078;0;23.729;0;1:28.586;0;51.0;47:10.040;15:50:57.834;0:19.078;0:23.729;1:28.586;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;16;1:12.165;0;;23.836;0;22.928;0;25.401;0;92.8;48:22.205;15:52:09.999;0:23.836;0:22.928;0:25.401;;Lucas Di Grassi;0:01:03.735;;;Audi Sport ABT Schaeffler;;
1;0;17;1:06.395;0;;18.674;0;22.568;0;25.153;0;100.9;49:28.600;15:53:16.394;0:18.674;0:22.568;0:25.153;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;18;1:07.445;0;;19.746;0;22.670;0;25.029;0;99.3;50:36.045;15:54:23.839;0:19.746;0:22.670;0:25.029;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;19;1:05.587;0;;18.451;0;22.307;0;24.829;2;102.1;51:41.632;15:55:29.426;0:18.451;0:22.307;0:24.829;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;20;1:05.830;0;;18.560;0;22.265;0;25.005;0;101.7;52:47.462;15:56:35.256;0:18.560;0:22.265;0:25.005;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;21;1:06.230;0;;18.754;0;22.304;0;25.172;0;101.1;53:53.692;15:57:41.486;0:18.754;0:22.304;0:25.172;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;22;1:06.477;0;;18.648;0;22.493;0;25.336;0;100.7;55:00.169;15:58:47.963;0:18.648;0:22.493;0:25.336;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;23;1:06.890;0;;18.807;0;22.496;0;25.587;0;100.1;56:07.059;15:59:54.853;0:18.807;0:22.496;0:25.587;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;24;1:06.868;0;;18.842;0;22.532;0;25.494;0;100.1;57:13.927;16:01:01.721;0:18.842;0:22.532;0:25.494;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;25;1:06.602;0;;18.764;0;22.446;0;25.392;0;100.5;58:20.529;16:02:08.323;0:18.764;0:22.446;0:25.392;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;26;1:06.271;0;;18.576;0;22.446;0;25.249;0;101.0;59:26.800;16:03:14.594;0:18.576;0:22.446;0:25.249;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;27;1:06.445;0;;18.792;0;22.477;0;25.176;0;100.8;1:00:33.245;16:04:21.039;0:18.792;0:22.477;0:25.176;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;28;1:06.928;0;;18.728;0;22.959;0;25.241;0;100.0;1:01:40.173;16:05:27.967;0:18.728;0:22.959;0:25.241;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;29;1:06.024;0;;18.599;0;22.239;0;25.186;0;101.4;1:02:46.197;16:06:33.991;0:18.599;0:22.239;0:25.186;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;30;1:06.860;0;;18.750;0;22.498;0;25.612;0;100.1;1:03:53.057;16:07:40.851;0:18.750;0:22.498;0:25.612;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;31;1:06.001;0;;18.449;0;22.166;0;25.386;0;101.5;1:04:59.058;16:08:46.852;0:18.449;0:22.166;0:25.386;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;32;1:07.727;0;;19.239;0;22.843;0;25.645;0;98.9;1:06:06.785;16:09:54.579;0:19.239;0:22.843;0:25.645;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;33;1:06.892;0;;18.764;0;22.603;0;25.525;0;100.1;1:07:13.677;16:11:01.471;0:18.764;0:22.603;0:25.525;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;34;1:07.484;0;;18.783;0;22.885;0;25.816;0;99.2;1:08:21.161;16:12:08.955;0:18.783;0:22.885;0:25.816;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;35;1:07.779;0;;19.006;0;23.036;0;25.737;0;98.8;1:09:28.940;16:13:16.734;0:19.006;0:23.036;0:25.737;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;36;1:07.661;0;;19.113;0;22.915;0;25.633;0;99.0;1:10:36.601;16:14:24.395;0:19.113;0:22.915;0:25.633;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;37;1:08.997;0;;19.824;0;23.352;0;25.821;0;97.0;1:11:45.598;16:15:33.392;0:19.824;0:23.352;0:25.821;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;38;1:10.005;0;;19.942;0;23.709;0;26.354;0;95.7;1:12:55.603;16:16:43.397;0:19.942;0:23.709;0:26.354;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;39;1:11.234;0;;19.700;0;25.308;0;26.226;0;94.0;1:14:06.837;16:17:54.631;0:19.700;0:25.308;0:26.226;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;40;1:14.844;0;;23.396;0;25.669;0;25.779;0;89.5;1:15:21.681;16:19:09.475;0:23.396;0:25.669;0:25.779;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;41;1:06.790;0;;18.893;0;22.411;0;25.486;0;100.3;1:16:28.471;16:20:16.265;0:18.893;0:22.411;0:25.486;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
