NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;2:00.882;0;;1:05.847;0;26.973;0;28.062;0;55.4;2:00.882;08:32:00.882;1:05.847;0:26.973;0:28.062;;Lucas Di Grassi;0:00:40.161;;1;Audi Sport ABT Schaeffler;;
1;0;2;2:39.663;0;B;19.471;0;24.540;0;1:55.652;0;41.9;4:40.545;08:34:40.545;0:19.471;0:24.540;1:55.652;;Lucas Di Grassi;;;1;Audi Sport ABT Schaeffler;;
1;0;3;1:16.447;0;;25.111;0;24.574;0;26.762;0;87.6;5:56.992;08:35:56.992;0:25.111;0:24.574;0:26.762;;Lucas Di Grassi;0:01:33.912;;1;Audi Sport ABT Schaeffler;;
1;0;4;1:45.362;0;B;19.400;0;25.479;0;1:00.483;0;63.6;7:42.354;08:37:42.354;0:19.400;0:25.479;1:00.483;;Lucas Di Grassi;;;1;Audi Sport ABT Schaeffler;;
1;0;5;2:31.737;0;B;27.739;0;27.712;0;1:36.286;0;44.1;10:14.091;08:40:14.091;0:27.739;0:27.712;1:36.286;;Lucas Di Grassi;0:00:37.551;;1;Audi Sport ABT Schaeffler;;
1;0;6;1:13.428;0;;23.659;0;23.287;0;26.482;0;91.2;11:27.519;08:41:27.519;0:23.659;0:23.287;0:26.482;;Lucas Di Grassi;0:01:13.370;;1;Audi Sport ABT Schaeffler;;
1;0;7;1:07.178;0;;18.741;0;23.120;0;25.317;0;99.7;12:34.697;08:42:34.697;0:18.741;0:23.120;0:25.317;;Lucas Di Grassi;;;1;Audi Sport ABT Schaeffler;;
1;0;8;1:08.349;0;;20.375;0;22.946;0;25.028;0;98.0;13:43.046;08:43:43.046;0:20.375;0:22.946;0:25.028;;Lucas Di Grassi;;;1;Audi Sport ABT Schaeffler;;
1;0;9;1:06.269;0;;18.617;0;22.543;0;25.109;0;101.0;14:49.315;08:44:49.315;0:18.617;0:22.543;0:25.109;;Lucas Di Grassi;;;1;Audi Sport ABT Schaeffler;;
1;0;10;6:04.344;0;B;18.709;0;22.493;0;5:23.142;0;18.4;20:53.659;08:50:53.659;0:18.709;0:22.493;5:23.142;;Lucas Di Grassi;;;1;Audi Sport ABT Schaeffler;;
1;0;11;1:15.728;0;;25.190;0;24.082;0;26.456;0;88.4;22:09.387;08:52:09.387;0:25.190;0:24.082;0:26.456;;Lucas Di Grassi;0:05:02.498;;1;Audi Sport ABT Schaeffler;;
1;0;12;1:05.189;0;;18.305;0;22.170;0;24.714;0;102.7;23:14.576;08:53:14.576;0:18.305;0:22.170;0:24.714;;Lucas Di Grassi;;;1;Audi Sport ABT Schaeffler;;
1;0;13;1:05.066;0;;18.260;0;22.043;0;24.763;0;102.9;24:19.642;08:54:19.642;0:18.260;0:22.043;0:24.763;;Lucas Di Grassi;;;1;Audi Sport ABT Schaeffler;;
1;0;14;1:05.337;0;;18.320;0;22.126;0;24.891;0;102.5;25:24.979;08:55:24.979;0:18.320;0:22.126;0:24.891;;Lucas Di Grassi;;;1;Audi Sport ABT Schaeffler;;
1;0;15;1:13.317;0;;18.925;0;25.809;0;28.583;0;91.3;26:38.296;08:56:38.296;0:18.925;0:25.809;0:28.583;;Lucas Di Grassi;;;1;Audi Sport ABT Schaeffler;;
1;0;16;1:03.524;0;;18.067;0;21.314;0;24.143;0;105.4;27:41.820;08:57:41.820;0:18.067;0:21.314;0:24.143;;Lucas Di Grassi;;;1;Audi Sport ABT Schaeffler;;
1;0;17;1:25.038;0;;21.921;0;31.549;0;31.568;0;78.7;29:06.858;08:59:06.858;0:21.921;0:31.549;0:31.568;;Lucas Di Grassi;;;1;Audi Sport ABT Schaeffler;;
1;0;18;1:03.589;0;;18.217;0;21.233;0;24.139;0;105.3;30:10.447;09:00:10.447;0:18.217;0:21.233;0:24.139;;Lucas Di Grassi;;;1;Audi Sport ABT Schaeffler;;
1;0;19;1:24.271;0;;23.519;0;30.340;0;30.412;0;79.5;31:34.718;09:01:34.718;0:23.519;0:30.340;0:30.412;;Lucas Di Grassi;;;1;Audi Sport ABT Schaeffler;;
1;0;20;1:03.506;0;;18.085;0;21.278;0;24.143;0;105.4;32:38.224;09:02:38.224;0:18.085;0:21.278;0:24.143;;Lucas Di Grassi;;;1;Audi Sport ABT Schaeffler;;
1;0;21;3:52.958;0;B;18.919;0;21.903;0;3:12.136;0;28.7;36:31.182;09:06:31.182;0:18.919;0:21.903;3:12.136;;Lucas Di Grassi;;;1;Audi Sport ABT Schaeffler;;
1;0;22;1:16.499;0;;24.588;0;24.273;0;27.638;0;87.5;37:47.681;09:07:47.681;0:24.588;0:24.273;0:27.638;;Lucas Di Grassi;0:02:52.539;;1;Audi Sport ABT Schaeffler;;
1;0;23;1:13.557;0;;19.294;0;25.097;0;29.166;0;91.0;39:01.238;09:09:01.238;0:19.294;0:25.097;0:29.166;;Lucas Di Grassi;;;1;Audi Sport ABT Schaeffler;;
1;0;24;1:02.380;2;;17.637;2;20.916;0;23.827;2;107.3;40:03.618;09:10:03.618;0:17.637;0:20.916;0:23.827;;Lucas Di Grassi;;;1;Audi Sport ABT Schaeffler;;
1;0;25;1:25.283;0;;25.767;0;30.884;0;28.632;0;78.5;41:28.901;09:11:28.901;0:25.767;0:30.884;0:28.632;;Lucas Di Grassi;;;1;Audi Sport ABT Schaeffler;;
1;0;26;1:02.596;0;;17.685;0;20.782;2;24.129;0;107.0;42:31.497;09:12:31.497;0:17.685;0:20.782;0:24.129;;Lucas Di Grassi;;;1;Audi Sport ABT Schaeffler;;
1;0;27;1:11.207;0;;20.239;0;24.491;0;26.477;0;94.0;43:42.704;09:13:42.704;0:20.239;0:24.491;0:26.477;;Lucas Di Grassi;;;1;Audi Sport ABT Schaeffler;;
1;0;28;1:03.748;0;;18.143;0;21.275;0;24.330;0;105.0;44:46.452;09:14:46.452;0:18.143;0:21.275;0:24.330;;Lucas Di Grassi;;;1;Audi Sport ABT Schaeffler;;
1;0;29;1:11.107;0;;20.843;0;24.059;0;26.205;0;94.2;45:57.559;09:15:57.559;0:20.843;0:24.059;0:26.205;;Lucas Di Grassi;;;1;Audi Sport ABT Schaeffler;;
16;0;1;2:05.299;0;;1:08.505;0;27.282;0;29.512;0;53.4;2:05.299;08:32:05.299;1:08.505;0:27.282;0:29.512;;Oliver Turvey;0:00:42.627;;1;NIO Formula E Team;;
16;0;2;1:13.744;0;;19.783;0;25.923;0;28.038;0;90.8;3:19.043;08:33:19.043;0:19.783;0:25.923;0:28.038;;Oliver Turvey;;;1;NIO Formula E Team;;
16;0;3;1:04.517;0;;18.341;0;21.574;0;24.602;0;103.8;4:23.560;08:34:23.560;0:18.341;0:21.574;0:24.602;;Oliver Turvey;;;1;NIO Formula E Team;;
16;0;4;1:13.068;0;;19.116;0;26.130;0;27.822;0;91.6;5:36.628;08:35:36.628;0:19.116;0:26.130;0:27.822;;Oliver Turvey;;;1;NIO Formula E Team;;
16;0;5;1:03.865;0;;18.178;0;21.343;0;24.344;0;104.8;6:40.493;08:36:40.493;0:18.178;0:21.343;0:24.344;;Oliver Turvey;;;1;NIO Formula E Team;;
16;0;6;1:03.847;0;;18.094;0;21.357;0;24.396;0;104.9;7:44.340;08:37:44.340;0:18.094;0:21.357;0:24.396;;Oliver Turvey;;;1;NIO Formula E Team;;
16;0;7;10:57.829;0;B;18.293;0;23.653;0;10:15.883;0;10.2;18:42.169;08:48:42.169;0:18.293;0:23.653;10:15.883;;Oliver Turvey;;;1;NIO Formula E Team;;
16;0;8;1:18.925;0;;24.843;0;26.937;0;27.145;0;84.8;20:01.094;08:50:01.094;0:24.843;0:26.937;0:27.145;;Oliver Turvey;0:09:53.616;;1;NIO Formula E Team;;
16;0;9;1:11.499;0;;20.101;0;25.339;0;26.059;0;93.7;21:12.593;08:51:12.593;0:20.101;0:25.339;0:26.059;;Oliver Turvey;;;1;NIO Formula E Team;;
16;0;10;1:03.805;0;;18.145;0;21.350;0;24.310;0;104.9;22:16.398;08:52:16.398;0:18.145;0:21.350;0:24.310;;Oliver Turvey;;;1;NIO Formula E Team;;
