NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;4:18.209;0;;3:26.468;0;24.734;0;27.007;0;25.9;4:18.209;11:04:18.209;3:26.468;0:24.734;0:27.007;;Lucas Di Grassi;0:03:03.292;;1;Audi Sport ABT Schaeffler;;
1;0;2;1:08.868;0;;19.112;0;23.890;0;25.866;0;97.2;5:27.077;11:05:27.077;0:19.112;0:23.890;0:25.866;;Lucas Di Grassi;;;1;Audi Sport ABT Schaeffler;;
1;0;3;1:03.346;2;;17.869;2;21.236;2;24.241;2;105.7;6:30.423;11:06:30.423;0:17.869;0:21.236;0:24.241;;Lucas Di Grassi;;;1;Audi Sport ABT Schaeffler;;
16;0;1;4:04.797;0;;3:10.990;0;25.863;0;27.944;0;27.4;4:04.797;11:04:04.797;3:10.990;0:25.863;0:27.944;;Oliver Turvey;0:02:44.869;;1;NIO Formula E Team;;
16;0;2;1:13.576;0;;20.578;0;24.886;0;28.112;0;91.0;5:18.373;11:05:18.373;0:20.578;0:24.886;0:28.112;;Oliver Turvey;;;1;NIO Formula E Team;;
16;0;3;1:03.092;4;;17.809;4;21.081;4;24.202;4;106.1;6:21.465;11:06:21.465;0:17.809;0:21.081;0:24.202;;Oliver Turvey;;;1;NIO Formula E Team;;
18;0;1;3:36.515;0;;2:42.756;0;26.719;0;27.040;0;30.9;3:36.515;11:03:36.515;2:42.756;0:26.719;0:27.040;;André Lotterer;0:02:17.273;;1;TECHEETAH;;
18;0;2;1:06.592;0;;19.059;0;22.750;0;24.783;0;100.6;4:43.107;11:04:43.107;0:19.059;0:22.750;0:24.783;;André Lotterer;;;1;TECHEETAH;;
18;0;3;1:03.845;2;;17.864;2;21.305;2;24.676;2;104.9;5:46.952;11:05:46.952;0:17.864;0:21.305;0:24.676;;André Lotterer;;;1;TECHEETAH;;
6;0;1;2:34.194;0;;1:40.962;0;25.520;0;27.712;0;43.4;2:34.194;11:02:34.194;1:40.962;0:25.520;0:27.712;;Neel Jani;0:01:15.190;;1;DRAGON;;
6;0;2;1:12.749;0;;19.304;0;24.675;0;28.770;0;92.0;3:46.943;11:03:46.943;0:19.304;0:24.675;0:28.770;;Neel Jani;;;1;DRAGON;;
6;0;3;1:04.612;2;;18.074;2;21.771;2;24.767;2;103.6;4:51.555;11:04:51.555;0:18.074;0:21.771;0:24.767;;Neel Jani;;;1;DRAGON;;
7;0;1;4:30.466;0;;3:40.615;0;23.850;0;26.001;0;24.8;4:30.466;11:04:30.466;3:40.615;0:23.850;0:26.001;;Jérôme d'Ambrosio;0:03:18.014;;1;DRAGON;;
7;0;2;1:08.779;0;;19.611;0;22.566;0;26.602;0;97.4;5:39.245;11:05:39.245;0:19.611;0:22.566;0:26.602;;Jérôme d'Ambrosio;;;1;DRAGON;;
7;0;3;1:03.849;2;;18.108;2;21.271;2;24.470;2;104.9;6:43.094;11:06:43.094;0:18.108;0:21.271;0:24.470;;Jérôme d'Ambrosio;;;1;DRAGON;;
