NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
19;0;1;3:19.330;0;;2:30.329;0;23.954;0;25.047;0;33.6;3:19.330;11:48:19.330;2:30.329;0:23.954;0:25.047;;Felix Rosenqvist;0:02:06.895;;2;Mahindra Racing;;
19;0;2;1:02.836;3;;17.742;2;20.817;2;24.277;2;106.6;4:22.166;11:49:22.166;0:17.742;0:20.817;0:24.277;;Felix Rosenqvist;;;2;Mahindra Racing;;
2;0;1;1:22.648;0;;29.638;0;25.017;0;27.993;0;81.0;1:22.648;11:46:22.648;0:29.638;0:25.017;0:27.993;;Sam Bird;0:00:06.219;;4;DS Virgin Racing;;
2;0;2;1:03.109;2;;17.929;2;21.016;2;24.164;2;106.1;2:25.757;11:47:25.757;0:17.929;0:21.016;0:24.164;;Sam Bird;;;4;DS Virgin Racing;;
20;0;1;9:58.048;0;;9:01.654;0;26.763;0;29.631;0;11.2;9:58.048;11:54:58.048;9:01.654;0:26.763;0:29.631;;Mitch Evans;0:07:13.652;;2;Panasonic Jaguar Racing;;
20;0;2;1:02.890;2;;17.895;2;20.800;3;24.195;2;106.5;11:00.938;11:56:00.938;0:17.895;0:20.800;0:24.195;;Mitch Evans;;;2;Panasonic Jaguar Racing;;
4;0;1;5:23.692;0;;4:29.069;0;25.383;0;29.240;0;20.7;5:23.692;11:50:23.692;4:29.069;0:25.383;0:29.240;;Edoardo Mortara;0:03:14.321;;3;Venturi Formula E Team;;
4;0;2;1:03.108;2;;18.016;2;21.002;2;24.090;3;106.1;6:26.800;11:51:26.800;0:18.016;0:21.002;0:24.090;;Edoardo Mortara;;;3;Venturi Formula E Team;;
66;0;1;7:37.338;0;;6:40.528;0;28.355;0;28.455;0;14.6;7:37.338;11:52:37.338;6:40.528;0:28.355;0:28.455;;Daniel Abt;0:06:13.596;;4;Audi Sport ABT Schaeffler;;
66;0;2;1:03.715;2;;17.716;3;21.287;2;24.712;2;105.1;8:41.053;11:53:41.053;0:17.716;0:21.287;0:24.712;;Daniel Abt;;;4;Audi Sport ABT Schaeffler;;
