POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;ECM ForixTeamId;*Extra 8;*Extra 9;*Extra 10;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_ECM ForixDriverId;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;19;Classified;45;50:05.084;-;-;28;1:04.299;104.1;Mahindra Racing;;;;Mahindra M4Electro;MICHELIN;;;;;;;2011806107;;;;Felix;Rosenqvist;;SWE;SWE;FRO;8005;;1990015169;;;
2;4;Classified;45;50:12.115;+7.031;+7.031;41;1:04.309;104.1;Venturi Formula E Team;;;;Venturi VM200-FE-03;MICHELIN;;;;;;;2016908106;;;;Edoardo;Mortara;;CHE;CHE;MOR;8014;;1988010183;;;
3;20;Classified;45;50:15.703;+10.619;+3.588;35;1:04.863;103.2;Panasonic Jaguar Racing;;;;Jaguar I-Type II;MICHELIN;;;;;;;2016020101;;;;Mitch;Evans;;NZL;NZL;EVA;8007;;1990015617;;;
4;25;Classified;45;50:17.677;+12.593;+1.974;28;1:04.606;103.6;TECHEETAH;;;;Renault Z.E. 17;MICHELIN;;;;;;;2016908103;;;;Jean-Eric;Vergne;;FRA;FRA;VER;1086;;1990042500;;;
5;2;Classified;45;50:17.963;+12.879;+0.286;32;1:04.758;103.4;DS Virgin Racing;;;;DS Virgin DSV-03;MICHELIN;;;;;;;2016908105;;;;Sam;Bird;;GBR;GBR;BIR;1087;;1987010900;;;
6;16;Classified;45;50:19.283;+14.199;+1.320;32;1:04.727;103.4;NIO Formula E Team;;;;NextEV NIO Sport 003;MICHELIN;;;;;;;2017908102;;;;Oliver;Turvey;;GBR;GBR;TUR;9092;;1987040100;;;
7;5;Classified;45;50:20.760;+15.676;+1.477;29;1:04.884;103.2;Venturi Formula E Team;;;;Venturi VM200-FE-03;MICHELIN;;;;;;;2016908106;;;;Maro;Engel;;DEU;DEU;ENG;8003;;1985082700;;;
8;8;Classified;45;50:23.989;+18.905;+3.229;42;1:04.935;103.1;Renault e.dams;;;;Renault Z.E. 17;MICHELIN;;;;;;;2015908104;;;;Nicolas;Prost;;FRA;FRA;PRO;2032;;1981081801;;;
9;36;Classified;45;50:24.109;+19.025;+0.120;31;1:04.489;103.8;DS Virgin Racing;;;;DS Virgin DSV-03;MICHELIN;;;;;;;2016908105;;;;Alex;Lynn;;GBR;GBR;LYN;8010;;1991015233;;;
10;9;Classified;45;50:27.223;+22.139;+3.114;10;1:04.766;103.4;Renault e.dams;;;;Renault Z.E. 17;MICHELIN;;;;;;;2015908104;;;;Sébastien;Buemi;;CHE;CHE;BUE;1090;;1988103100;;;
11;28;Classified;45;50:28.443;+23.359;+1.220;37;1:04.314;104.1;Andretti Formula E;;;;Andretti ATEC-03;MICHELIN;;;;;;;2017908103;;;;Antonio Felix;da Costa;;PRT;PRT;DAC;3177;;1991083100;;;
12;3;Classified;45;50:32.988;+27.904;+4.545;41;1:04.088;104.5;Panasonic Jaguar Racing;;;;Jaguar I-Type II;MICHELIN;;;;;;;2016020101;;;;Nelson;Piquet;;BRA;BRA;PIQ;9069;;1985072500;;;
13;18;Classified;45;50:33.675;+28.591;+0.687;34;1:04.748;103.4;TECHEETAH;;;;Renault Z.E. 17;MICHELIN;;;;;;;2016908103;;;;André;Lotterer;;DEU;DEU;LOT;8013;;1981111900;;;
14;1;Classified;45;50:44.221;+39.137;+10.546;27;1:03.928;104.7;Audi Sport ABT Schaeffler;;;;Audi e-tron FE04;MICHELIN;;;;;;;2017908101;;;;Lucas;Di Grassi;;BRA;BRA;DIG;1098;;1984081100;;;
15;7;Classified;45;51:00.273;+55.189;+16.052;30;1:05.290;102.6;DRAGON;;;;PENSKE EV-2;MICHELIN;;;;;;;2016908101;;;;Jérôme;d'Ambrosio;;BEL;BEL;DAM;1084;;1985122700;;;
16;23;Classified;44;50:01.246;1 Lap;1 Lap;34;1:04.198;104.3;Mahindra Racing;;;;Mahindra M4Electro;MICHELIN;;;;;;;2011806107;;;;Nick;Heidfeld;;DEU;DEU;HEI;1099;;1977051000;;;
17;27;Classified;44;50:06.518;1 Lap;+5.272;35;1:04.099;104.5;Andretti Formula E;;;;Andretti ATEC-04;MICHELIN;;;;;;;2017908103;;;;Kamui;Kobayashi;;MCO;MCO;KOB;8017;;1986091300;;;
18;6;Classified;44;50:10.563;1 Lap;+4.045;6;1:05.655;102.0;DRAGON;;;;PENSKE EV-2;MICHELIN;;;;;;;2016908101;;;;Neel;Jani;;CHE;CHE;JAN;8012;;1983120800;;;
;68;Not classified;36;46:07.377;;;31;1:04.409;104.0;NIO Formula E Team;;;;NextEV NIO Sport 003;MICHELIN;;;;;;;2017908102;;;;Luca;Filippi;;ITA;ITA;FIL;8015;;1985080900;;;
;66;;45;49:59.808;;;35;1:04.501;103.8;Audi Sport ABT Schaeffler;;;;Audi e-tron FE04;MICHELIN;;;;;;;2017908101;;;;Daniel;Abt;;DEU;DEU;ABT;1080;;1990015408;;;
