NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
16;0;1;3:43.384;0;;2:39.718;0;42.478;0;21.188;0;47.9;3:43.384;12:38:43.384;2:39.718;0:42.478;0:21.188;;Oliver TURVEY;0:02:11.136;;4;NIO Formula E Team;;
16;0;2;1:34.565;0;;33.905;0;40.868;0;19.792;0;113.1;5:17.949;12:40:17.949;0:33.905;0:40.868;0:19.792;;Oliver TURVEY;;;4;NIO Formula E Team;;
16;0;3;2:22.789;0;B;28.290;2;40.036;0;1:14.463;0;74.9;7:40.738;12:42:40.738;0:28.290;0:40.036;1:14.463;;Oliver TURVEY;;;4;NIO Formula E Team;;
16;0;4;6:23.821;0;;5:19.140;0;44.236;0;20.445;0;27.9;14:04.558;12:49:04.559;5:19.140;0:44.236;0:20.445;;Oliver TURVEY;0:05:06.417;;4;NIO Formula E Team;;
16;0;5;1:20.748;2;;28.540;0;35.159;2;17.049;2;132.5;15:25.306;12:50:25.307;0:28.540;0:35.159;0:17.049;;Oliver TURVEY;;;4;NIO Formula E Team;;
20;0;1;3:04.444;0;;1:54.989;0;47.021;0;22.434;0;58.0;3:04.444;12:38:04.444;1:54.989;0:47.021;0:22.434;;Mitch EVANS;0:01:20.116;;4;Panasonic Jaguar Racing;;
20;0;2;1:33.677;0;;34.299;0;41.405;0;17.973;0;114.2;4:38.121;12:39:38.121;0:34.299;0:41.405;0:17.973;;Mitch EVANS;;;4;Panasonic Jaguar Racing;;
20;0;3;1:20.690;2;;28.417;2;35.190;2;17.083;2;132.6;5:58.811;12:40:58.811;0:28.417;0:35.190;0:17.083;;Mitch EVANS;;;4;Panasonic Jaguar Racing;;
20;0;4;5:05.948;0;B;41.268;0;1:27.176;0;2:57.504;0;35.0;11:04.759;12:46:04.759;0:41.268;1:27.176;2:57.504;;Mitch EVANS;;;4;Panasonic Jaguar Racing;;
28;0;1;3:25.897;0;;2:20.217;0;44.897;0;20.783;0;51.9;3:25.897;12:38:25.897;2:20.217;0:44.897;0:20.783;;Antonio Felix DA COSTA;0:01:48.128;;4;Andretti Formula E;;
28;0;2;1:36.167;2;;34.031;0;42.597;2;19.539;2;111.2;5:02.064;12:40:02.064;0:34.031;0:42.597;0:19.539;;Antonio Felix DA COSTA;;;4;Andretti Formula E;;
3;0;1;3:22.189;0;;2:19.691;0;41.609;0;20.889;0;52.9;3:22.189;12:38:22.189;2:19.691;0:41.609;0:20.889;;Nelson PIQUET;0:01:50.281;;4;Panasonic Jaguar Racing;;
3;0;2;1:29.441;0;;32.910;0;38.711;0;17.820;0;119.6;4:51.630;12:39:51.630;0:32.910;0:38.711;0:17.820;;Nelson PIQUET;;;4;Panasonic Jaguar Racing;;
3;0;3;1:20.585;3;;28.549;2;35.062;3;16.974;2;132.7;6:12.215;12:41:12.215;0:28.549;0:35.062;0:16.974;;Nelson PIQUET;;;4;Panasonic Jaguar Racing;;
3;0;4;7:01.743;0;B;49.701;0;1:32.262;0;4:39.780;0;25.4;13:13.957;12:48:13.958;0:49.701;1:32.262;4:39.780;;Nelson PIQUET;;;4;Panasonic Jaguar Racing;;
66;0;1;3:37.080;0;;2:32.002;0;43.293;0;21.785;0;49.3;3:37.080;12:38:37.080;2:32.002;0:43.293;0:21.785;;Daniel ABT;0:02:03.565;;4;Audi Sport ABT Schaeffler;;
66;0;2;1:34.373;0;;32.513;0;43.435;0;18.425;0;113.3;5:11.453;12:40:11.453;0:32.513;0:43.435;0:18.425;;Daniel ABT;;;4;Audi Sport ABT Schaeffler;;
66;0;3;2:10.952;0;B;28.243;4;45.320;0;57.389;0;81.7;7:22.405;12:42:22.405;0:28.243;0:45.320;0:57.389;;Daniel ABT;;;4;Audi Sport ABT Schaeffler;;
66;0;4;6:17.360;0;;5:16.922;0;42.403;0;18.035;0;28.3;13:39.764;12:48:39.765;5:16.922;0:42.403;0:18.035;;Daniel ABT;0:05:00.496;;4;Audi Sport ABT Schaeffler;;
66;0;5;1:20.605;2;;28.380;0;35.264;2;16.961;3;132.7;15:00.369;12:50:00.370;0:28.380;0:35.264;0:16.961;;Daniel ABT;;;4;Audi Sport ABT Schaeffler;;
