NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;9:37.404;0;;8:36.963;0;40.118;0;20.323;0;18.5;9:37.404;13:04:37.404;8:36.963;0:40.118;0:20.323;;Lucas DI GRASSI;0:08:08.322;;1;Audi Sport ABT Schaeffler;;
1;0;2;1:21.444;2;;28.258;3;35.520;2;17.666;2;131.3;10:58.848;13:05:58.848;0:28.258;0:35.520;0:17.666;;Lucas DI GRASSI;;;1;Audi Sport ABT Schaeffler;;
1;0;3;3:30.025;0;B;1:01.398;0;44.396;0;1:44.231;0;50.9;14:28.873;13:09:28.873;1:01.398;0:44.396;1:44.231;;Lucas DI GRASSI;;;1;Audi Sport ABT Schaeffler;;
19;0;1;12:09.175;0;;11:13.221;0;38.286;0;17.668;0;14.7;12:09.175;13:07:09.175;11:13.221;0:38.286;0:17.668;;Felix ROSENQVIST;0:10:44.022;;3;Mahindra Racing;;
19;0;2;1:21.196;2;;28.479;2;35.765;2;16.952;3;131.7;13:30.371;13:08:30.371;0:28.479;0:35.765;0:16.952;;Felix ROSENQVIST;;;3;Mahindra Racing;;
2;0;1;1:32.782;0;;31.356;0;42.150;0;19.276;0;115.3;1:32.782;12:56:32.782;0:31.356;0:42.150;0:19.276;;Sam BIRD;0:00:03.758;;3;DS Virgin Racing;;
2;0;2;1:20.615;2;;28.519;2;35.129;2;16.967;2;132.7;2:53.397;12:57:53.397;0:28.519;0:35.129;0:16.967;;Sam BIRD;;;3;DS Virgin Racing;;
2;0;3;3:30.782;0;B;30.363;0;36.674;0;2:23.745;0;50.7;6:24.179;13:01:24.179;0:30.363;0:36.674;2:23.745;;Sam BIRD;;;3;DS Virgin Racing;;
6;0;1;6:52.126;0;;5:50.943;0;41.603;0;19.580;0;26.0;6:52.126;13:01:52.126;5:50.943;0:41.603;0:19.580;;José Maria LOPEZ;0:05:18.501;;1;DRAGON;;
6;0;2;1:21.369;2;;28.424;2;35.812;2;17.133;2;131.4;8:13.495;13:03:13.495;0:28.424;0:35.812;0:17.133;;José Maria LOPEZ;;;1;DRAGON;;
6;0;3;3:20.394;0;B;32.230;0;41.421;0;2:06.743;0;53.4;11:33.889;13:06:33.889;0:32.230;0:41.421;2:06.743;;José Maria LOPEZ;;;1;DRAGON;;
9;0;1;4:11.147;0;;3:11.533;0;40.837;0;18.777;0;42.6;4:11.147;12:59:11.147;3:11.533;0:40.837;0:18.777;;Sébastien BUEMI;0:02:40.777;;2;Renault e.dams;;
9;0;2;1:20.355;3;;28.266;2;35.051;3;17.038;2;133.1;5:31.502;13:00:31.502;0:28.266;0:35.051;0:17.038;;Sébastien BUEMI;;;2;Renault e.dams;;
9;0;3;3:17.617;0;B;35.113;0;40.287;0;2:02.217;0;54.1;8:49.119;13:03:49.119;0:35.113;0:40.287;2:02.217;;Sébastien BUEMI;;;2;Renault e.dams;;
