NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;1:29.105;0;;33.510;0;37.457;0;18.138;0;120.0;1:29.105;16:05:21.672;0:33.510;0:37.457;0:18.138;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;2;1:25.382;0;;29.910;0;37.357;0;18.115;0;125.3;2:54.487;16:06:47.054;0:29.910;0:37.357;0:18.115;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;3;1:24.628;0;;29.965;0;36.894;0;17.769;0;126.4;4:19.115;16:08:11.682;0:29.965;0:36.894;0:17.769;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;4;1:24.220;2;;29.702;0;36.866;2;17.652;2;127.0;5:43.335;16:09:35.902;0:29.702;0:36.866;0:17.652;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;5;1:24.317;0;;29.652;0;36.974;0;17.691;0;126.8;7:07.652;16:11:00.219;0:29.652;0:36.974;0:17.691;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;6;1:24.448;0;;29.576;2;36.880;0;17.992;0;126.7;8:32.100;16:12:24.667;0:29.576;0:36.880;0:17.992;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;7;3:17.835;0;B;30.195;0;53.239;0;1:54.401;0;54.1;11:49.935;16:15:42.502;0:30.195;0:53.239;1:54.401;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
16;0;1;1:37.765;0;;41.760;0;37.732;0;18.273;0;109.4;1:37.765;16:05:30.332;0:41.760;0:37.732;0:18.273;;Oliver TURVEY;0:00:16.150;;;NIO Formula E Team;;
16;0;2;1:25.147;0;;30.102;0;37.069;0;17.976;0;125.6;3:02.912;16:06:55.479;0:30.102;0:37.069;0:17.976;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;3;1:27.679;0;;30.037;0;39.503;0;18.139;0;122.0;4:30.591;16:08:23.158;0:30.037;0:39.503;0:18.139;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;4;1:24.546;0;;29.754;0;37.025;0;17.767;0;126.5;5:55.137;16:09:47.704;0:29.754;0:37.025;0:17.767;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;5;1:24.194;2;;29.733;0;36.739;2;17.722;2;127.0;7:19.331;16:11:11.898;0:29.733;0:36.739;0:17.722;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;6;1:24.559;0;;29.811;0;36.851;0;17.897;0;126.5;8:43.890;16:12:36.457;0:29.811;0:36.851;0:17.897;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;7;1:25.231;0;;29.806;0;37.360;0;18.065;0;125.5;10:09.121;16:14:01.688;0:29.806;0:37.360;0:18.065;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;8;1:24.556;0;;29.782;0;36.888;0;17.886;0;126.5;11:33.677;16:15:26.244;0:29.782;0:36.888;0:17.886;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;9;1:24.902;0;;29.897;0;37.054;0;17.951;0;126.0;12:58.579;16:16:51.146;0:29.897;0:37.054;0:17.951;;Oliver TURVEY;;;;NIO Formula E Team;;
