NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;1:08.648;0;;18.615;0;30.458;0;19.575;0;109.8;1:08.648;10:31:08.648;0:18.615;0:30.458;0:19.575;;Lucas DI GRASSI;0:00:08.366;;;Audi Sport ABT Schaeffler;;
1;0;2;1:03.493;0;;15.398;0;28.718;0;19.377;0;118.7;2:12.141;10:32:12.141;0:15.398;0:28.718;0:19.377;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;3;1:04.912;0;;15.871;0;28.864;0;20.177;0;116.1;3:17.053;10:33:17.053;0:15.871;0:28.864;0:20.177;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;4;1:03.188;0;;15.157;0;28.582;0;19.449;0;119.2;4:20.241;10:34:20.241;0:15.157;0:28.582;0:19.449;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;5;1:03.999;0;;15.355;0;29.052;0;19.592;0;117.7;5:24.240;10:35:24.240;0:15.355;0:29.052;0:19.592;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;6;1:03.443;0;;15.304;0;28.718;0;19.421;0;118.8;6:27.683;10:36:27.683;0:15.304;0:28.718;0:19.421;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;7;1:03.544;0;;15.115;0;28.931;0;19.498;0;118.6;7:31.227;10:37:31.227;0:15.115;0:28.931;0:19.498;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;8;1:04.006;0;;15.388;0;28.977;0;19.641;0;117.7;8:35.233;10:38:35.233;0:15.388;0:28.977;0:19.641;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;9;1:18.787;0;;19.343;0;36.640;0;22.804;0;95.6;9:54.020;10:39:54.020;0:19.343;0:36.640;0:22.804;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;10;1:02.502;0;;14.749;0;28.468;0;19.285;0;120.6;10:56.522;10:40:56.522;0:14.749;0:28.468;0:19.285;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;11;1:10.267;0;B;17.374;0;28.802;0;24.091;0;107.2;12:06.789;10:42:06.789;0:17.374;0:28.802;0:24.091;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;12;4:31.692;0;;3:33.823;0;33.607;0;24.262;0;27.7;16:38.481;10:46:38.481;3:33.823;0:33.607;0:24.262;;Lucas DI GRASSI;0:03:26.166;;;Audi Sport ABT Schaeffler;;
1;0;13;1:13.647;0;;19.595;0;33.957;0;20.095;0;102.3;17:52.128;10:47:52.128;0:19.595;0:33.957;0:20.095;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;14;1:01.203;3;;14.276;2;28.035;2;18.892;2;123.1;18:53.331;10:48:53.331;0:14.276;0:28.035;0:18.892;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;15;1:09.427;0;B;15.546;0;30.340;0;23.541;0;108.5;20:02.758;10:50:02.758;0:15.546;0:30.340;0:23.541;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;16;9:22.390;0;;8:28.554;0;31.994;0;21.842;0;13.4;29:25.148;10:59:25.148;8:28.554;0:31.994;0:21.842;;Lucas DI GRASSI;0:08:22.337;;;Audi Sport ABT Schaeffler;;
1;0;17;1:02.610;0;;14.667;0;28.599;0;19.344;0;120.3;30:27.758;11:00:27.758;0:14.667;0:28.599;0:19.344;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
16;0;1;1:59.603;0;;1:04.161;0;34.065;0;21.377;0;63.0;1:59.603;10:31:59.603;1:04.161;0:34.065;0:21.377;;Oliver TURVEY;0:00:53.290;;;NIO Formula E Team;;
16;0;2;1:16.704;0;;18.403;0;33.694;0;24.607;0;98.2;3:16.307;10:33:16.307;0:18.403;0:33.694;0:24.607;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;3;1:01.821;2;;14.549;2;28.106;2;19.166;0;121.9;4:18.128;10:34:18.128;0:14.549;0:28.106;0:19.166;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;4;1:18.020;0;;17.714;0;35.885;0;24.421;0;96.6;5:36.148;10:35:36.148;0:17.714;0:35.885;0:24.421;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;5;1:02.544;0;;14.871;0;28.354;0;19.319;0;120.5;6:38.692;10:36:38.692;0:14.871;0:28.354;0:19.319;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;6;1:14.061;0;;17.948;0;33.296;0;22.817;0;101.7;7:52.753;10:37:52.753;0:17.948;0:33.296;0:22.817;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;7;1:02.441;0;;14.733;0;28.392;0;19.316;0;120.7;8:55.194;10:38:55.194;0:14.733;0:28.392;0:19.316;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;8;1:14.400;0;;18.334;0;34.593;0;21.473;0;101.3;10:09.594;10:40:09.594;0:18.334;0:34.593;0:21.473;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;9;1:02.372;0;;14.668;0;28.402;0;19.302;0;120.8;11:11.966;10:41:11.966;0:14.668;0:28.402;0:19.302;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;10;1:10.245;0;B;15.033;0;29.539;0;25.673;0;107.3;12:22.211;10:42:22.211;0:15.033;0:29.539;0:25.673;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;11;17:09.470;0;;16:08.675;0;33.440;0;27.355;0;7.3;29:31.681;10:59:31.681;16:08.675;0:33.440;0:27.355;;Oliver TURVEY;0:16:02.465;;;NIO Formula E Team;;
16;0;12;1:02.019;0;;14.786;0;28.392;0;18.841;3;121.5;30:33.700;11:00:33.700;0:14.786;0:28.392;0:18.841;;Oliver TURVEY;;;;NIO Formula E Team;;
18;0;1;1:23.519;0;;23.922;0;36.506;0;23.091;0;90.2;1:23.519;10:31:23.519;0:23.922;0:36.506;0:23.091;;André LOTTERER;0:00:13.650;;;TECHEETAH;;
18;0;2;1:13.765;0;;18.016;0;32.270;0;23.479;0;102.1;2:37.284;10:32:37.284;0:18.016;0:32.270;0:23.479;;André LOTTERER;;;;TECHEETAH;;
18;0;3;1:01.918;2;;14.533;2;28.233;2;19.152;2;121.7;3:39.202;10:33:39.202;0:14.533;0:28.233;0:19.152;;André LOTTERER;;;;TECHEETAH;;
18;0;4;1:10.462;0;B;15.615;0;30.046;0;24.801;0;106.9;4:49.664;10:34:49.664;0:15.615;0:30.046;0:24.801;;André LOTTERER;;;;TECHEETAH;;
18;0;5;3:34.609;0;;2:41.259;0;32.604;0;20.746;0;35.1;8:24.273;10:38:24.273;2:41.259;0:32.604;0:20.746;;André LOTTERER;0:02:35.791;;;TECHEETAH;;
18;0;6;1:03.843;0;;15.113;0;29.049;0;19.681;0;118.0;9:28.116;10:39:28.116;0:15.113;0:29.049;0:19.681;;André LOTTERER;;;;TECHEETAH;;
18;0;7;1:04.216;0;;15.144;0;29.122;0;19.950;0;117.3;10:32.332;10:40:32.332;0:15.144;0:29.122;0:19.950;;André LOTTERER;;;;TECHEETAH;;
18;0;8;1:26.814;0;;15.249;0;42.095;0;29.470;0;86.8;11:59.146;10:41:59.146;0:15.249;0:42.095;0:29.470;;André LOTTERER;;;;TECHEETAH;;
18;0;9;1:03.034;0;;14.832;0;28.723;0;19.479;0;119.5;13:02.180;10:43:02.180;0:14.832;0:28.723;0:19.479;;André LOTTERER;;;;TECHEETAH;;
18;0;10;1:04.252;0;;14.915;0;29.217;0;20.120;0;117.3;14:06.432;10:44:06.432;0:14.915;0:29.217;0:20.120;;André LOTTERER;;;;TECHEETAH;;
18;0;11;1:31.306;0;;15.076;0;48.849;0;27.381;0;82.5;15:37.738;10:45:37.738;0:15.076;0:48.849;0:27.381;;André LOTTERER;;;;TECHEETAH;;
18;0;12;1:03.397;0;;14.767;0;28.677;0;19.953;0;118.9;16:41.135;10:46:41.135;0:14.767;0:28.677;0:19.953;;André LOTTERER;;;;TECHEETAH;;
18;0;13;1:08.451;0;B;15.308;0;28.991;0;24.152;0;110.1;17:49.586;10:47:49.586;0:15.308;0:28.991;0:24.152;;André LOTTERER;;;;TECHEETAH;;
18;0;14;11:49.805;0;;10:49.507;0;37.764;0;22.534;0;10.6;29:39.391;10:59:39.391;10:49.507;0:37.764;0:22.534;;André LOTTERER;0:10:41.018;;;TECHEETAH;;
18;0;15;1:02.964;0;;14.595;0;28.590;0;19.779;0;119.7;30:42.355;11:00:42.355;0:14.595;0:28.590;0:19.779;;André LOTTERER;;;;TECHEETAH;;
19;0;1;1:20.403;0;;19.351;0;34.019;0;27.033;0;93.7;1:20.403;10:31:20.403;0:19.351;0:34.019;0:27.033;;Felix ROSENQVIST;0:00:09.023;;;Mahindra Racing;;
19;0;2;1:14.027;0;;15.683;0;35.013;0;23.331;0;101.8;2:34.430;10:32:34.430;0:15.683;0:35.013;0:23.331;;Felix ROSENQVIST;;;;Mahindra Racing;;
19;0;3;1:01.442;2;;14.277;2;28.092;2;19.073;2;122.6;3:35.872;10:33:35.872;0:14.277;0:28.092;0:19.073;;Felix ROSENQVIST;;;;Mahindra Racing;;
19;0;4;1:02.496;0;;14.441;0;28.434;0;19.621;0;120.6;4:38.368;10:34:38.368;0:14.441;0:28.434;0:19.621;;Felix ROSENQVIST;;;;Mahindra Racing;;
19;0;5;1:16.439;0;;18.510;0;36.435;0;21.494;0;98.6;5:54.807;10:35:54.807;0:18.510;0:36.435;0:21.494;;Felix ROSENQVIST;;;;Mahindra Racing;;
19;0;6;1:03.937;0;;15.260;0;28.958;0;19.719;0;117.8;6:58.744;10:36:58.744;0:15.260;0:28.958;0:19.719;;Felix ROSENQVIST;;;;Mahindra Racing;;
19;0;7;1:15.601;0;B;15.340;0;31.649;0;28.612;0;99.7;8:14.345;10:38:14.345;0:15.340;0:31.649;0:28.612;;Felix ROSENQVIST;;;;Mahindra Racing;;
19;0;8;4:13.179;0;;3:17.053;0;34.882;0;21.244;0;29.8;12:27.524;10:42:27.524;3:17.053;0:34.882;0:21.244;;Felix ROSENQVIST;0:03:10.554;;;Mahindra Racing;;
19;0;9;1:08.074;0;;17.078;0;30.333;0;20.663;0;110.7;13:35.598;10:43:35.598;0:17.078;0:30.333;0:20.663;;Felix ROSENQVIST;;;;Mahindra Racing;;
19;0;10;1:01.982;0;;14.316;0;28.571;0;19.095;0;121.6;14:37.580;10:44:37.580;0:14.316;0:28.571;0:19.095;;Felix ROSENQVIST;;;;Mahindra Racing;;
19;0;11;1:12.658;0;;15.678;0;34.911;0;22.069;0;103.7;15:50.238;10:45:50.238;0:15.678;0:34.911;0:22.069;;Felix ROSENQVIST;;;;Mahindra Racing;;
