NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
19;0;1;1:54.617;0;;51.964;0;39.260;0;23.393;0;65.7;1:54.617;12:11:54.617;0:51.964;0:39.260;0:23.393;;Felix ROSENQVIST;0:00:36.716;;2;Mahindra Racing;;
19;0;2;1:12.938;0;;19.033;0;33.555;0;20.350;0;103.3;3:07.555;12:13:07.555;0:19.033;0:33.555;0:20.350;;Felix ROSENQVIST;;;2;Mahindra Racing;;
19;0;3;1:01.676;2;;14.355;2;28.302;2;19.019;4;122.2;4:09.231;12:14:09.231;0:14.355;0:28.302;0:19.019;;Felix ROSENQVIST;;;2;Mahindra Racing;;
19;0;4;1:31.425;0;B;15.841;0;32.006;0;43.578;0;82.4;5:40.656;12:15:40.656;0:15.841;0:32.006;0:43.578;;Felix ROSENQVIST;;;2;Mahindra Racing;;
2;0;1;4:12.588;0;;3:10.748;0;36.379;0;25.461;0;29.8;4:12.588;12:14:12.588;3:10.748;0:36.379;0:25.461;;Sam BIRD;0:02:59.249;;2;DS Virgin Racing;;
2;0;2;1:14.277;0;;18.907;0;33.678;0;21.692;0;101.4;5:26.865;12:15:26.865;0:18.907;0:33.678;0:21.692;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;3;1:02.007;2;;14.507;2;28.226;2;19.274;2;121.5;6:28.872;12:16:28.872;0:14.507;0:28.226;0:19.274;;Sam BIRD;;;2;DS Virgin Racing;;
25;0;1;3:58.962;0;;2:57.646;0;37.585;0;23.731;0;31.5;3:58.962;12:13:58.962;2:57.646;0:37.585;0:23.731;;Jean-Eric VERGNE;0:02:43.892;;2;TECHEETAH;;
25;0;2;1:09.663;0;;16.964;0;31.719;0;20.980;0;108.2;5:08.625;12:15:08.625;0:16.964;0:31.719;0:20.980;;Jean-Eric VERGNE;;;2;TECHEETAH;;
25;0;3;1:01.962;2;;14.490;2;28.215;4;19.257;2;121.6;6:10.587;12:16:10.587;0:14.490;0:28.215;0:19.257;;Jean-Eric VERGNE;;;2;TECHEETAH;;
3;0;1;4:29.682;0;;3:20.028;0;44.974;0;24.680;0;27.9;4:29.682;12:14:29.682;3:20.028;0:44.974;0:24.680;;Nelson PIQUET;0:03:07.900;;2;Panasonic Jaguar Racing;;
3;0;2;1:18.995;0;;19.239;0;39.179;0;20.577;0;95.4;5:48.677;12:15:48.677;0:19.239;0:39.179;0:20.577;;Nelson PIQUET;;;2;Panasonic Jaguar Racing;;
3;0;3;1:01.964;2;;14.420;2;28.467;2;19.077;2;121.6;6:50.641;12:16:50.641;0:14.420;0:28.467;0:19.077;;Nelson PIQUET;;;2;Panasonic Jaguar Racing;;
9;0;1;4:34.303;0;;3:36.737;0;34.981;0;22.585;0;27.5;4:34.303;12:14:34.303;3:36.737;0:34.981;0:22.585;;Sébastien BUEMI;0:03:25.330;;2;Renault e.dams;;
9;0;2;1:10.385;0;;16.114;0;33.003;0;21.268;0;107.1;5:44.688;12:15:44.688;0:16.114;0:33.003;0:21.268;;Sébastien BUEMI;;;2;Renault e.dams;;
9;0;3;1:01.668;4;;14.271;4;28.362;2;19.035;2;122.2;6:46.356;12:16:46.356;0:14.271;0:28.362;0:19.035;;Sébastien BUEMI;;;2;Renault e.dams;;
