NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
16;0;1;3:09.035;0;;2:15.217;0;32.537;0;21.281;0;39.9;3:09.035;12:48:09.035;2:15.217;0:32.537;0:21.281;;Oliver TURVEY;0:02:01.698;;3;NIO Formula E Team;;
16;0;2;1:02.172;2;;14.414;2;28.527;2;19.231;2;121.2;4:11.207;12:49:11.207;0:14.414;0:28.527;0:19.231;;Oliver TURVEY;;;3;NIO Formula E Team;;
16;0;3;1:11.971;0;B;16.049;0;29.889;0;26.033;0;104.7;5:23.178;12:50:23.178;0:16.049;0:29.889;0:26.033;;Oliver TURVEY;;;3;NIO Formula E Team;;
19;0;1;6:55.451;0;;6:01.969;0;33.286;0;20.196;0;18.1;6:55.451;12:51:55.451;6:01.969;0:33.286;0:20.196;;Felix ROSENQVIST;0:05:48.919;;2;Mahindra Racing;;
19;0;2;1:01.645;3;;14.304;3;28.423;2;18.918;3;122.2;7:57.096;12:52:57.096;0:14.304;0:28.423;0:18.918;;Felix ROSENQVIST;;;2;Mahindra Racing;;
19;0;3;1:31.822;0;B;16.335;0;34.434;0;41.053;0;82.1;9:28.918;12:54:28.918;0:16.335;0:34.434;0:41.053;;Felix ROSENQVIST;;;2;Mahindra Racing;;
28;0;1;5:03.613;0;;4:08.844;0;34.018;0;20.751;0;24.8;5:03.613;12:50:03.613;4:08.844;0:34.018;0:20.751;;Antonio Felix DA COSTA;0:03:55.222;;3;Andretti Formula E;;
28;0;2;1:01.852;2;;14.425;2;28.309;3;19.118;2;121.8;6:05.465;12:51:05.465;0:14.425;0:28.309;0:19.118;;Antonio Felix DA COSTA;;;3;Andretti Formula E;;
28;0;3;1:16.134;0;B;16.228;0;30.638;0;29.268;0;99.0;7:21.599;12:52:21.599;0:16.228;0:30.638;0:29.268;;Antonio Felix DA COSTA;;;3;Andretti Formula E;;
36;0;1;1:15.555;0;;16.272;0;37.505;0;21.778;0;99.7;1:15.555;12:46:15.555;0:16.272;0:37.505;0:21.778;;Alex LYNN;0:00:02.793;;3;DS Virgin Racing;;
36;0;2;1:02.014;2;;14.382;2;28.388;2;19.244;2;121.5;2:17.569;12:47:17.569;0:14.382;0:28.388;0:19.244;;Alex LYNN;;;3;DS Virgin Racing;;
36;0;3;1:11.467;0;B;15.355;0;29.611;0;26.501;0;105.4;3:29.036;12:48:29.036;0:15.355;0:29.611;0:26.501;;Alex LYNN;;;3;DS Virgin Racing;;
9;0;1;8:55.102;0;;7:57.249;0;35.611;0;22.242;0;14.1;8:55.102;12:53:55.102;7:57.249;0:35.611;0:22.242;;Sébastien BUEMI;0:07:44.520;;2;Renault e.dams;;
9;0;2;1:02.510;2;;14.559;2;28.637;2;19.314;2;120.5;9:57.612;12:54:57.612;0:14.559;0:28.637;0:19.314;;Sébastien BUEMI;;;2;Renault e.dams;;
