POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;ECM ForixTeamId;*Extra 8;*Extra 9;*Extra 10;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_ECM ForixDriverId;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;66;Classified;47;50:45.164;-;-;31;1:03.154;119.3;Audi Sport ABT Schaeffler;;;;Audi e-tron FE04;MICHELIN;;;;;;;2017908101;;;;Daniel;ABT;;DEU;DEU;ABT;1080;;1990015408;;;
2;16;Classified;47;50:51.562;+6.398;+6.398;31;1:03.122;119.4;NIO Formula E Team;;;;NextEV NIO Sport 003;MICHELIN;;;;;;;2017908102;;;;Oliver;TURVEY;;GBR;GBR;TUR;9092;;1987040100;;;
3;9;Classified;47;50:51.779;+6.615;+0.217;31;1:03.108;119.4;Renault e.dams;;;;Renault Z.E. 17;MICHELIN;;;;;;;2015908104;;;;Sébastien;BUEMI;;CHE;CHE;BUE;1090;;1988103100;;;
4;3;Classified;47;50:52.179;+7.015;+0.400;32;1:02.709;120.2;Panasonic Jaguar Racing;;;;Jaguar I-Type II;MICHELIN;;;;;;;2016020101;;;;Nelson;PIQUET;;BRA;BRA;PIQ;9069;;1985072500;;;
5;25;Classified;47;50:52.710;+7.546;+0.531;30;1:03.284;119.1;TECHEETAH;;;;Renault Z.E. 17;MICHELIN;;;;;;;2016908103;;;;Jean-Eric;VERGNE;;FRA;FRA;VER;1086;;1990042500;;;
6;20;Classified;47;50:54.214;+9.050;+1.504;26;1:02.907;119.8;Panasonic Jaguar Racing;;;;Jaguar I-Type II;MICHELIN;;;;;;;2016020101;;;;Mitch;EVANS;;NZL;NZL;EVA;8007;;1990015617;;;
7;28;Classified;47;51:02.321;+17.157;+8.107;27;1:03.043;119.5;Andretti Formula E;;;;Andretti ATEC-03;MICHELIN;;;;;;;2017908103;;;;Antonio Felix;DA COSTA;;PRT;PRT;DAC;3177;;1991083100;;;
8;4;Classified;47;51:11.675;+26.511;+9.354;27;1:03.330;119.0;Venturi Formula E Team;;;;Venturi VM200-FE-03;MICHELIN;;;;;;;2016908106;;;;Edoardo;MORTARA;;CHE;CHE;MOR;8014;;1988010183;;;
9;1;Classified;47;51:14.372;+29.208;+2.697;27;1:02.202;121.1;Audi Sport ABT Schaeffler;;;;Audi e-tron FE04;MICHELIN;;;;;;;2017908101;;;;Lucas;DI GRASSI;;BRA;BRA;DIG;1098;;1984081100;;;
10;36;Classified;47;51:14.679;+29.515;+0.307;30;1:03.793;118.1;DS Virgin Racing;;;;DS Virgin DSV-03;MICHELIN;;;;;;;2016908105;;;;Alex;LYNN;;GBR;GBR;LYN;8010;;1991015233;;;
11;7;Classified;47;51:15.582;+30.418;+0.903;25;1:03.131;119.4;DRAGON;;;;PENSKE EV-2;MICHELIN;;;;;;;2016908101;;;;Jérôme;D'AMBROSIO;;BEL;BEL;DAM;1084;;1985122700;;;
12;6;Classified;47;51:17.023;+31.859;+1.441;25;1:03.162;119.3;DRAGON;;;;PENSKE EV-2;MICHELIN;;;;;;;2016908101;;;;José Maria;LOPEZ;;ARG;ARG;LOP;8004;;1983042600;;;
13;18;Classified;47;51:21.370;+36.206;+4.347;28;1:03.174;119.3;TECHEETAH;;;;Renault Z.E. 17;MICHELIN;;;;;;;2016908103;;;;André;LOTTERER;;DEU;DEU;LOT;8013;;1981111900;;;
14;68;Classified;47;51:23.500;+38.336;+2.130;29;1:03.328;119.0;NIO Formula E Team;;;;NextEV NIO Sport 003;MICHELIN;;;;;;;2017908102;;;;Luca;FILIPPI;;ITA;ITA;FIL;8015;;1985080900;;;
15;27;Classified;47;51:23.756;+38.592;+0.256;33;1:03.298;119.0;Andretti Formula E;;;;Andretti ATEC-03;MICHELIN;;;;;;;2017908103;;;;Tom;BLOMQVIST;;GBR;GBR;BLO;8016;;1993113000;;;
16;5;Classified;47;51:29.853;+44.689;+6.097;27;1:03.017;119.6;Venturi Formula E Team;;;;Venturi VM200-FE-03;MICHELIN;;;;;;;2016908106;;;;Maro;ENGEL;;DEU;DEU;ENG;8003;;1985082700;;;
17;2;Classified;47;51:30.146;+44.982;+0.293;29;1:03.907;117.9;DS Virgin Racing;;;;DS Virgin DSV-03;MICHELIN;;;;;;;2016908105;;;;Sam;BIRD;;GBR;GBR;BIR;1087;;1987010900;;;
;8;Not classified;36;39:39.665;;;27;1:03.013;119.6;Renault e.dams;;;;Renault Z.E. 17;MICHELIN;;;;;;;2015908104;;;;Nicolas;PROST;;FRA;FRA;PRO;2032;;1981081801;;;
;19;Not classified;34;39:05.046;;;12;1:03.501;118.7;Mahindra Racing;;;;Mahindra M4Electro;MICHELIN;;;;;;;2011806107;;;;Felix;ROSENQVIST;;SWE;SWE;FRO;8005;;1990015169;;;
;23;Not classified;27;31:24.654;;;11;1:03.961;117.8;Mahindra Racing;;;;Mahindra M4Electro;MICHELIN;;;;;;;2011806107;;;;Nick;HEIDFELD;;DEU;DEU;HEI;1099;;1977051000;;;
