NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;1:15.923;0;;22.212;0;33.301;0;20.410;0;99.2;1:15.923;16:05:00.475;0:22.212;0:33.301;0:20.410;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;2;1:04.527;0;;15.507;0;29.321;0;19.699;0;116.8;2:20.450;16:06:05.002;0:15.507;0:29.321;0:19.699;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;3;1:04.730;0;;15.390;0;29.535;0;19.805;0;116.4;3:25.180;16:07:09.732;0:15.390;0:29.535;0:19.805;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;4;1:04.964;0;;15.374;0;29.993;0;19.597;0;116.0;4:30.144;16:08:14.696;0:15.374;0:29.993;0:19.597;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;5;1:04.723;0;;15.364;0;29.243;0;20.116;0;116.4;5:34.867;16:09:19.419;0:15.364;0:29.243;0:20.116;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;6;1:04.116;0;;15.380;0;28.928;0;19.808;0;117.5;6:38.983;16:10:23.535;0:15.380;0:28.928;0:19.808;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;7;1:04.307;0;;15.264;0;29.283;0;19.760;0;117.2;7:43.290;16:11:27.842;0:15.264;0:29.283;0:19.760;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;8;1:04.059;0;;15.290;0;29.111;0;19.658;0;117.6;8:47.349;16:12:31.901;0:15.290;0:29.111;0:19.658;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;9;1:04.000;0;;15.246;0;29.040;0;19.714;0;117.7;9:51.349;16:13:35.901;0:15.246;0:29.040;0:19.714;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;10;1:03.951;0;;15.244;0;29.084;0;19.623;0;117.8;10:55.300;16:14:39.852;0:15.244;0:29.084;0:19.623;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;11;1:04.248;0;;15.333;0;29.187;0;19.728;0;117.3;11:59.548;16:15:44.100;0:15.333;0:29.187;0:19.728;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;12;1:04.110;0;;15.311;0;29.057;0;19.742;0;117.5;13:03.658;16:16:48.210;0:15.311;0:29.057;0:19.742;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;13;1:04.094;0;;15.258;0;29.174;0;19.662;0;117.6;14:07.752;16:17:52.304;0:15.258;0:29.174;0:19.662;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;14;1:04.192;0;;15.141;0;29.335;0;19.716;0;117.4;15:11.944;16:18:56.496;0:15.141;0:29.335;0:19.716;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;15;1:04.435;0;;15.302;0;29.147;0;19.986;0;116.9;16:16.379;16:20:00.931;0:15.302;0:29.147;0:19.986;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;16;1:05.042;0;;16.091;0;29.389;0;19.562;0;115.8;17:21.421;16:21:05.973;0:16.091;0:29.389;0:19.562;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;17;1:04.124;0;;15.294;0;29.184;0;19.646;0;117.5;18:25.545;16:22:10.097;0:15.294;0:29.184;0:19.646;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;18;1:04.280;0;;15.303;0;29.286;0;19.691;0;117.2;19:29.825;16:23:14.377;0:15.303;0:29.286;0:19.691;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;19;1:04.334;0;;15.358;0;29.237;0;19.739;0;117.1;20:34.159;16:24:18.711;0:15.358;0:29.237;0:19.739;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;20;1:04.401;0;;15.360;0;29.251;0;19.790;0;117.0;21:38.560;16:25:23.112;0:15.360;0:29.251;0:19.790;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;21;1:04.355;0;;15.381;0;29.281;0;19.693;0;117.1;22:42.915;16:26:27.467;0:15.381;0:29.281;0:19.693;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;22;1:06.634;0;;15.421;0;29.404;0;21.809;0;113.1;23:49.549;16:27:34.101;0:15.421;0:29.404;0:21.809;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;23;1:05.724;0;;15.754;0;29.863;0;20.107;0;114.6;24:55.273;16:28:39.825;0:15.754;0:29.863;0:20.107;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;24;1:05.314;0;;15.787;0;29.471;0;20.056;0;115.4;26:00.587;16:29:45.139;0:15.787;0:29.471;0:20.056;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;25;1:09.301;0;B;15.830;0;29.360;0;24.111;0;108.7;27:09.888;16:30:54.440;0:15.830;0:29.360;0:24.111;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;26;1:40.115;0;;52.400;0;28.549;0;19.166;0;75.3;28:50.003;16:32:34.555;0:52.400;0:28.549;0:19.166;;Lucas DI GRASSI;0:00:47.295;;;Audi Sport ABT Schaeffler;;
1;0;27;1:02.202;3;;14.954;0;28.138;3;19.110;3;121.1;29:52.205;16:33:36.757;0:14.954;0:28.138;0:19.110;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;28;1:03.009;0;;14.884;2;28.677;0;19.448;0;119.6;30:55.214;16:34:39.766;0:14.884;0:28.677;0:19.448;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;29;1:03.351;0;;15.043;0;28.828;0;19.480;0;118.9;31:58.565;16:35:43.117;0:15.043;0:28.828;0:19.480;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;30;1:08.743;0;;20.961;0;28.568;0;19.214;0;109.6;33:07.308;16:36:51.860;0:20.961;0:28.568;0:19.214;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;31;1:03.029;0;;14.964;0;28.678;0;19.387;0;119.5;34:10.337;16:37:54.889;0:14.964;0:28.678;0:19.387;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;32;1:03.289;0;;15.012;0;28.818;0;19.459;0;119.1;35:13.626;16:38:58.178;0:15.012;0:28.818;0:19.459;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;33;1:03.349;0;;15.235;0;28.628;0;19.486;0;118.9;36:16.975;16:40:01.527;0:15.235;0:28.628;0:19.486;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;34;1:03.183;0;;15.066;0;28.695;0;19.422;0;119.3;37:20.158;16:41:04.710;0:15.066;0:28.695;0:19.422;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;35;1:03.412;0;;14.956;0;28.753;0;19.703;0;118.8;38:23.570;16:42:08.122;0:14.956;0:28.753;0:19.703;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;36;1:04.612;0;;15.255;0;29.455;0;19.902;0;116.6;39:28.182;16:43:12.734;0:15.255;0:29.455;0:19.902;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;37;1:03.475;0;;15.308;0;28.759;0;19.408;0;118.7;40:31.657;16:44:16.209;0:15.308;0:28.759;0:19.408;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;38;1:03.508;0;;15.125;0;28.902;0;19.481;0;118.6;41:35.165;16:45:19.717;0:15.125;0:28.902;0:19.481;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;39;1:03.474;0;;15.078;0;28.941;0;19.455;0;118.7;42:38.639;16:46:23.191;0:15.078;0:28.941;0:19.455;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;40;1:03.179;0;;15.019;0;28.749;0;19.411;0;119.3;43:41.818;16:47:26.370;0:15.019;0:28.749;0:19.411;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;41;1:03.159;0;;14.953;0;28.758;0;19.448;0;119.3;44:44.977;16:48:29.529;0:14.953;0:28.758;0:19.448;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;42;1:03.553;0;;14.990;0;28.993;0;19.570;0;118.6;45:48.530;16:49:33.082;0:14.990;0:28.993;0:19.570;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;43;1:03.793;0;;15.027;0;29.102;0;19.664;0;118.1;46:52.323;16:50:36.875;0:15.027;0:29.102;0:19.664;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;44;1:04.599;0;;15.259;0;29.525;0;19.815;0;116.6;47:56.922;16:51:41.474;0:15.259;0:29.525;0:19.815;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;45;1:07.389;0;;15.634;0;32.000;0;19.755;0;111.8;49:04.311;16:52:48.863;0:15.634;0:32.000;0:19.755;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;46;1:03.920;0;;15.314;0;28.968;0;19.638;0;117.9;50:08.231;16:53:52.783;0:15.314;0:28.968;0:19.638;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;47;1:06.141;0;;15.290;0;29.606;0;21.245;0;113.9;51:14.372;16:54:58.924;0:15.290;0:29.606;0:21.245;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
16;0;1;1:07.449;0;;18.028;0;29.681;0;19.740;0;111.7;1:07.449;16:04:52.001;0:18.028;0:29.681;0:19.740;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;2;1:04.603;0;;15.334;0;29.524;0;19.745;0;116.6;2:12.052;16:05:56.604;0:15.334;0:29.524;0:19.745;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;3;1:04.288;0;;15.285;0;29.317;0;19.686;0;117.2;3:16.340;16:07:00.892;0:15.285;0:29.317;0:19.686;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;4;1:04.210;0;;15.287;0;29.220;0;19.703;0;117.3;4:20.550;16:08:05.102;0:15.287;0:29.220;0:19.703;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;5;1:03.964;0;;15.189;0;29.053;0;19.722;0;117.8;5:24.514;16:09:09.066;0:15.189;0:29.053;0:19.722;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;6;1:03.913;0;;15.205;0;29.087;0;19.621;0;117.9;6:28.427;16:10:12.979;0:15.205;0:29.087;0:19.621;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;7;1:03.897;0;;15.243;0;29.117;0;19.537;0;117.9;7:32.324;16:11:16.876;0:15.243;0:29.117;0:19.537;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;8;1:03.830;0;;15.289;0;29.019;0;19.522;0;118.0;8:36.154;16:12:20.706;0:15.289;0:29.019;0:19.522;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;9;1:03.906;0;;15.326;0;29.053;0;19.527;0;117.9;9:40.060;16:13:24.612;0:15.326;0:29.053;0:19.527;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;10;1:03.817;0;;15.269;0;28.976;0;19.572;0;118.1;10:43.877;16:14:28.429;0:15.269;0:28.976;0:19.572;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;11;1:03.781;0;;15.262;0;29.001;0;19.518;0;118.1;11:47.658;16:15:32.210;0:15.262;0:29.001;0:19.518;;Oliver TURVEY;;;;NIO Formula E Team;;
