NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;1:32.187;0;;40.012;0;26.360;0;25.815;0;130.8;1:32.187;07:31:32.187;0:40.012;0:26.360;0:25.815;;Lucas DI GRASSI;0:00:06.835;;;Audi Sport ABT Schaeffler;;
1;0;2;1:44.347;0;;29.369;0;25.516;0;49.462;0;81.9;3:16.534;07:33:16.534;0:29.369;0:25.516;0:49.462;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;3;1:19.764;0;;28.989;0;25.937;0;24.838;0;107.1;4:36.298;07:34:36.298;0:28.989;0:25.937;0:24.838;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;4;1:17.956;0;;28.478;0;24.735;0;24.743;0;109.6;5:54.254;07:35:54.254;0:28.478;0:24.735;0:24.743;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;5;3:44.161;0;B;48.882;0;54.277;0;2:01.002;0;38.1;9:38.415;07:39:38.415;0:48.882;0:54.277;2:01.002;;Lucas DI GRASSI;0:01:09.093;;;Audi Sport ABT Schaeffler;;
1;0;6;1:31.581;0;;33.946;0;24.758;0;32.877;0;93.3;11:09.996;07:41:09.996;0:33.946;0:24.758;0:32.877;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;7;1:17.568;0;;28.630;0;24.368;0;24.570;0;110.1;12:27.564;07:42:27.564;0:28.630;0:24.368;0:24.570;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;8;1:17.915;0;;28.811;0;24.537;0;24.567;0;109.6;13:45.479;07:43:45.479;0:28.811;0:24.537;0:24.567;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;9;1:17.025;0;;28.329;0;24.160;0;24.536;0;110.9;15:02.504;07:45:02.504;0:28.329;0:24.160;0:24.536;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;10;21:16.969;0;B;28.519;0;24.479;0;20:23.971;0;6.7;36:19.473;08:06:19.473;0:28.519;0:24.479;20:23.971;;Lucas DI GRASSI;0:20:01.101;;;Audi Sport ABT Schaeffler;;
1;0;11;1:27.293;0;;31.703;0;25.207;0;30.383;0;97.9;37:46.766;08:07:46.766;0:31.703;0:25.207;0:30.383;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;12;1:15.137;0;;27.688;0;23.550;0;23.899;0;113.7;39:01.903;08:09:01.903;0:27.688;0:23.550;0:23.899;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;13;1:22.286;0;;29.372;0;25.541;0;27.373;0;103.8;40:24.189;08:10:24.189;0:29.372;0:25.541;0:27.373;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;14;1:14.236;0;;27.320;0;23.529;0;23.387;0;115.1;41:38.425;08:11:38.425;0:27.320;0:23.529;0:23.387;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;15;1:30.873;0;;29.691;0;25.017;0;36.165;0;94.0;43:09.298;08:13:09.298;0:29.691;0:25.017;0:36.165;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;16;1:14.017;0;;27.373;0;23.244;2;23.400;0;115.4;44:23.315;08:14:23.315;0:27.373;0:23.244;0:23.400;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;17;3:47.617;0;B;28.425;0;23.853;0;2:55.339;0;37.5;48:10.932;08:18:10.932;0:28.425;0:23.853;2:55.339;;Lucas DI GRASSI;0:02:32.617;;;Audi Sport ABT Schaeffler;;
