NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;0;55.439;0;;;0;;0;25.770;0;90.7;55.439;15:36:00.860;;;0:25.770;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;1;1:20.972;0;;30.177;0;25.819;0;24.976;0;105.5;2:16.411;15:37:21.832;0:30.177;0:25.819;0:24.976;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;2;1:19.465;0;;29.233;0;24.908;0;25.324;0;107.5;3:35.876;15:38:41.297;0:29.233;0:24.908;0:25.324;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;3;1:18.965;0;;29.088;0;24.740;0;25.137;0;108.2;4:54.841;15:40:00.262;0:29.088;0:24.740;0:25.137;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;4;1:18.945;0;;29.062;0;24.839;0;25.044;0;108.2;6:13.786;15:41:19.207;0:29.062;0:24.839;0:25.044;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;5;1:18.352;0;;29.273;0;24.619;0;24.460;0;109.0;7:32.138;15:42:37.559;0:29.273;0:24.619;0:24.460;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;6;1:18.635;0;;29.008;0;24.521;0;25.106;0;108.6;8:50.773;15:43:56.194;0:29.008;0:24.521;0:25.106;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;7;1:18.830;0;;29.074;0;24.511;0;25.245;0;108.4;10:09.603;15:45:15.024;0:29.074;0:24.511;0:25.245;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;8;1:18.987;0;;29.296;0;24.605;0;25.086;0;108.2;11:28.590;15:46:34.011;0:29.296;0:24.605;0:25.086;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;9;1:18.303;0;;29.214;0;24.066;0;25.023;0;109.1;12:46.893;15:47:52.314;0:29.214;0:24.066;0:25.023;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
