NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;2:08.673;0;;1:06.594;0;29.022;0;33.057;0;39.1;2:08.673;08:32:08.673;1:06.594;0:29.022;0:33.057;;Lucas DI GRASSI;0:00:25.269;;;Audi Sport ABT Schaeffler;;
1;0;2;4:15.683;0;B;31.768;0;27.865;0;3:16.050;0;33.4;6:24.356;08:36:24.356;0:31.768;0:27.865;3:16.050;;Lucas DI GRASSI;0:02:49.281;;;Audi Sport ABT Schaeffler;;
1;0;3;1:29.611;0;;34.842;0;26.760;0;28.009;0;95.3;7:53.967;08:37:53.967;0:34.842;0:26.760;0:28.009;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;4;1:21.572;0;;30.261;0;26.034;0;25.277;0;104.7;9:15.539;08:39:15.539;0:30.261;0:26.034;0:25.277;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;5;1:31.747;0;;34.229;0;29.072;0;28.446;0;93.1;10:47.286;08:40:47.286;0:34.229;0:29.072;0:28.446;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;6;1:20.602;0;;29.728;0;25.841;0;25.033;0;106.0;12:07.888;08:42:07.888;0:29.728;0:25.841;0:25.033;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;7;1:34.238;0;;36.416;0;27.711;0;30.111;0;90.7;13:42.126;08:43:42.126;0:36.416;0:27.711;0:30.111;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;8;1:19.727;0;;29.301;0;25.531;0;24.895;0;107.2;15:01.853;08:45:01.853;0:29.301;0:25.531;0:24.895;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;9;7:34.739;0;B;33.595;0;27.363;0;6:33.781;0;18.8;22:36.592;08:52:36.592;0:33.595;0:27.363;6:33.781;;Lucas DI GRASSI;0:06:08.892;;;Audi Sport ABT Schaeffler;;
1;0;10;1:29.580;0;;32.616;0;25.798;0;31.166;0;95.4;24:06.172;08:54:06.172;0:32.616;0:25.798;0:31.166;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;11;1:19.766;0;;29.600;0;25.297;0;24.869;0;107.1;25:25.938;08:55:25.938;0:29.600;0:25.297;0:24.869;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;12;1:25.320;0;;32.836;0;26.439;0;26.045;0;100.1;26:51.258;08:56:51.258;0:32.836;0:26.439;0:26.045;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;13;1:19.212;0;;29.172;0;25.244;2;24.796;2;107.8;28:10.470;08:58:10.470;0:29.172;0:25.244;0:24.796;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;14;1:30.809;0;;32.302;0;29.197;0;29.310;0;94.1;29:41.279;08:59:41.279;0:32.302;0:29.197;0:29.310;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;15;1:19.053;2;;28.911;3;25.299;0;24.843;0;108.1;31:00.332;09:01:00.332;0:28.911;0:25.299;0:24.843;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;16;4:58.216;0;B;32.237;0;27.246;0;3:58.733;0;28.6;35:58.548;09:05:58.548;0:32.237;0:27.246;3:58.733;;Lucas DI GRASSI;0:03:32.307;;;Audi Sport ABT Schaeffler;;
1;0;17;1:26.972;0;;34.655;0;25.777;0;26.540;0;98.2;37:25.520;09:07:25.520;0:34.655;0:25.777;0:26.540;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;18;1:25.604;0;;31.984;0;26.005;0;27.615;0;99.8;38:51.124;09:08:51.124;0:31.984;0:26.005;0:27.615;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;19;1:20.063;0;;29.289;0;25.450;0;25.324;0;106.7;40:11.187;09:10:11.187;0:29.289;0:25.450;0:25.324;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;20;1:25.810;0;;31.304;0;26.818;0;27.688;0;99.6;41:36.997;09:11:36.997;0:31.304;0:26.818;0:27.688;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;21;1:19.770;0;;29.219;0;25.742;0;24.809;0;107.1;42:56.767;09:12:56.767;0:29.219;0:25.742;0:24.809;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;22;1:25.023;0;;33.158;0;26.316;0;25.549;0;100.5;44:21.790;09:14:21.790;0:33.158;0:26.316;0:25.549;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;23;1:23.052;0;;30.137;0;26.424;0;26.491;0;102.9;45:44.842;09:15:44.842;0:30.137;0:26.424;0:26.491;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
16;0;1;4:08.746;0;;3:02.192;0;33.795;0;32.759;0;20.2;4:08.746;08:34:08.746;3:02.192;0:33.795;0:32.759;; MA Qing Hua;0:02:19.223;;;NIO Formula E Team;;
16;0;2;1:30.280;0;;34.038;0;28.485;0;27.757;0;94.6;5:39.026;08:35:39.026;0:34.038;0:28.485;0:27.757;; MA Qing Hua;;;;NIO Formula E Team;;
