NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
36;0;1;2:05.584;0;;1:01.720;0;29.609;0;34.255;0;40.0;2:05.584;11:22:05.584;1:01.720;0:29.609;0:34.255;;Alex LYNN;0:00:18.726;;3;DS Virgin Racing;;
36;0;2;1:21.765;0;;30.371;0;25.681;0;25.713;0;104.5;3:27.349;11:23:27.349;0:30.371;0:25.681;0:25.713;;Alex LYNN;;;3;DS Virgin Racing;;
36;0;3;1:19.658;2;;29.511;2;25.196;2;24.951;2;107.2;4:47.007;11:24:47.007;0:29.511;0:25.196;0:24.951;;Alex LYNN;;;3;DS Virgin Racing;;
5;0;1;3:43.344;0;;2:46.666;0;27.607;0;29.071;0;22.5;3:43.344;11:23:43.344;2:46.666;0:27.607;0:29.071;;Maro ENGEL;0:02:11.432;;3;Venturi Formula E Team;;
5;0;2;1:31.852;0;;29.874;0;30.986;0;30.992;0;93.0;5:15.196;11:25:15.196;0:29.874;0:30.986;0:30.992;;Maro ENGEL;;;3;Venturi Formula E Team;;
5;0;3;1:19.540;2;;29.367;3;25.495;2;24.678;2;107.4;6:34.736;11:26:34.736;0:29.367;0:25.495;0:24.678;;Maro ENGEL;;;3;Venturi Formula E Team;;
6;0;1;3:09.236;0;;2:07.285;0;28.160;0;33.791;0;26.6;3:09.236;11:23:09.236;2:07.285;0:28.160;0:33.791;;José Maria LOPEZ;0:01:31.507;;3;DRAGON;;
6;0;2;1:20.593;0;;29.891;0;25.730;0;24.972;0;106.0;4:29.829;11:24:29.829;0:29.891;0:25.730;0:24.972;;José Maria LOPEZ;;;3;DRAGON;;
6;0;3;1:19.114;3;;29.466;2;25.155;2;24.493;3;108.0;5:48.943;11:25:48.943;0:29.466;0:25.155;0:24.493;;José Maria LOPEZ;;;3;DRAGON;;
7;0;1;2:53.714;0;;1:57.977;0;26.091;0;29.646;0;28.9;2:53.714;11:22:53.714;1:57.977;0:26.091;0:29.646;;Jérôme D'AMBROSIO;0:01:23.088;;3;DRAGON;;
7;0;2;1:21.679;0;;30.297;0;25.754;0;25.628;0;104.6;4:15.393;11:24:15.393;0:30.297;0:25.754;0:25.628;;Jérôme D'AMBROSIO;;;3;DRAGON;;
7;0;3;1:19.124;2;;29.447;2;25.083;3;24.594;2;108.0;5:34.517;11:25:34.517;0:29.447;0:25.083;0:24.594;;Jérôme D'AMBROSIO;;;3;DRAGON;;
