NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;0;52.098;0;;;0;;0;25.467;0;96.5;52.098;15:06:00.127;;;0:25.467;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;1;1:19.641;0;;28.973;0;24.921;0;25.747;0;107.3;2:11.739;15:07:19.768;0:28.973;0:24.921;0:25.747;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;2;1:18.337;0;;28.826;0;24.485;0;25.026;0;109.1;3:30.076;15:08:38.105;0:28.826;0:24.485;0:25.026;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;3;1:17.794;0;;28.777;0;24.214;0;24.803;0;109.8;4:47.870;15:09:55.899;0:28.777;0:24.214;0:24.803;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;4;1:17.763;0;;28.578;0;24.428;0;24.757;0;109.9;6:05.633;15:11:13.662;0:28.578;0:24.428;0:24.757;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;5;1:17.990;0;;28.520;0;24.424;0;25.046;0;109.5;7:23.623;15:12:31.652;0:28.520;0:24.424;0:25.046;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;6;1:18.285;0;;29.027;0;24.364;0;24.894;0;109.1;8:41.908;15:13:49.937;0:29.027;0:24.364;0:24.894;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;7;1:18.174;0;;28.929;0;24.378;0;24.867;0;109.3;10:00.082;15:15:08.111;0:28.929;0:24.378;0:24.867;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;8;2:31.892;0;;41.896;0;53.583;0;56.413;0;56.2;12:31.974;15:17:40.003;0:41.896;0:53.583;0:56.413;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;9;2:45.759;0;;55.589;0;53.675;0;56.495;0;51.5;15:17.733;15:20:25.762;0:55.589;0:53.675;0:56.495;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;10;2:45.845;0;;55.616;0;53.708;0;56.521;0;51.5;18:03.578;15:23:11.607;0:55.616;0:53.708;0:56.521;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;11;2:05.878;0;;55.688;0;45.702;0;24.488;0;67.9;20:09.456;15:25:17.485;0:55.688;0:45.702;0:24.488;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;12;1:17.250;0;;28.548;0;24.063;0;24.639;0;110.6;21:26.706;15:26:34.735;0:28.548;0:24.063;0:24.639;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;13;1:16.272;0;;28.344;0;23.742;0;24.186;0;112.0;22:42.978;15:27:51.007;0:28.344;0:23.742;0:24.186;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;14;1:16.041;0;;28.127;0;23.708;0;24.206;0;112.3;23:59.019;15:29:07.048;0:28.127;0:23.708;0:24.206;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;15;1:16.514;0;;28.256;0;23.857;0;24.401;0;111.7;25:15.533;15:30:23.562;0:28.256;0:23.857;0:24.401;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;16;1:16.386;0;;28.347;0;23.690;0;24.349;0;111.8;26:31.919;15:31:39.948;0:28.347;0:23.690;0:24.349;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;17;1:16.654;0;;28.226;0;24.146;0;24.282;0;111.4;27:48.573;15:32:56.602;0:28.226;0:24.146;0:24.282;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;18;1:16.451;0;;28.201;0;23.832;0;24.418;0;111.7;29:05.024;15:34:13.053;0:28.201;0:23.832;0:24.418;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;19;1:16.539;0;;28.347;0;23.786;0;24.406;0;111.6;30:21.563;15:35:29.592;0:28.347;0:23.786;0:24.406;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;20;1:16.455;0;;28.291;0;23.860;0;24.304;0;111.7;31:38.018;15:36:46.047;0:28.291;0:23.860;0:24.304;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;21;1:16.360;0;;28.248;0;23.756;0;24.356;0;111.9;32:54.378;15:38:02.407;0:28.248;0:23.756;0:24.356;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;22;1:16.638;0;;28.434;0;23.809;0;24.395;0;111.5;34:11.016;15:39:19.045;0:28.434;0:23.809;0:24.395;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;23;1:46.918;0;B;28.545;0;23.877;0;54.496;0;79.9;35:57.934;15:41:05.963;0:28.545;0:23.877;0:54.496;;Lucas DI GRASSI;0:00:31.305;;;Audi Sport ABT Schaeffler;;
1;0;24;1:19.232;0;;30.825;0;23.811;0;24.596;0;107.8;37:17.166;15:42:25.195;0:30.825;0:23.811;0:24.596;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;25;1:16.523;0;;28.417;0;23.830;0;24.276;0;111.6;38:33.689;15:43:41.718;0:28.417;0:23.830;0:24.276;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;26;1:15.866;2;;28.138;0;23.509;3;24.219;0;112.6;39:49.555;15:44:57.584;0:28.138;0:23.509;0:24.219;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;27;1:15.968;0;;28.119;2;23.672;0;24.177;2;112.5;41:05.523;15:46:13.552;0:28.119;0:23.672;0:24.177;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;28;1:16.342;0;;28.391;0;23.725;0;24.226;0;111.9;42:21.865;15:47:29.894;0:28.391;0:23.725;0:24.226;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;29;1:16.485;0;;28.268;0;23.776;0;24.441;0;111.7;43:38.350;15:48:46.379;0:28.268;0:23.776;0:24.441;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;30;1:16.786;0;;28.279;0;24.083;0;24.424;0;111.3;44:55.136;15:50:03.165;0:28.279;0:24.083;0:24.424;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;31;1:16.573;0;;28.332;0;23.828;0;24.413;0;111.6;46:11.709;15:51:19.738;0:28.332;0:23.828;0:24.413;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;32;1:16.716;0;;28.347;0;23.916;0;24.453;0;111.4;47:28.425;15:52:36.454;0:28.347;0:23.916;0:24.453;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;33;1:16.653;0;;28.396;0;23.825;0;24.432;0;111.4;48:45.078;15:53:53.107;0:28.396;0:23.825;0:24.432;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;34;1:17.247;0;;28.451;0;23.847;0;24.949;0;110.6;50:02.325;15:55:10.354;0:28.451;0:23.847;0:24.949;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;35;1:16.820;0;;28.509;0;23.881;0;24.430;0;111.2;51:19.145;15:56:27.174;0:28.509;0:23.881;0:24.430;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;36;1:16.792;0;;28.425;0;23.823;0;24.544;0;111.2;52:35.937;15:57:43.966;0:28.425;0:23.823;0:24.544;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;37;1:16.687;0;;28.512;0;23.790;0;24.385;0;111.4;53:52.624;15:59:00.653;0:28.512;0:23.790;0:24.385;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;38;1:17.015;0;;28.621;0;23.876;0;24.518;0;110.9;55:09.639;16:00:17.668;0:28.621;0:23.876;0:24.518;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;39;1:18.727;0;;28.703;0;24.123;0;25.901;0;108.5;56:28.366;16:01:36.395;0:28.703;0:24.123;0:25.901;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;40;1:17.440;0;;28.965;0;23.954;0;24.521;0;110.3;57:45.806;16:02:53.835;0:28.965;0:23.954;0:24.521;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;41;1:16.990;0;;28.442;0;23.883;0;24.665;0;111.0;59:02.796;16:04:10.825;0:28.442;0:23.883;0:24.665;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;42;1:18.346;0;;28.611;0;23.997;0;25.738;0;109.0;1:00:21.142;16:05:29.171;0:28.611;0:23.997;0:25.738;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;43;1:17.455;0;;28.503;0;24.115;0;24.837;0;110.3;1:01:38.597;16:06:46.626;0:28.503;0:24.115;0:24.837;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
16;0;0;59.246;0;;;0;;0;27.771;0;84.8;59.246;15:06:07.275;;;0:27.771;; MA Qing Hua;;;;NIO Formula E Team;;
