NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;1:21.314;0;;29.384;0;28.625;0;23.305;0;68.2;1:21.314;08:01:21.314;0:29.384;0:28.625;0:23.305;;Lucas DI GRASSI;0:00:08.721;;;Audi Sport ABT Schaeffler;;
1;0;2;1:06.837;0;;18.780;0;26.252;0;21.805;0;103.4;2:28.151;08:02:28.151;0:18.780;0:26.252;0:21.805;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;3;1:05.520;0;;18.471;0;25.551;0;21.498;0;105.5;3:33.671;08:03:33.671;0:18.471;0:25.551;0:21.498;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;4;1:04.366;0;;18.013;0;25.026;0;21.327;0;107.4;4:38.037;08:04:38.037;0:18.013;0:25.026;0:21.327;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;5;1:29.802;0;;22.625;0;41.439;0;25.738;0;77.0;6:07.839;08:06:07.839;0:22.625;0:41.439;0:25.738;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;6;1:05.922;0;;18.165;0;25.896;0;21.861;0;104.9;7:13.761;08:07:13.761;0:18.165;0:25.896;0:21.861;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;7;1:05.166;0;;17.980;0;25.473;0;21.713;0;106.1;8:18.927;08:08:18.927;0:17.980;0:25.473;0:21.713;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;8;1:15.932;0;;18.008;0;28.778;0;29.146;0;91.0;9:34.859;08:09:34.859;0:18.008;0:28.778;0:29.146;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;9;8:53.585;0;B;34.333;0;41.511;0;7:37.741;0;13.0;18:28.444;08:18:28.444;0:34.333;0:41.511;7:37.741;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;10;1:10.648;0;;20.436;0;26.471;0;23.741;0;97.8;19:39.092;08:19:39.092;0:20.436;0:26.471;0:23.741;;Lucas DI GRASSI;0:06:51.114;;;Audi Sport ABT Schaeffler;;
1;0;11;1:02.833;0;;17.224;0;24.747;0;20.862;0;110.0;20:41.925;08:20:41.925;0:17.224;0:24.747;0:20.862;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;12;1:12.345;0;;20.720;0;28.898;0;22.727;0;95.5;21:54.270;08:21:54.270;0:20.720;0:28.898;0:22.727;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;13;1:02.121;0;;17.190;0;24.487;0;20.444;0;111.3;22:56.391;08:22:56.391;0:17.190;0:24.487;0:20.444;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;14;1:09.836;0;;19.034;0;27.181;0;23.621;0;99.0;24:06.227;08:24:06.227;0:19.034;0:27.181;0:23.621;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
