NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
19;0;1;4:21.568;0;;3:25.349;0;27.526;0;28.693;0;21.2;4:21.568;12:04:21.568;3:25.349;0:27.526;0:28.693;;Felix ROSENQVIST;0:03:05.261;;1;Mahindra Racing;;
19;0;2;1:12.301;0;;18.309;0;29.991;0;24.001;0;95.6;5:33.869;12:05:33.869;0:18.309;0:29.991;0:24.001;;Felix ROSENQVIST;;;1;Mahindra Racing;;
19;0;3;1:02.012;2;;16.945;2;24.664;2;20.403;2;111.5;6:35.881;12:06:35.881;0:16.945;0:24.664;0:20.403;;Felix ROSENQVIST;;;1;Mahindra Racing;;
2;0;1;4:23.352;0;;3:30.792;0;27.449;0;25.111;0;21.1;4:23.352;12:04:23.352;3:30.792;0:27.449;0:25.111;;Sam BIRD;0:03:10.461;;1;DS Virgin Racing;;
2;0;2;1:18.251;0;;19.442;0;30.330;0;28.479;0;88.3;5:41.603;12:05:41.603;0:19.442;0:30.330;0:28.479;;Sam BIRD;;;1;DS Virgin Racing;;
2;0;3;1:01.771;2;;16.933;2;24.458;2;20.380;2;111.9;6:43.374;12:06:43.374;0:16.933;0:24.458;0:20.380;;Sam BIRD;;;1;DS Virgin Racing;;
25;0;1;4:15.733;0;;3:19.881;0;30.120;0;25.732;0;21.7;4:15.733;12:04:15.733;3:19.881;0:30.120;0:25.732;;Jean-Eric VERGNE;0:02:53.291;;1;TECHEETAH;;
25;0;2;1:11.488;0;;20.704;0;26.836;0;23.948;0;96.7;5:27.221;12:05:27.221;0:20.704;0:26.836;0:23.948;;Jean-Eric VERGNE;;;1;TECHEETAH;;
25;0;3;1:01.508;4;;16.850;4;24.473;2;20.185;4;112.4;6:28.729;12:06:28.729;0:16.850;0:24.473;0:20.185;;Jean-Eric VERGNE;;;1;TECHEETAH;;
66;0;1;4:10.496;0;;3:12.697;0;30.937;0;26.862;0;22.1;4:10.496;12:04:10.496;3:12.697;0:30.937;0:26.862;;Daniel ABT;0:02:47.331;;1;Audi Sport ABT Schaeffler;;
66;0;2;1:12.414;0;;20.286;0;28.750;0;23.378;0;95.5;5:22.910;12:05:22.910;0:20.286;0:28.750;0:23.378;;Daniel ABT;;;1;Audi Sport ABT Schaeffler;;
66;0;3;1:02.125;2;;17.072;2;24.696;2;20.357;2;111.3;6:25.035;12:06:25.035;0:17.072;0:24.696;0:20.357;;Daniel ABT;;;1;Audi Sport ABT Schaeffler;;
9;0;1;4:35.828;0;;3:40.979;0;30.003;0;24.846;0;20.1;4:35.828;12:04:35.828;3:40.979;0:30.003;0:24.846;;Sébastien BUEMI;0:03:20.071;;1;Renault e.dams;;
9;0;2;1:11.676;0;;18.897;0;28.331;0;24.448;0;96.4;5:47.504;12:05:47.504;0:18.897;0:28.331;0:24.448;;Sébastien BUEMI;;;1;Renault e.dams;;
9;0;3;1:01.837;2;;17.109;2;24.446;4;20.282;2;111.8;6:49.341;12:06:49.341;0:17.109;0:24.446;0:20.282;;Sébastien BUEMI;;;1;Renault e.dams;;
