NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
18;0;1;1:14.428;0;;22.303;0;26.869;0;25.256;0;74.5;1:14.428;12:46:14.428;0:22.303;0:26.869;0:25.256;;André LOTTERER;0:00:01.600;;2;TECHEETAH;;
18;0;2;1:01.487;2;;16.994;2;24.342;2;20.151;2;112.4;2:15.915;12:47:15.915;0:16.994;0:24.342;0:20.151;;André LOTTERER;;;2;TECHEETAH;;
2;0;1;3:15.614;0;;2:22.236;0;27.370;0;26.008;0;28.3;3:15.614;12:48:15.614;2:22.236;0:27.370;0:26.008;;Sam BIRD;0:01:59.557;;1;DS Virgin Racing;;
2;0;2;1:01.421;2;;16.934;2;24.291;2;20.196;2;112.5;4:17.035;12:49:17.035;0:16.934;0:24.291;0:20.196;;Sam BIRD;;;1;DS Virgin Racing;;
25;0;1;9:34.440;0;;8:43.061;0;27.583;0;23.796;0;9.7;9:34.440;12:54:34.440;8:43.061;0:27.583;0:23.796;;Jean-Eric VERGNE;0:08:17.588;;1;TECHEETAH;;
25;0;2;1:01.144;3;;16.880;3;24.203;3;20.061;3;113.0;10:35.584;12:55:35.584;0:16.880;0:24.203;0:20.061;;Jean-Eric VERGNE;;;1;TECHEETAH;;
28;0;1;7:21.853;0;;6:29.167;0;28.827;0;23.859;0;12.5;7:21.853;12:52:21.853;6:29.167;0:28.827;0:23.859;;Antonio Felix DA COSTA;0:06:08.360;;3;Andretti Formula E;;
28;0;2;1:02.805;2;;17.011;2;25.187;2;20.607;2;110.1;8:24.658;12:53:24.658;0:17.011;0:25.187;0:20.607;;Antonio Felix DA COSTA;;;3;Andretti Formula E;;
5;0;1;5:17.304;0;;4:24.098;0;27.004;0;26.202;0;17.5;5:17.304;12:50:17.304;4:24.098;0:27.004;0:26.202;;Maro ENGEL;0:04:04.840;;4;Venturi Formula E Team;;
5;0;2;1:01.541;2;;17.067;2;24.290;2;20.184;2;112.3;6:18.845;12:51:18.845;0:17.067;0:24.290;0:20.184;;Maro ENGEL;;;4;Venturi Formula E Team;;
