NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;0;1:00.701;0;;10.602;0;28.013;0;22.086;0;91.3;1:00.701;16:05:35.889;0:10.602;0:28.013;0:22.086;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;1;2:07.780;0;;40.708;0;41.510;0;45.562;0;54.1;3:08.481;16:07:43.669;0:40.708;0:41.510;0:45.562;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;2;1:04.960;0;;18.458;0;25.242;0;21.260;0;106.4;4:13.441;16:08:48.629;0:18.458;0:25.242;0:21.260;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;3;1:04.103;0;;17.850;0;25.034;0;21.219;0;107.8;5:17.544;16:09:52.732;0:17.850;0:25.034;0:21.219;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;4;1:04.029;0;;17.866;0;24.952;0;21.211;0;108.0;6:21.573;16:10:56.761;0:17.866;0:24.952;0:21.211;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;5;1:03.972;0;;17.847;0;24.972;0;21.153;0;108.0;7:25.545;16:12:00.733;0:17.847;0:24.972;0:21.153;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;6;1:03.776;0;;17.650;0;25.082;0;21.044;0;108.4;8:29.321;16:13:04.509;0:17.650;0:25.082;0:21.044;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;7;1:03.681;0;;17.752;0;24.781;0;21.148;0;108.5;9:33.002;16:14:08.190;0:17.752;0:24.781;0:21.148;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;8;1:03.806;0;;17.782;0;24.869;0;21.155;0;108.3;10:36.808;16:15:11.996;0:17.782;0:24.869;0:21.155;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;9;1:03.887;0;;17.689;0;24.962;0;21.236;0;108.2;11:40.695;16:16:15.883;0:17.689;0:24.962;0:21.236;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;10;1:03.615;0;;17.653;0;24.918;0;21.044;0;108.7;12:44.310;16:17:19.498;0:17.653;0:24.918;0:21.044;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
