POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;ECM ForixTeamId;*Extra 8;*Extra 9;*Extra 10;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_ECM ForixDriverId;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;25;Classified;49;54:49.102;-;-;27;1:03.082;109.6;TECHEETAH;;;;Renault Z.E. 17;MICHELIN;;;;;;;2016908103;;;;Jean-Eric;VERGNE;;FRA;FRA;VER;1086;;1990042500;;;
2;1;Classified;49;54:53.984;+4.882;+4.882;34;1:02.367;110.8;Audi Sport ABT Schaeffler;;;;Audi e-tron FE04;MICHELIN;;;;;;;2017908101;;;;Lucas;DI GRASSI;;BRA;BRA;DIG;1098;;1984081100;;;
3;2;Classified;49;54:57.999;+8.897;+4.015;29;1:03.084;109.6;DS Virgin Racing;;;;DS Virgin DSV-03;MICHELIN;;;;;;;2016908105;;;;Sam;BIRD;;GBR;GBR;BIR;1087;;1987010900;;;
4;5;Classified;49;54:58.389;+9.287;+0.390;32;1:03.018;109.7;Venturi Formula E Team;;;;Venturi VM200-FE-03;MICHELIN;;;;;;;2016908106;;;;Maro;ENGEL;;DEU;DEU;ENG;8003;;1985082700;;;
5;9;Classified;49;54:59.296;+10.194;+0.907;31;1:02.762;110.1;Renault e.dams;;;;Renault Z.E. 17;MICHELIN;;;;;;;2015908104;;;;Sébastien;BUEMI;;CHE;CHE;BUE;1090;;1988103100;;;
6;18;Classified;49;54:59.957;+10.855;+0.661;31;1:02.573;110.5;TECHEETAH;;;;Renault Z.E. 17;MICHELIN;;;;;;;2016908103;;;;André;LOTTERER;;DEU;DEU;LOT;8013;;1981111900;;;
7;66;Classified;49;55:03.020;+13.918;+3.063;45;1:02.753;110.1;Audi Sport ABT Schaeffler;;;;Audi e-tron FE04;MICHELIN;;;;;;;2017908101;;;;Daniel;ABT;;DEU;DEU;ABT;1080;;1990015408;;;
8;19;Classified;49;55:04.373;+15.271;+1.353;34;1:03.072;109.6;Mahindra Racing;;;;Mahindra M4Electro;MICHELIN;;;;;;;2011806107;;;;Felix;ROSENQVIST;;SWE;SWE;FRO;8005;;1990015169;;;
9;16;Classified;49;55:08.659;+19.557;+4.286;47;1:03.170;109.4;NIO Formula E Team;;;;NextEV NIO Sport 003;MICHELIN;;;;;;;2017908102;;;;Oliver;TURVEY;;GBR;GBR;TUR;9092;;1987040100;;;
10;6;Classified;49;55:10.091;+20.989;+1.432;29;1:02.963;109.8;DRAGON;;;;PENSKE EV-2;MICHELIN;;;;;;;2016908101;;;;José Maria;LOPEZ;;ARG;ARG;LOP;8004;;1983042600;;;
11;23;Classified;49;55:10.800;+21.698;+0.709;30;1:02.813;110.0;Mahindra Racing;;;;Mahindra M4Electro;MICHELIN;;;;;;;2011806107;;;;Nick;HEIDFELD;;DEU;DEU;HEI;1099;;1977051000;;;
12;7;Classified;49;55:15.825;+26.723;+5.025;30;1:02.979;109.8;DRAGON;;;;PENSKE EV-2;MICHELIN;;;;;;;2016908101;;;;Jérôme;D'AMBROSIO;;BEL;BEL;DAM;1084;;1985122700;;;
13;4;Classified;49;55:19.039;+29.937;+3.214;35;1:02.565;110.5;Venturi Formula E Team;;;;Venturi VM200-FE-03;MICHELIN;;;;;;;2016908106;;;;Edoardo;MORTARA;;CHE;CHE;MOR;8014;;1988010183;;;
14;36;Classified;49;55:32.214;+43.112;+13.175;45;1:03.174;109.4;DS Virgin Racing;;;;DS Virgin DSV-03;MICHELIN;;;;;;;2016908105;;;;Alex;LYNN;;GBR;GBR;LYN;8010;;1991015233;;;
15;20;Classified;49;55:33.091;+43.989;+0.877;35;1:02.844;110.0;Panasonic Jaguar Racing;;;;Jaguar I-Type II;MICHELIN;;;;;;;2016020101;;;;Mitch;EVANS;;NZL;NZL;EVA;8007;;1990015617;;;
16;8;Classified;48;55:44.069;1 Lap;1 Lap;44;1:02.851;110.0;Renault e.dams;;;;Renault Z.E. 17;MICHELIN;;;;;;;2015908104;;;;Nicolas;PROST;;FRA;FRA;PRO;2032;;1981081801;;;
17;68;Classified;46;55:03.765;3 Laps;2 Laps;18;1:04.319;107.5;NIO Formula E Team;;;;NextEV NIO Sport 003;MICHELIN;;;;;;;2017908102;;;;;MA Qing Hua;;CHN;CHN;QMA;8001;;1985122500;;;
;3;Not classified;32;37:23.828;;;19;1:03.294;109.2;Panasonic Jaguar Racing;;;;Jaguar I-Type II;MICHELIN;;;;;;;2016020101;;;;Nelson;PIQUET;;BRA;BRA;PIQ;9069;;1985072500;;;
;27;Not classified;32;38:08.392;;;15;1:03.516;108.8;Andretti Formula E;;;;Andretti ATEC-03;MICHELIN;;;;;;;2017908103;;;;Tom;BLOMQVIST;;GBR;GBR;BLO;8016;;1993113000;;;
;28;Not classified;2;4:48.370;;;2;1:38.730;70.0;Andretti Formula E;;;;Andretti ATEC-03;MICHELIN;;;;;;;2017908103;;;;Antonio Felix;DA COSTA;;PRT;PRT;DAC;3177;;1991083100;;;
