NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;3:40.598;0;;2:34.220;0;32.163;0;34.215;0;45.4;3:40.598;10:33:40.598;2:34.220;0:32.163;0:34.215;;Lucas DI GRASSI;0:02:15.189;;;Audi Sport ABT Schaeffler;;
1;0;2;1:27.752;0;;25.935;0;30.790;0;31.027;0;114.3;5:08.350;10:35:08.350;0:25.935;0:30.790;0:31.027;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;3;1:14.494;0;;20.881;0;25.907;0;27.706;0;134.6;6:22.844;10:36:22.844;0:20.881;0:25.907;0:27.706;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;4;1:27.879;0;B;24.701;0;29.130;0;34.048;0;114.1;7:50.723;10:37:50.723;0:24.701;0:29.130;0:34.048;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;5;11:22.399;0;;10:12.781;0;33.546;0;36.072;0;14.7;19:13.122;10:49:13.122;10:12.781;0:33.546;0:36.072;;Lucas DI GRASSI;0:09:56.314;;;Audi Sport ABT Schaeffler;;
1;0;6;1:34.605;0;;27.584;0;32.588;0;34.433;0;106.0;20:47.727;10:50:47.727;0:27.584;0:32.588;0:34.433;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;7;1:13.672;3;;20.787;2;25.344;3;27.541;3;136.1;22:01.399;10:52:01.399;0:20.787;0:25.344;0:27.541;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;8;1:45.175;0;;24.143;0;42.907;0;38.125;0;95.3;23:46.574;10:53:46.574;0:24.143;0:42.907;0:38.125;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;9;1:15.232;0;;21.235;0;25.927;0;28.070;0;133.3;25:01.806;10:55:01.806;0:21.235;0:25.927;0:28.070;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;10;1:28.188;0;;24.473;0;30.272;0;33.443;0;113.7;26:29.994;10:56:29.994;0:24.473;0:30.272;0:33.443;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;11;1:15.388;0;;21.118;0;26.015;0;28.255;0;133.0;27:45.382;10:57:45.382;0:21.118;0:26.015;0:28.255;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;12;1:39.945;0;;24.970;0;36.335;0;38.640;0;100.3;29:25.327;10:59:25.327;0:24.970;0:36.335;0:38.640;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;13;1:15.051;0;;21.107;0;25.958;0;27.986;0;133.6;30:40.378;11:00:40.378;0:21.107;0:25.958;0:27.986;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
16;0;1;2:20.664;0;;1:13.621;0;32.818;0;34.225;0;71.3;2:20.664;10:32:20.664;1:13.621;0:32.818;0:34.225;;Oliver TURVEY;0:00:55.728;;;NIO Formula E Team;;
16;0;2;1:34.122;0;;26.265;0;31.820;0;36.037;0;106.5;3:54.786;10:33:54.786;0:26.265;0:31.820;0:36.037;;Oliver TURVEY;;;;NIO Formula E Team;;
