NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
19;0;1;3:02.631;0;;1:44.556;0;39.451;0;38.624;0;54.9;3:02.631;12:46:02.631;1:44.556;0:39.451;0:38.624;;Felix ROSENQVIST;0:01:22.798;;4;Mahindra Racing;;
19;0;2;1:31.590;0;;27.596;0;33.232;0;30.762;0;109.5;4:34.221;12:47:34.221;0:27.596;0:33.232;0:30.762;;Felix ROSENQVIST;;;4;Mahindra Racing;;
19;0;3;1:15.104;2;;20.790;2;25.919;2;28.395;2;133.5;5:49.325;12:48:49.325;0:20.790;0:25.919;0:28.395;;Felix ROSENQVIST;;;4;Mahindra Racing;;
19;0;4;1:44.003;0;B;23.787;0;35.278;0;44.938;0;96.4;7:33.328;12:50:33.328;0:23.787;0:35.278;0:44.938;;Felix ROSENQVIST;;;4;Mahindra Racing;;
2;0;1;1:48.739;0;;41.588;0;32.687;0;34.464;0;92.2;1:48.739;12:44:48.739;0:41.588;0:32.687;0:34.464;;Sam BIRD;0:00:23.145;;4;DS Virgin Racing;;
2;0;2;1:37.117;0;;28.246;0;33.097;0;35.774;0;103.2;3:25.856;12:46:25.856;0:28.246;0:33.097;0:35.774;;Sam BIRD;;;4;DS Virgin Racing;;
2;0;3;1:14.552;2;;21.005;2;25.775;2;27.772;2;134.5;4:40.408;12:47:40.408;0:21.005;0:25.775;0:27.772;;Sam BIRD;;;4;DS Virgin Racing;;
2;0;4;1:30.451;0;B;23.361;0;27.330;0;39.760;0;110.8;6:10.859;12:49:10.859;0:23.361;0:27.330;0:39.760;;Sam BIRD;;;4;DS Virgin Racing;;
25;0;1;4:52.755;0;;3:51.322;0;31.658;0;29.775;0;34.2;4:52.755;12:47:52.755;3:51.322;0:31.658;0:29.775;;Jean-Eric VERGNE;0:03:27.614;;4;TECHEETAH;;
25;0;2;1:13.672;4;;20.604;2;25.514;4;27.554;4;136.1;6:06.427;12:49:06.427;0:20.604;0:25.514;0:27.554;;Jean-Eric VERGNE;;;4;TECHEETAH;;
3;0;1;3:25.149;0;;1:58.910;0;41.387;0;44.852;0;48.9;3:25.149;12:46:25.149;1:58.910;0:41.387;0:44.852;;Nelson PIQUET;0:01:37.491;;4;Panasonic Jaguar Racing;;
3;0;2;1:42.656;2;;34.032;0;36.102;2;32.522;2;97.7;5:07.805;12:48:07.805;0:34.032;0:36.102;0:32.522;;Nelson PIQUET;;;4;Panasonic Jaguar Racing;;
9;0;1;3:32.505;0;;2:24.537;0;32.975;0;34.993;0;47.2;3:32.505;12:46:32.505;2:24.537;0:32.975;0:34.993;;Sébastien BUEMI;0:02:06.010;;4;Renault e.dams;;
9;0;2;1:30.015;0;;25.399;0;32.566;0;32.050;0;111.4;5:02.520;12:48:02.520;0:25.399;0:32.566;0:32.050;;Sébastien BUEMI;;;4;Renault e.dams;;
9;0;3;1:14.320;2;;20.745;2;25.671;2;27.904;2;134.9;6:16.840;12:49:16.840;0:20.745;0:25.671;0:27.904;;Sébastien BUEMI;;;4;Renault e.dams;;
