NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;9:17.549;0;;8:10.466;0;33.981;0;33.102;0;18.0;9:17.549;13:07:17.549;8:10.466;0:33.981;0:33.102;;Lucas DI GRASSI;0:07:52.105;;1;Audi Sport ABT Schaeffler;;
1;0;2;1:13.948;3;;20.744;2;25.616;3;27.588;3;135.6;10:31.497;13:08:31.497;0:20.744;0:25.616;0:27.588;;Lucas DI GRASSI;;;1;Audi Sport ABT Schaeffler;;
1;0;3;1:31.530;0;B;26.194;0;30.423;0;34.913;0;109.5;12:03.027;13:10:03.027;0:26.194;0:30.423;0:34.913;;Lucas DI GRASSI;;;1;Audi Sport ABT Schaeffler;;
16;0;1;1:44.628;0;;30.896;0;37.652;0;36.080;0;95.8;1:44.628;12:59:44.628;0:30.896;0:37.652;0:36.080;;Oliver TURVEY;0:00:10.402;;3;NIO Formula E Team;;
16;0;2;1:14.978;2;;20.881;2;25.815;2;28.282;2;133.7;2:59.606;13:00:59.606;0:20.881;0:25.815;0:28.282;;Oliver TURVEY;;;3;NIO Formula E Team;;
16;0;3;1:27.344;0;B;23.717;0;27.352;0;36.275;0;114.8;4:26.950;13:02:26.950;0:23.717;0:27.352;0:36.275;;Oliver TURVEY;;;3;NIO Formula E Team;;
20;0;1;6:54.126;0;;5:36.201;0;41.199;0;36.726;0;24.2;6:54.126;13:04:54.126;5:36.201;0:41.199;0:36.726;;Mitch EVANS;0:05:08.379;;3;Panasonic Jaguar Racing;;
20;0;2;1:14.640;2;;20.820;2;25.852;2;27.968;2;134.3;8:08.766;13:06:08.766;0:20.820;0:25.852;0:27.968;;Mitch EVANS;;;3;Panasonic Jaguar Racing;;
20;0;3;1:42.200;0;B;31.223;0;32.398;0;38.579;0;98.1;9:50.966;13:07:50.966;0:31.223;0:32.398;0:38.579;;Mitch EVANS;;;3;Panasonic Jaguar Racing;;
25;0;1;11:37.116;0;;10:31.077;0;34.080;0;31.959;0;14.4;11:37.116;13:09:37.116;10:31.077;0:34.080;0:31.959;;Jean-Eric VERGNE;0:10:08.786;;4;TECHEETAH;;
25;0;2;1:16.806;2;;21.273;2;26.401;2;29.132;2;130.5;12:53.922;13:10:53.922;0:21.273;0:26.401;0:29.132;;Jean-Eric VERGNE;;;4;TECHEETAH;;
25;0;3;1:34.021;0;B;27.029;0;28.003;0;38.989;0;106.6;14:27.943;13:12:27.943;0:27.029;0:28.003;0:38.989;;Jean-Eric VERGNE;;;4;TECHEETAH;;
36;0;1;4:16.324;0;;3:02.503;0;36.832;0;36.989;0;39.1;4:16.324;13:02:16.324;3:02.503;0:36.832;0:36.989;;Alex LYNN;0:02:37.196;;2;DS Virgin Racing;;
36;0;2;1:14.189;2;;20.703;3;25.630;2;27.856;2;135.1;5:30.513;13:03:30.513;0:20.703;0:25.630;0:27.856;;Alex LYNN;;;2;DS Virgin Racing;;
36;0;3;1:42.357;0;B;22.781;0;29.236;0;50.340;0;98.0;7:12.870;13:05:12.870;0:22.781;0:29.236;0:50.340;;Alex LYNN;;;2;DS Virgin Racing;;
