POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;ECM ForixTeamId;*Extra 8;*Extra 9;*Extra 10;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_ECM ForixDriverId;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;25;Classified;37;50:43.809;-;-;25;1:17.282;129.7;TECHEETAH;;;;Renault Z.E. 17;MICHELIN;;;;;;;2016908103;;;;Jean-Eric;VERGNE;;FRA;FRA;VER;1086;;1990042500;;;
2;1;Classified;37;50:44.256;+0.447;+0.447;25;1:17.314;129.7;Audi Sport ABT Schaeffler;;;;Audi e-tron FE04;MICHELIN;;;;;;;2017908101;;;;Lucas;DI GRASSI;;BRA;BRA;DIG;1098;;1984081100;;;
3;2;Classified;37;50:46.420;+2.611;+2.164;25;1:17.220;129.8;DS Virgin Racing;;;;DS Virgin DSV-03;MICHELIN;;;;;;;2016908105;;;;Sam;BIRD;;GBR;GBR;BIR;1087;;1987010900;;;
4;20;Classified;37;50:47.884;+4.075;+1.464;25;1:17.041;130.1;Panasonic Jaguar Racing;;;;Jaguar I-Type II;MICHELIN;;;;;;;2016020101;;;;Mitch;EVANS;;NZL;NZL;EVA;8007;;1990015617;;;
5;19;Classified;37;50:48.033;+4.224;+0.149;23;1:17.107;130.0;Mahindra Racing;;;;Mahindra M4Electro;MICHELIN;;;;;;;2011806107;;;;Felix;ROSENQVIST;;SWE;SWE;FRO;8005;;1990015169;;;
6;36;Classified;37;50:51.481;+7.672;+3.448;26;1:17.296;129.7;DS Virgin Racing;;;;DS Virgin DSV-03;MICHELIN;;;;;;;2016908105;;;;Alex;LYNN;;GBR;GBR;LYN;8010;;1991015233;;;
7;16;Classified;37;50:55.627;+11.818;+4.146;34;1:17.747;129.0;NIO Formula E Team;;;;NextEV NIO Sport 003;MICHELIN;;;;;;;2017908102;;;;Oliver;TURVEY;;GBR;GBR;TUR;9092;;1987040100;;;
8;6;Classified;37;50:56.421;+12.612;+0.794;31;1:16.811;130.5;DRAGON;;;;PENSKE EV-2;MICHELIN;;;;;;;2016908101;;;;José Maria;LOPEZ;;ARG;ARG;LOP;8004;;1983042600;;;
9;7;Classified;37;51:06.051;+22.242;+9.630;23;1:17.030;130.2;DRAGON;;;;PENSKE EV-2;MICHELIN;;;;;;;2016908101;;;;Jérôme;D'AMBROSIO;;BEL;BEL;DAM;1084;;1985122700;;;
10;5;Classified;37;51:10.102;+26.293;+4.051;25;1:17.494;129.4;Venturi Formula E Team;;;;Venturi VM200-FE-03;MICHELIN;;;;;;;2016908106;;;;Maro;ENGEL;;DEU;DEU;ENG;8003;;1985082700;;;
11;28;Classified;37;51:11.144;+27.335;+1.042;24;1:17.573;129.2;Andretti Formula E;;;;Andretti ATEC-03;MICHELIN;;;;;;;2017908103;;;;Antonio Felix;DA COSTA;;PRT;PRT;DAC;3177;;1991083100;;;
12;18;Classified;37;51:22.540;+38.731;+11.396;16;1:17.679;129.1;TECHEETAH;;;;Renault Z.E. 17;MICHELIN;;;;;;;2016908103;;;;André;LOTTERER;;DEU;DEU;LOT;8013;;1981111900;;;
13;68;Classified;37;51:23.735;+39.926;+1.195;25;1:17.427;129.5;NIO Formula E Team;;;;NextEV NIO Sport 003;MICHELIN;;;;;;;2017908102;;;;Luca;FILIPPI;;ITA;ITA;FIL;8015;;1985080900;;;
14;66;Classified;37;51:26.948;+43.139;+3.213;28;1:17.381;129.6;Audi Sport ABT Schaeffler;;;;Audi e-tron FE04;MICHELIN;;;;;;;2017908101;;;;Daniel;ABT;;DEU;DEU;ABT;1080;;1990015408;;;
15;8;Classified;37;51:31.003;+47.194;+4.055;27;1:17.241;129.8;Renault e.dams;;;;Renault Z.E. 17;MICHELIN;;;;;;;2015908104;;;;Nicolas;PROST;;FRA;FRA;PRO;2032;;1981081801;;;
16;27;Classified;37;51:43.108;+59.299;+12.105;33;1:17.519;129.3;Andretti Formula E;;;;Andretti ATEC-03;MICHELIN;;;;;;;2017908103;;;;Tom;BLOMQVIST;;GBR;GBR;BLO;8016;;1993113000;;;
17;4;Classified;36;50:54.028;1 Lap;1 Lap;7;1:18.420;127.9;Venturi Formula E Team;;;;Venturi VM200-FE-03;MICHELIN;;;;;;;2016908106;;;;Edoardo;MORTARA;;CHE;CHE;MOR;8014;;1988010183;;;
;9;Not classified;29;41:16.815;;;28;1:17.843;128.8;Renault e.dams;;;;Renault Z.E. 17;MICHELIN;;;;;;;2015908104;;;;Sébastien;BUEMI;;CHE;CHE;BUE;1090;;1988103100;;;
;3;Not classified;25;37:35.464;;;9;1:18.218;128.2;Panasonic Jaguar Racing;;;;Jaguar I-Type II;MICHELIN;;;;;;;2016020101;;;;Nelson;PIQUET;;BRA;BRA;PIQ;9069;;1985072500;;;
;23;Not classified;1;1:33.413;;;0;;;Mahindra Racing;;;;Mahindra M4Electro;MICHELIN;;;;;;;2011806107;;;;Nick;HEIDFELD;;DEU;DEU;HEI;1099;;1977051000;;;
