NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;1:25.013;0;;28.192;0;27.278;0;29.543;0;117.9;1:25.013;16:05:11.512;0:28.192;0:27.278;0:29.543;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;2;1:19.169;0;;22.710;0;27.010;0;29.449;0;126.6;2:44.182;16:06:30.681;0:22.710;0:27.010;0:29.449;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;3;1:19.103;0;;22.881;0;26.818;0;29.404;0;126.7;4:03.285;16:07:49.784;0:22.881;0:26.818;0:29.404;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;4;1:29.637;0;;22.386;0;26.654;0;40.597;0;111.9;5:32.922;16:09:19.421;0:22.386;0:26.654;0:40.597;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;5;2:51.794;0;;1:02.537;0;1:11.358;0;37.899;0;58.4;8:24.716;16:12:11.215;1:02.537;1:11.358;0:37.899;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;6;1:18.200;0;;22.305;0;26.604;0;29.291;0;128.2;9:42.916;16:13:29.415;0:22.305;0:26.604;0:29.291;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;7;1:18.770;0;;22.289;0;26.722;0;29.759;0;127.3;11:01.686;16:14:48.185;0:22.289;0:26.722;0:29.759;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;8;1:18.008;0;;22.202;0;26.520;0;29.286;0;128.5;12:19.694;16:16:06.193;0:22.202;0:26.520;0:29.286;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;9;1:18.041;0;;22.217;0;26.465;0;29.359;0;128.5;13:37.735;16:17:24.234;0:22.217;0:26.465;0:29.359;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;10;1:18.277;0;;22.239;0;26.712;0;29.326;0;128.1;14:56.012;16:18:42.511;0:22.239;0:26.712;0:29.326;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
