NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;1:56.877;0;;37.293;0;34.284;0;45.300;0;29.3;1:56.877;10:31:56.877;0:37.293;0:34.284;0:45.300;;Lucas DI GRASSI;0:00:09.083;;;Audi Sport ABT Schaeffler;;
1;0;2;1:54.367;0;;33.721;0;32.490;0;48.156;0;90.0;3:51.244;10:33:51.244;0:33.721;0:32.490;0:48.156;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;3;1:35.839;2;;29.655;2;28.886;2;37.298;2;107.4;5:27.083;10:35:27.083;0:29.655;0:28.886;0:37.298;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;4;1:50.542;0;;35.434;0;31.781;0;43.327;0;93.1;7:17.625;10:37:17.625;0:35.434;0:31.781;0:43.327;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;5;1:40.583;0;;31.246;0;30.307;0;39.030;0;102.4;8:58.208;10:38:58.208;0:31.246;0:30.307;0:39.030;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;6;1:40.638;0;;31.246;0;30.449;0;38.943;0;102.3;10:38.846;10:40:38.846;0:31.246;0:30.449;0:38.943;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;7;1:40.025;0;;31.295;0;30.110;0;38.620;0;102.9;12:18.871;10:42:18.871;0:31.295;0:30.110;0:38.620;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;8;1:39.632;0;;30.735;0;30.227;0;38.670;0;103.3;13:58.503;10:43:58.503;0:30.735;0:30.227;0:38.670;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;9;1:51.812;0;;37.500;0;33.064;0;41.248;0;92.1;15:50.315;10:45:50.315;0:37.500;0:33.064;0:41.248;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;10;5:37.177;0;B;31.099;0;29.840;0;4:36.238;0;30.5;21:27.492;10:51:27.492;0:31.099;0:29.840;4:36.238;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;11;1:50.364;0;;31.965;0;33.875;0;44.524;0;93.3;23:17.856;10:53:17.856;0:31.965;0:33.875;0:44.524;;Lucas DI GRASSI;0:04:04.469;;;Audi Sport ABT Schaeffler;;
16;0;1;2:21.725;0;;55.180;0;35.743;0;50.802;0;24.1;2:21.725;10:32:21.725;0:55.180;0:35.743;0:50.802;;Oliver TURVEY;0:00:25.107;;;NIO Formula E Team;;
16;0;2;1:47.529;0;;31.651;0;32.909;0;42.969;0;95.8;4:09.254;10:34:09.254;0:31.651;0:32.909;0:42.969;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;3;1:36.973;2;;29.988;2;29.314;2;37.671;0;106.2;5:46.227;10:35:46.227;0:29.988;0:29.314;0:37.671;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;4;1:54.426;0;;36.830;0;34.014;0;43.582;0;90.0;7:40.653;10:37:40.653;0:36.830;0:34.014;0:43.582;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;5;1:37.604;0;;30.351;0;29.489;0;37.764;0;105.5;9:18.257;10:39:18.257;0:30.351;0:29.489;0:37.764;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;6;1:37.616;0;;30.401;0;29.584;0;37.631;2;105.5;10:55.873;10:40:55.873;0:30.401;0:29.584;0:37.631;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;7;2:00.404;0;;37.970;0;36.984;0;45.450;0;85.5;12:56.277;10:42:56.277;0:37.970;0:36.984;0:45.450;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;8;1:37.783;0;;30.269;0;29.574;0;37.940;0;105.3;14:34.060;10:44:34.060;0:30.269;0:29.574;0:37.940;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;9;7:32.954;0;B;32.877;0;30.994;0;6:29.083;0;22.7;22:07.014;10:52:07.014;0:32.877;0:30.994;6:29.083;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;10;1:50.986;0;;31.993;0;33.893;0;45.100;0;92.8;23:58.000;10:53:58.000;0:31.993;0:33.893;0:45.100;;Oliver TURVEY;0:05:57.130;;;NIO Formula E Team;;
18;0;1;3:03.167;0;;1:37.123;0;39.927;0;46.117;0;18.7;3:03.167;10:33:03.167;1:37.123;0:39.927;0:46.117;;André LOTTERER;0:01:02.603;;;TECHEETAH;;
18;0;2;1:38.524;0;;30.409;2;29.620;2;38.495;0;104.5;4:41.691;10:34:41.691;0:30.409;0:29.620;0:38.495;;André LOTTERER;;;;TECHEETAH;;
