NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
19;0;1;2:56.512;0;;1:23.153;0;41.328;0;52.031;0;19.4;2:56.512;12:12:56.512;1:23.153;0:41.328;0:52.031;;Felix ROSENQVIST;0:00:42.951;;2;Mahindra Racing;;
19;0;2;1:57.003;0;;37.765;0;37.338;0;41.900;0;88.0;4:53.515;12:14:53.515;0:37.765;0:37.338;0:41.900;;Felix ROSENQVIST;;;2;Mahindra Racing;;
19;0;3;1:36.683;4;;29.907;4;28.963;2;37.813;2;106.5;6:30.198;12:16:30.198;0:29.907;0:28.963;0:37.813;;Felix ROSENQVIST;;;2;Mahindra Racing;;
2;0;1;3:16.193;0;;1:49.591;0;38.349;0;48.253;0;17.4;3:16.193;12:13:16.193;1:49.591;0:38.349;0:48.253;;Sam BIRD;0:01:16.894;;2;DS Virgin Racing;;
2;0;2;2:09.104;0;;39.793;0;39.783;0;49.528;0;79.7;5:25.297;12:15:25.297;0:39.793;0:39.783;0:49.528;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;3;1:36.901;2;;30.016;2;29.038;2;37.847;2;106.3;7:02.198;12:17:02.198;0:30.016;0:29.038;0:37.847;;Sam BIRD;;;2;DS Virgin Racing;;
25;0;1;3:19.196;0;;1:52.164;0;38.147;0;48.885;0;17.2;3:19.196;12:13:19.196;1:52.164;0:38.147;0:48.885;;Jean-Eric VERGNE;0:01:19.604;;2;TECHEETAH;;
25;0;2;2:12.312;0;;40.590;0;39.112;0;52.610;0;77.8;5:31.508;12:15:31.508;0:40.590;0:39.112;0:52.610;;Jean-Eric VERGNE;;;2;TECHEETAH;;
25;0;3;1:37.055;2;;30.085;2;29.118;2;37.852;2;106.1;7:08.563;12:17:08.563;0:30.085;0:29.118;0:37.852;;Jean-Eric VERGNE;;;2;TECHEETAH;;
3;0;1;3:11.271;0;;1:40.104;0;37.396;0;53.771;0;17.9;3:11.271;12:13:11.271;1:40.104;0:37.396;0:53.771;;Nelson PIQUET;0:01:08.048;;2;Panasonic Jaguar Racing;;
3;0;2;2:04.944;0;;40.698;0;38.569;0;45.677;0;82.4;5:16.215;12:15:16.215;0:40.698;0:38.569;0:45.677;;Nelson PIQUET;;;2;Panasonic Jaguar Racing;;
3;0;3;1:38.066;2;;30.020;2;28.895;4;39.151;2;105.0;6:54.281;12:16:54.281;0:30.020;0:28.895;0:39.151;;Nelson PIQUET;;;2;Panasonic Jaguar Racing;;
9;0;1;3:26.567;0;;2:01.224;0;36.044;0;49.299;0;16.6;3:26.567;12:13:26.567;2:01.224;0:36.044;0:49.299;;Sébastien BUEMI;0:01:29.387;;2;Renault e.dams;;
9;0;2;2:09.648;0;;36.995;0;37.826;0;54.827;0;79.4;5:36.215;12:15:36.215;0:36.995;0:37.826;0:54.827;;Sébastien BUEMI;;;2;Renault e.dams;;
9;0;3;1:36.732;2;;30.100;2;29.073;2;37.559;4;106.4;7:12.947;12:17:12.947;0:30.100;0:29.073;0:37.559;;Sébastien BUEMI;;;2;Renault e.dams;;
