NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
18;0;1;14:24.210;0;;12:51.937;0;43.158;0;49.115;0;4.0;14:24.210;12:59:24.210;12:51.937;0:43.158;0:49.115;;André LOTTERER;0:12:11.158;;4;TECHEETAH;;
18;0;2;1:37.235;2;;29.962;2;29.108;2;38.165;2;105.9;16:01.445;13:01:01.445;0:29.962;0:29.108;0:38.165;;André LOTTERER;;;4;TECHEETAH;;
19;0;1;11:03.282;0;;9:37.196;0;41.809;0;44.277;0;5.2;11:03.282;12:56:03.282;9:37.196;0:41.809;0:44.277;;Felix ROSENQVIST;0:09:03.815;;2;Mahindra Racing;;
19;0;2;1:36.311;3;;29.697;3;28.887;3;37.727;2;106.9;12:39.593;12:57:39.593;0:29.697;0:28.887;0:37.727;;Felix ROSENQVIST;;;2;Mahindra Racing;;
2;0;1;5:00.957;0;;3:43.607;0;34.525;0;42.825;0;11.4;5:00.957;12:50:00.957;3:43.607;0:34.525;0:42.825;;Sam BIRD;0:03:15.145;;2;DS Virgin Racing;;
2;0;2;1:36.987;2;;30.092;2;29.277;2;37.618;3;106.2;6:37.944;12:51:37.944;0:30.092;0:29.277;0:37.618;;Sam BIRD;;;2;DS Virgin Racing;;
20;0;1;2:08.294;0;;42.309;0;39.318;0;46.667;0;26.7;2:08.294;12:47:08.294;0:42.309;0:39.318;0:46.667;;Mitch EVANS;0:00:02.227;;3;Panasonic Jaguar Racing;;
20;0;2;1:37.199;2;;29.993;2;29.214;2;37.992;2;105.9;3:45.493;12:48:45.493;0:29.993;0:29.214;0:37.992;;Mitch EVANS;;;3;Panasonic Jaguar Racing;;
9;0;1;7:55.541;0;;6:39.133;0;33.556;0;42.852;0;7.2;7:55.541;12:52:55.541;6:39.133;0:33.556;0:42.852;;Sébastien BUEMI;0:06:08.502;;2;Renault e.dams;;
9;0;2;1:37.817;2;;30.092;2;29.110;2;38.615;2;105.3;9:33.358;12:54:33.358;0:30.092;0:29.110;0:38.615;;Sébastien BUEMI;;;2;Renault e.dams;;
