POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;ECM ForixTeamId;*Extra 8;*Extra 9;*Extra 10;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_ECM ForixDriverId;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;2;Classified;33;58:20.656;-;-;26;1:38.955;104.0;DS Virgin Racing;;;;DS Virgin DSV-03;MICHELIN;;;;;;;2016908105;;;;Sam;BIRD;;GBR;GBR;BIR;1087;;1987010900;;;
2;1;Classified;33;58:21.626;+0.970;+0.970;26;1:38.503;104.5;Audi Sport ABT Schaeffler;;;;Audi e-tron FE04;MICHELIN;;;;;;;2017908101;;;;Lucas;DI GRASSI;;BRA;BRA;DIG;1098;;1984081100;;;
3;18;Classified;33;58:30.174;+9.518;+8.548;29;1:38.927;104.1;TECHEETAH;;;;Renault Z.E. 17;MICHELIN;;;;;;;2016908103;;;;André;LOTTERER;;DEU;DEU;LOT;8013;;1981111900;;;
4;66;Classified;33;58:30.823;+10.167;+0.649;30;1:37.910;105.2;Audi Sport ABT Schaeffler;;;;Audi e-tron FE04;MICHELIN;;;;;;;2017908101;;;;Daniel;ABT;;DEU;DEU;ABT;1080;;1990015408;;;
5;25;Classified;33;58:38.100;+17.444;+7.277;20;1:39.974;103.0;TECHEETAH;;;;Renault Z.E. 17;MICHELIN;;;;;;;2016908103;;;;Jean-Eric;VERGNE;;FRA;FRA;VER;1086;;1990042500;;;
6;9;Classified;33;58:40.491;+19.835;+2.391;20;1:39.573;103.4;Renault e.dams;;;;Renault Z.E. 17;MICHELIN;;;;;;;2015908104;;;;Sébastien;BUEMI;;CHE;CHE;BUE;1090;;1988103100;;;
7;7;Classified;33;58:45.035;+24.379;+4.544;25;1:38.521;104.5;DRAGON;;;;PENSKE EV-2;MICHELIN;;;;;;;2016908101;;;;Jérôme;D'AMBROSIO;;BEL;BEL;DAM;1084;;1985122700;;;
8;5;Classified;33;58:47.006;+26.350;+1.971;25;1:39.633;103.3;Venturi Formula E Team;;;;Venturi VM200-FE-03;MICHELIN;;;;;;;2016908106;;;;Maro;ENGEL;;DEU;DEU;ENG;8003;;1985082700;;;
9;20;Classified;33;58:58.365;+37.709;+11.359;26;1:38.677;104.3;Panasonic Jaguar Racing;;;;Jaguar I-Type II;MICHELIN;;;;;;;2016020101;;;;Mitch;EVANS;;NZL;NZL;EVA;8007;;1990015617;;;
10;4;Classified;33;59:01.395;+40.739;+3.030;14;1:39.339;103.6;Venturi Formula E Team;;;;Venturi VM200-FE-03;MICHELIN;;;;;;;2016908106;;;;Edoardo;MORTARA;;CHE;CHE;MOR;8014;;1988010183;;;
11;28;Classified;33;59:03.336;+42.680;+1.941;32;1:40.042;102.9;Andretti Formula E;;;;Andretti ATEC-03;MICHELIN;;;;;;;2017908103;;;;Antonio Felix;DA COSTA;;PRT;PRT;DAC;3177;;1991083100;;;
12;16;Classified;33;59:09.489;+48.833;+6.153;28;1:39.304;103.7;NIO Formula E Team;;;;NextEV NIO Sport 003;MICHELIN;;;;;;;2017908102;;;;Oliver;TURVEY;;GBR;GBR;TUR;9092;;1987040100;;;
13;68;Classified;33;59:09.987;+49.331;+0.498;26;1:39.312;103.7;NIO Formula E Team;;;;NextEV NIO Sport 003;MICHELIN;;;;;;;2017908102;;;;Luca;FILIPPI;;ITA;ITA;FIL;8015;;1985080900;;;
14;8;Classified;33;59:34.536;+1:13.880;+24.549;21;1:39.485;103.5;Renault e.dams;;;;Renault Z.E. 17;MICHELIN;;;;;;;2015908104;;;;Nicolas;PROST;;FRA;FRA;PRO;2032;;1981081801;;;
15;27;Classified;33;59:52.488;+1:31.832;+17.952;28;1:40.191;102.8;Andretti Formula E;;;;Andretti ATEC-03;MICHELIN;;;;;;;2017908103;;;;Tom;BLOMQVIST;;GBR;GBR;BLO;8016;;1993113000;;;
16;23;Classified;33;1:00:05.430;+1:44.774;+12.942;29;1:40.363;102.6;Mahindra Racing;;;;Mahindra M4Electro;MICHELIN;;;;;;;2011806107;;;;Nick;HEIDFELD;;DEU;DEU;HEI;1099;;1977051000;;;
17;6;Classified;29;52:15.027;4 Laps;4 Laps;25;1:39.047;104.0;DRAGON;;;;PENSKE EV-2;MICHELIN;;;;;;;2016908101;;;;José Maria;LOPEZ;;ARG;ARG;LOP;8004;;1983042600;;;
;19;Not classified;22;39:41.523;;;21;1:39.877;103.1;Mahindra Racing;;;;Mahindra M4Electro;MICHELIN;;;;;;;2011806107;;;;Felix;ROSENQVIST;;SWE;SWE;FRO;8005;;1990015169;;;
;3;Not classified;18;36:44.738;;;18;1:40.140;102.8;Panasonic Jaguar Racing;;;;Jaguar I-Type II;MICHELIN;;;;;;;2016020101;;;;Nelson;PIQUET;;BRA;BRA;PIQ;9069;;1985072500;;;
;36;Not classified;15;26:51.541;;;7;1:40.466;102.5;DS Virgin Racing;;;;DS Virgin DSV-03;MICHELIN;;;;;;;2016908105;;;;Alex;LYNN;;GBR;GBR;LYN;8010;;1991015233;;;
