NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;0;48.271;0;;;0;;0;44.267;0;70.8;48.271;16:06:29.507;;;0:44.267;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;1;1:44.342;0;;32.073;0;30.963;0;41.306;0;98.7;2:32.613;16:08:13.849;0:32.073;0:30.963;0:41.306;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;2;1:41.979;0;;31.599;0;30.587;0;39.793;0;101.0;4:14.592;16:09:55.828;0:31.599;0:30.587;0:39.793;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;3;1:41.543;0;;31.402;0;30.874;0;39.267;0;101.4;5:56.135;16:11:37.371;0:31.402;0:30.874;0:39.267;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;4;1:41.392;0;;31.441;0;30.680;0;39.271;0;101.5;7:37.527;16:13:18.763;0:31.441;0:30.680;0:39.271;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;5;1:41.240;0;;31.295;0;30.685;0;39.260;0;101.7;9:18.767;16:15:00.003;0:31.295;0:30.685;0:39.260;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;6;1:41.444;0;;31.384;0;30.579;0;39.481;0;101.5;11:00.211;16:16:41.447;0:31.384;0:30.579;0:39.481;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;7;1:40.888;0;;31.192;0;30.576;0;39.120;0;102.1;12:41.099;16:18:22.335;0:31.192;0:30.576;0:39.120;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;8;1:41.435;0;;31.242;0;30.669;0;39.524;0;101.5;14:22.534;16:20:03.770;0:31.242;0:30.669;0:39.524;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;9;1:41.108;0;;31.265;0;30.482;0;39.361;0;101.8;16:03.642;16:21:44.878;0:31.265;0:30.482;0:39.361;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
