NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;2:14.246;0;B;51.173;0;31.435;0;51.638;0;66.2;2:14.246;08:02:14.246;0:51.173;0:31.435;0:51.638;;Lucas DI GRASSI;0:00:34.162;;;Audi Sport ABT Schaeffler;;
1;0;2;1:31.527;0;;28.920;0;27.989;0;34.618;0;97.2;3:45.773;08:03:45.773;0:28.920;0:27.989;0:34.618;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;3;2:27.141;0;;47.992;0;57.250;0;41.899;0;60.4;6:12.914;08:06:12.914;0:47.992;0:57.250;0:41.899;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;4;1:26.578;0;;22.913;0;27.573;0;36.092;0;102.7;7:39.492;08:07:39.492;0:22.913;0:27.573;0:36.092;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;5;1:22.188;0;;22.612;0;26.449;0;33.127;0;108.2;9:01.680;08:09:01.680;0:22.612;0:26.449;0:33.127;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;6;1:38.665;0;;29.403;0;33.314;0;35.948;0;90.1;10:40.345;08:10:40.345;0:29.403;0:33.314;0:35.948;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;7;1:21.005;0;;22.545;0;26.101;0;32.359;0;109.8;12:01.350;08:12:01.350;0:22.545;0:26.101;0:32.359;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;8;4:30.115;0;B;23.798;0;28.040;0;3:38.277;0;32.9;16:31.465;08:16:31.465;0:23.798;0:28.040;3:38.277;;Lucas DI GRASSI;0:03:23.087;;;Audi Sport ABT Schaeffler;;
1;0;9;1:33.924;0;;30.884;0;28.339;0;34.701;0;94.7;18:05.389;08:18:05.389;0:30.884;0:28.339;0:34.701;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;10;1:27.254;0;;23.029;0;26.499;0;37.726;0;101.9;19:32.643;08:19:32.643;0:23.029;0:26.499;0:37.726;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;11;1:21.400;0;;22.572;0;26.114;0;32.714;0;109.2;20:54.043;08:20:54.043;0:22.572;0:26.114;0:32.714;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;12;1:39.290;0;;24.946;0;32.031;0;42.313;0;89.6;22:33.333;08:22:33.333;0:24.946;0:32.031;0:42.313;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
