NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
20;0;1;4:06.272;0;;2:48.581;0;35.563;0;42.128;0;36.1;4:06.272;12:04:06.272;2:48.581;0:35.563;0:42.128;;Mitch EVANS;0:02:07.487;;1;Panasonic Jaguar Racing;;
20;0;2;1:40.540;2;;28.686;0;29.828;2;42.026;0;88.4;5:46.812;12:05:46.812;0:28.686;0:29.828;0:42.026;;Mitch EVANS;;;1;Panasonic Jaguar Racing;;
20;0;3;1:44.387;0;;22.065;2;50.172;0;32.150;2;85.2;7:31.199;12:07:31.199;0:22.065;0:50.172;0:32.150;;Mitch EVANS;;;1;Panasonic Jaguar Racing;;
23;0;1;4:16.012;0;;3:10.945;0;29.650;0;35.417;0;34.7;4:16.012;12:04:16.012;3:10.945;0:29.650;0:35.417;;Nick HEIDFELD;0:02:39.502;;1;Mahindra Racing;;
23;0;2;1:36.780;0;;25.067;0;28.586;0;43.127;0;91.9;5:52.792;12:05:52.792;0:25.067;0:28.586;0:43.127;;Nick HEIDFELD;;;1;Mahindra Racing;;
23;0;3;1:20.012;2;;22.122;2;25.998;2;31.892;2;111.1;7:12.804;12:07:12.804;0:22.122;0:25.998;0:31.892;;Nick HEIDFELD;;;1;Mahindra Racing;;
28;0;1;3:58.083;0;;2:43.073;0;34.264;0;40.746;0;37.3;3:58.083;12:03:58.083;2:43.073;0:34.264;0:40.746;;Antonio Felix DA COSTA;0:02:04.600;;1;Andretti Formula E;;
28;0;2;1:35.939;0;;27.813;0;32.229;0;35.897;0;92.7;5:34.022;12:05:34.022;0:27.813;0:32.229;0:35.897;;Antonio Felix DA COSTA;;;1;Andretti Formula E;;
28;0;3;1:20.132;2;;22.167;2;25.830;2;32.135;2;111.0;6:54.154;12:06:54.154;0:22.167;0:25.830;0:32.135;;Antonio Felix DA COSTA;;;1;Andretti Formula E;;
66;0;1;4:08.488;0;;2:52.896;0;33.831;0;41.761;0;35.8;4:08.488;12:04:08.488;2:52.896;0:33.831;0:41.761;;Daniel ABT;0:02:10.658;;1;Audi Sport ABT Schaeffler;;
66;0;2;1:49.058;0;;29.405;0;29.312;0;50.341;0;81.5;5:57.546;12:05:57.546;0:29.405;0:29.312;0:50.341;;Daniel ABT;;;1;Audi Sport ABT Schaeffler;;
66;0;3;1:19.726;2;;22.035;2;25.803;2;31.888;2;111.5;7:17.272;12:07:17.272;0:22.035;0:25.803;0:31.888;;Daniel ABT;;;1;Audi Sport ABT Schaeffler;;
9;0;1;4:03.877;0;;2:52.938;0;31.890;0;39.049;0;36.5;4:03.877;12:04:03.877;2:52.938;0:31.890;0:39.049;;Sébastien BUEMI;0:02:20.628;;1;Renault e.dams;;
9;0;2;1:38.204;0;;26.342;0;30.846;0;41.016;0;90.5;5:42.081;12:05:42.081;0:26.342;0:30.846;0:41.016;;Sébastien BUEMI;;;1;Renault e.dams;;
9;0;3;1:19.182;4;;22.007;4;25.614;4;31.561;4;112.3;7:01.263;12:07:01.263;0:22.007;0:25.614;0:31.561;;Sébastien BUEMI;;;1;Renault e.dams;;
