NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;5:30.548;0;B;2:29.920;0;1:13.786;0;1:46.842;0;26.9;5:30.548;16:11:49.687;2:29.920;1:13.786;1:46.842;;Lucas DI GRASSI;0:00:40.499;;;Audi Sport ABT Schaeffler;;
1;0;2;3:53.526;0;B;1:11.029;0;1:16.211;0;1:26.286;0;38.1;9:24.074;16:15:43.213;1:11.029;1:16.211;1:26.286;;Lucas DI GRASSI;0:00:49.177;;;Audi Sport ABT Schaeffler;;
1;0;3;4:13.858;0;B;1:27.825;0;1:15.039;0;1:30.994;0;35.0;13:37.932;16:19:57.071;1:27.825;1:15.039;1:30.994;;Lucas DI GRASSI;0:00:49.570;;;Audi Sport ABT Schaeffler;;
1;0;4;2:08.254;0;;51.434;0;40.994;0;35.826;0;69.3;15:46.186;16:22:05.325;0:51.434;0:40.994;0:35.826;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;5;1:24.777;0;;22.918;0;27.592;0;34.267;0;104.9;17:10.963;16:23:30.102;0:22.918;0:27.592;0:34.267;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;6;1:23.272;0;;22.964;0;26.909;0;33.399;0;106.8;18:34.235;16:24:53.374;0:22.964;0:26.909;0:33.399;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;7;1:23.011;0;;22.651;0;27.046;0;33.314;0;107.1;19:57.246;16:26:16.385;0:22.651;0:27.046;0:33.314;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;8;1:22.824;0;;22.790;0;26.880;0;33.154;0;107.4;21:20.070;16:27:39.209;0:22.790;0:26.880;0:33.154;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;9;1:22.196;0;;22.591;0;26.924;0;32.681;0;108.2;22:42.266;16:29:01.405;0:22.591;0:26.924;0:32.681;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;10;1:22.292;0;;22.539;0;26.867;0;32.886;0;108.1;24:04.558;16:30:23.697;0:22.539;0:26.867;0:32.886;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;11;1:22.259;0;;22.503;2;26.606;0;33.150;0;108.1;25:26.817;16:31:45.956;0:22.503;0:26.606;0:33.150;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;12;1:21.719;0;;22.557;0;26.790;0;32.372;0;108.8;26:48.536;16:33:07.675;0:22.557;0:26.790;0:32.372;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;13;1:21.627;0;;22.616;0;26.626;0;32.385;0;108.9;28:10.163;16:34:29.302;0:22.616;0:26.626;0:32.385;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;14;1:22.049;0;;22.597;0;26.799;0;32.653;0;108.4;29:32.212;16:35:51.351;0:22.597;0:26.799;0:32.653;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;15;1:21.106;2;;22.552;0;26.388;2;32.166;2;109.6;30:53.318;16:37:12.457;0:22.552;0:26.388;0:32.166;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;16;1:21.524;0;;22.625;0;26.567;0;32.332;0;109.1;32:14.842;16:38:33.981;0:22.625;0:26.567;0:32.332;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;17;1:21.864;0;;22.588;0;26.665;0;32.611;0;108.6;33:36.706;16:39:55.845;0:22.588;0:26.665;0:32.611;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;18;1:22.688;0;;22.599;0;27.032;0;33.057;0;107.5;34:59.394;16:41:18.533;0:22.599;0:27.032;0:33.057;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;19;1:24.011;0;;22.747;0;27.334;0;33.930;0;105.8;36:23.405;16:42:42.544;0:22.747;0:27.334;0:33.930;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;20;1:54.394;0;B;22.691;0;27.214;0;1:04.489;0;77.7;38:17.799;16:44:36.938;0:22.691;0:27.214;1:04.489;;Lucas DI GRASSI;0:00:49.140;;;Audi Sport ABT Schaeffler;;
1;0;21;2:02.970;0;;26.608;0;38.717;0;57.645;0;72.3;40:20.769;16:46:39.908;0:26.608;0:38.717;0:57.645;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
