NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;1:32.736;0;;38.612;0;33.006;0;21.118;0;95.7;1:32.736;09:01:32.736;0:38.612;0:33.006;0:21.118;;Lucas DI GRASSI;0:00:06.451;;;Audi Sport ABT Schaeffler;;
1;0;2;1:19.217;0;;26.506;0;31.951;0;20.760;0;112.0;2:51.953;09:02:51.953;0:26.506;0:31.951;0:20.760;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;3;1:50.476;0;;26.653;0;56.327;0;27.496;0;80.3;4:42.429;09:04:42.429;0:26.653;0:56.327;0:27.496;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;4;1:18.493;0;;26.489;0;31.629;0;20.375;0;113.1;6:00.922;09:06:00.922;0:26.489;0:31.629;0:20.375;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;5;1:17.349;0;;26.015;0;31.001;0;20.333;0;114.7;7:18.271;09:07:18.271;0:26.015;0:31.001;0:20.333;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;6;1:17.374;0;;25.910;0;31.160;0;20.304;0;114.7;8:35.645;09:08:35.645;0:25.910;0:31.160;0:20.304;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;7;1:16.967;0;;25.789;0;30.909;0;20.269;0;115.3;9:52.612;09:09:52.612;0:25.789;0:30.909;0:20.269;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;8;1:16.663;0;;25.691;0;30.735;0;20.237;0;115.8;11:09.275;09:11:09.275;0:25.691;0:30.735;0:20.237;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;9;1:17.390;0;;26.424;0;31.074;0;19.892;0;114.7;12:26.665;09:12:26.665;0:26.424;0:31.074;0:19.892;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;10;1:15.393;0;;25.251;0;30.570;0;19.572;0;117.7;13:42.058;09:13:42.058;0:25.251;0:30.570;0:19.572;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;11;4:46.635;0;B;25.047;0;30.433;0;3:51.155;0;31.0;18:28.693;09:18:28.693;0:25.047;0:30.433;3:51.155;;Lucas DI GRASSI;0:03:30.930;;;Audi Sport ABT Schaeffler;;
1;0;12;1:26.392;0;;31.370;0;33.685;0;21.337;0;102.7;19:55.085;09:19:55.085;0:31.370;0:33.685;0:21.337;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;13;1:14.211;0;;24.480;0;30.110;0;19.621;0;119.6;21:09.296;09:21:09.296;0:24.480;0:30.110;0:19.621;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;14;1:27.294;0;;28.209;0;35.964;0;23.121;0;101.7;22:36.590;09:22:36.590;0:28.209;0:35.964;0:23.121;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;15;1:13.703;0;;24.257;0;29.956;0;19.490;0;120.4;23:50.293;09:23:50.293;0:24.257;0:29.956;0:19.490;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;16;1:23.689;0;;27.689;0;34.481;0;21.519;0;106.0;25:13.982;09:25:13.982;0:27.689;0:34.481;0:21.519;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;17;1:13.433;0;;24.071;0;29.770;0;19.592;0;120.8;26:27.415;09:26:27.415;0:24.071;0:29.770;0:19.592;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;18;1:25.424;0;;28.212;0;36.269;0;20.943;0;103.9;27:52.839;09:27:52.839;0:28.212;0:36.269;0:20.943;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;19;6:05.518;0;B;24.054;0;30.508;0;5:10.956;0;24.3;33:58.357;09:33:58.357;0:24.054;0:30.508;5:10.956;;Lucas DI GRASSI;0:04:49.913;;;Audi Sport ABT Schaeffler;;
1;0;20;1:31.087;0;;34.853;0;34.568;0;21.666;0;97.4;35:29.444;09:35:29.444;0:34.853;0:34.568;0:21.666;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;21;1:28.705;0;;27.977;0;38.314;0;22.414;0;100.0;36:58.149;09:36:58.149;0:27.977;0:38.314;0:22.414;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;22;1:11.995;3;;23.695;3;29.342;3;18.958;3;123.3;38:10.144;09:38:10.144;0:23.695;0:29.342;0:18.958;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;23;3:26.802;0;B;27.308;0;32.886;0;2:26.608;0;42.9;41:36.946;09:41:36.946;0:27.308;0:32.886;2:26.608;;Lucas DI GRASSI;0:02:05.158;;;Audi Sport ABT Schaeffler;;
1;0;24;1:21.791;0;;29.951;0;31.731;0;20.109;0;108.5;42:58.737;09:42:58.737;0:29.951;0:31.731;0:20.109;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;25;1:17.593;0;;25.985;0;30.714;0;20.894;0;114.4;44:16.330;09:44:16.330;0:25.985;0:30.714;0:20.894;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;26;1:21.468;0;;29.866;0;32.161;0;19.441;0;108.9;45:37.798;09:45:37.798;0:29.866;0:32.161;0:19.441;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
16;0;1;2:30.447;0;;1:28.517;0;38.220;0;23.710;0;59.0;2:30.447;09:02:30.447;1:28.517;0:38.220;0:23.710;;Oliver TURVEY;0:00:50.798;;;NIO Formula E Team;;
16;0;2;1:56.342;0;;26.896;0;41.720;0;47.726;0;76.3;4:26.789;09:04:26.789;0:26.896;0:41.720;0:47.726;;Oliver TURVEY;;;;NIO Formula E Team;;
16;0;3;1:18.495;0;;27.277;0;31.135;0;20.083;0;113.1;5:45.284;09:05:45.284;0:27.277;0:31.135;0:20.083;;Oliver TURVEY;;;;NIO Formula E Team;;
