NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
23;0;1;1:46.911;0;;46.991;0;36.015;0;23.905;2;83.0;1:46.911;14:21:46.911;0:46.991;0:36.015;0:23.905;;Nick HEIDFELD;0:00:12.168;;3;Mahindra Racing;;
23;0;2;1:27.071;0;;28.201;0;34.239;2;24.631;0;101.9;3:13.982;14:23:13.982;0:28.201;0:34.239;0:24.631;;Nick HEIDFELD;;;3;Mahindra Racing;;
23;0;3;1:13.405;2;;24.014;2;;0;;0;120.9;4:27.387;14:24:27.387;0:24.014;;;;Nick HEIDFELD;;;3;Mahindra Racing;;
28;0;1;3:53.378;0;;2:54.898;0;37.845;0;20.635;0;38.0;3:53.378;14:23:53.378;2:54.898;0:37.845;0:20.635;;Antonio Felix DA COSTA;0:02:19.992;;3;Andretti Formula E;;
28;0;2;1:13.422;2;;23.993;2;29.842;2;19.587;2;120.9;5:06.800;14:25:06.800;0:23.993;0:29.842;0:19.587;;Antonio Felix DA COSTA;;;3;Andretti Formula E;;
36;0;1;1:49.367;0;;44.835;0;39.774;0;24.758;0;81.1;1:49.367;14:21:49.367;0:44.835;0:39.774;0:24.758;;Alex LYNN;0:00:04.387;;3;DS Virgin Racing;;
36;0;2;1:29.396;0;;29.932;0;36.571;0;22.893;0;99.3;3:18.763;14:23:18.763;0:29.932;0:36.571;0:22.893;;Alex LYNN;;;3;DS Virgin Racing;;
36;0;3;1:13.393;3;;24.144;2;29.803;3;19.446;3;120.9;4:32.156;14:24:32.156;0:24.144;0:29.803;0:19.446;;Alex LYNN;;;3;DS Virgin Racing;;
4;0;1;2:11.442;0;;1:02.652;0;44.588;0;24.202;0;67.5;2:11.442;14:22:11.442;1:02.652;0:44.588;0:24.202;;Edoardo MORTARA;0:00:23.690;;3;Venturi Formula E Team;;
4;0;2;1:36.448;0;;32.115;0;41.586;0;22.747;0;92.0;3:47.890;14:23:47.890;0:32.115;0:41.586;0:22.747;;Edoardo MORTARA;;;3;Venturi Formula E Team;;
4;0;3;1:13.413;2;;23.910;2;29.897;2;19.606;2;120.9;5:01.303;14:25:01.303;0:23.910;0:29.897;0:19.606;;Edoardo MORTARA;;;3;Venturi Formula E Team;;
5;0;1;2:05.394;0;;55.467;0;46.244;0;23.683;0;70.8;2:05.394;14:22:05.394;0:55.467;0:46.244;0:23.683;;Maro ENGEL;0:00:20.226;;3;Venturi Formula E Team;;
5;0;2;1:30.618;0;;28.613;0;38.091;0;23.914;0;97.9;3:36.012;14:23:36.012;0:28.613;0:38.091;0:23.914;;Maro ENGEL;;;3;Venturi Formula E Team;;
5;0;3;1:13.541;2;;23.864;3;30.109;2;19.568;2;120.7;4:49.553;14:24:49.553;0:23.864;0:30.109;0:19.568;;Maro ENGEL;;;3;Venturi Formula E Team;;
