NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
18;0;1;4:13.087;0;;3:11.128;0;37.731;0;24.228;0;35.1;4:13.087;14:49:13.087;3:11.128;0:37.731;0:24.228;;André LOTTERER;0:02:33.796;;2;TECHEETAH;;
18;0;2;1:12.948;2;;23.888;2;29.788;2;19.272;3;121.6;5:26.035;14:50:26.035;0:23.888;0:29.788;0:19.272;;André LOTTERER;;;2;TECHEETAH;;
2;0;1;1:34.714;0;;36.967;0;35.029;0;22.718;0;93.7;1:34.714;14:46:34.714;0:36.967;0:35.029;0:22.718;;Sam BIRD;0:00:03.191;;1;DS Virgin Racing;;
2;0;2;1:13.022;2;;23.674;3;29.979;2;19.369;2;121.5;2:47.736;14:47:47.736;0:23.674;0:29.979;0:19.369;;Sam BIRD;;;1;DS Virgin Racing;;
20;0;1;12:22.786;0;;11:21.308;0;40.631;0;20.847;0;11.9;12:22.786;14:57:22.786;11:21.308;0:40.631;0:20.847;;Mitch EVANS;0:10:38.090;;2;Panasonic Jaguar Racing;;
20;0;2;1:12.811;3;;23.965;2;29.516;3;19.330;2;121.9;13:35.597;14:58:35.597;0:23.965;0:29.516;0:19.330;;Mitch EVANS;;;2;Panasonic Jaguar Racing;;
6;0;1;6:54.762;0;;5:52.534;0;40.737;0;21.491;0;21.4;6:54.762;14:51:54.762;5:52.534;0:40.737;0:21.491;;José Maria LOPEZ;0:05:13.756;;4;DRAGON;;
6;0;2;1:13.927;2;;24.750;2;29.727;2;19.450;2;120.0;8:08.689;14:53:08.689;0:24.750;0:29.727;0:19.450;;José Maria LOPEZ;;;4;DRAGON;;
7;0;1;9:38.616;0;;8:34.760;0;39.826;0;24.030;0;15.3;9:38.616;14:54:38.616;8:34.760;0:39.826;0:24.030;;Jérôme D'AMBROSIO;0:07:59.561;;4;DRAGON;;
7;0;2;1:13.096;2;;23.899;2;29.788;2;19.409;2;121.4;10:51.712;14:55:51.712;0:23.899;0:29.788;0:19.409;;Jérôme D'AMBROSIO;;;4;DRAGON;;
