NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;1:25.446;0;;33.018;0;31.675;0;20.753;0;103.9;1:25.446;18:05:20.889;0:33.018;0:31.675;0:20.753;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;2;1:17.279;0;;26.282;0;30.953;0;20.044;0;114.8;2:42.725;18:06:38.168;0:26.282;0:30.953;0:20.044;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;3;1:16.314;0;;25.515;0;30.601;0;20.198;0;116.3;3:59.039;18:07:54.482;0:25.515;0:30.601;0:20.198;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;4;1:15.942;0;;25.507;0;30.412;0;20.023;0;116.9;5:14.981;18:09:10.424;0:25.507;0:30.412;0:20.023;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;5;1:15.910;0;;25.208;0;30.618;0;20.084;0;116.9;6:30.891;18:10:26.334;0:25.208;0:30.618;0:20.084;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;6;1:15.744;0;;25.317;0;30.439;0;19.988;0;117.2;7:46.635;18:11:42.078;0:25.317;0:30.439;0:19.988;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;7;1:16.168;0;;25.431;0;30.470;0;20.267;0;116.5;9:02.803;18:12:58.246;0:25.431;0:30.470;0:20.267;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;8;1:16.216;0;;25.431;0;30.420;0;20.365;0;116.4;10:19.019;18:14:14.462;0:25.431;0:30.420;0:20.365;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;9;1:15.793;0;;25.233;0;30.427;0;20.133;0;117.1;11:34.812;18:15:30.255;0:25.233;0:30.427;0:20.133;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;10;1:15.883;0;;25.381;0;30.325;0;20.177;0;116.9;12:50.695;18:16:46.138;0:25.381;0:30.325;0:20.177;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;11;1:15.931;0;;25.368;0;30.356;0;20.207;0;116.9;14:06.626;18:18:02.069;0:25.368;0:30.356;0:20.207;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;12;1:15.860;0;;25.272;0;30.429;0;20.159;0;117.0;15:22.486;18:19:17.929;0:25.272;0:30.429;0:20.159;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;13;1:15.536;0;;25.392;0;30.428;0;19.716;3;117.5;16:38.022;18:20:33.465;0:25.392;0:30.428;0:19.716;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;14;1:16.047;0;;25.255;0;30.428;0;20.364;0;116.7;17:54.069;18:21:49.512;0:25.255;0:30.428;0:20.364;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;15;1:16.657;0;;25.869;0;30.677;0;20.111;0;115.8;19:10.726;18:23:06.169;0:25.869;0:30.677;0:20.111;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;16;1:15.603;0;;25.111;0;30.499;0;19.993;0;117.4;20:26.329;18:24:21.772;0:25.111;0:30.499;0:19.993;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;17;1:15.832;0;;25.370;0;30.269;0;20.193;0;117.0;21:42.161;18:25:37.604;0:25.370;0:30.269;0:20.193;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;18;1:15.643;0;;25.066;2;30.391;0;20.186;0;117.3;22:57.804;18:26:53.247;0:25.066;0:30.391;0:20.186;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;19;2:24.978;0;B;25.487;0;41.765;0;1:17.726;0;61.2;25:22.782;18:29:18.225;0:25.487;0:41.765;1:17.726;;Lucas DI GRASSI;0:00:32.532;;;Audi Sport ABT Schaeffler;;
1;0;20;1:55.791;0;;58.681;0;36.808;0;20.302;0;76.6;27:18.573;18:31:14.016;0:58.681;0:36.808;0:20.302;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;21;1:16.939;0;;25.983;0;30.733;0;20.223;0;115.3;28:35.512;18:32:30.955;0:25.983;0:30.733;0:20.223;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;22;1:15.857;0;;25.325;0;30.459;0;20.073;0;117.0;29:51.369;18:33:46.812;0:25.325;0:30.459;0:20.073;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;23;1:15.730;0;;25.444;0;30.176;0;20.110;0;117.2;31:07.099;18:35:02.542;0:25.444;0:30.176;0:20.110;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;24;1:15.660;0;;25.252;0;30.277;0;20.131;0;117.3;32:22.759;18:36:18.202;0:25.252;0:30.277;0:20.131;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
1;0;25;1:15.269;0;;25.162;0;30.019;0;20.088;0;117.9;33:38.028;18:37:33.471;0:25.162;0:30.019;0:20.088;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler;;
