NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;1;1;2:03.522;0;;41.132;0;35.578;0;46.812;0;17.3;2:03.522;10:17:03.522;0:41.132;0:35.578;0:46.812;;Lucas DI GRASSI;0:00:08.433;;A;Audi Sport Abt Schaeffler Formula E Team;;
11;1;2;1:45.014;0;;33.835;0;30.552;0;40.627;0;85.5;3:48.536;10:18:48.536;0:33.835;0:30.552;0:40.627;;Lucas DI GRASSI;;;A;Audi Sport Abt Schaeffler Formula E Team;;
11;1;3;1:40.501;0;;32.636;0;29.606;0;38.259;0;89.3;5:29.037;10:20:29.037;0:32.636;0:29.606;0:38.259;;Lucas DI GRASSI;;;A;Audi Sport Abt Schaeffler Formula E Team;;
11;1;4;1:27.977;0;;28.777;0;25.353;0;33.847;0;102.1;6:57.014;10:21:57.014;0:28.777;0:25.353;0:33.847;;Lucas DI GRASSI;;;A;Audi Sport Abt Schaeffler Formula E Team;;
11;1;5;1:26.735;0;;27.942;0;24.615;0;34.178;0;103.5;8:23.749;10:23:23.749;0:27.942;0:24.615;0:34.178;;Lucas DI GRASSI;;;A;Audi Sport Abt Schaeffler Formula E Team;;
11;1;6;2:47.678;0;B;39.813;0;49.676;0;1:18.189;0;53.5;11:11.427;10:26:11.427;0:39.813;0:49.676;1:18.189;;Lucas DI GRASSI;;;A;Audi Sport Abt Schaeffler Formula E Team;;
11;1;7;15:21.060;0;;14:21.407;0;25.937;0;33.716;0;9.7;26:32.487;10:41:32.487;14:21.407;0:25.937;0:33.716;;Lucas DI GRASSI;0:14:08.321;;A;Audi Sport Abt Schaeffler Formula E Team;;
11;1;8;1:23.703;0;;26.977;0;24.097;0;32.629;0;107.3;27:56.190;10:42:56.190;0:26.977;0:24.097;0:32.629;;Lucas DI GRASSI;;;A;Audi Sport Abt Schaeffler Formula E Team;;
11;1;9;1:22.436;0;;26.580;0;23.525;0;32.331;0;108.9;29:18.626;10:44:18.626;0:26.580;0:23.525;0:32.331;;Lucas DI GRASSI;;;A;Audi Sport Abt Schaeffler Formula E Team;;
11;1;10;1:21.808;0;;26.081;0;23.021;0;32.706;0;109.7;30:40.434;10:45:40.434;0:26.081;0:23.021;0:32.706;;Lucas DI GRASSI;;;A;Audi Sport Abt Schaeffler Formula E Team;;
