POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;ECM ForixTeamId;*Extra 8;*Extra 9;*Extra 10;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_ECM ForixDriverId;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;5;10;1:18.868;-;-;113.8;10;HWA RACELAB;;B;;Venturi VFE05;MICHELIN;;;;;;;2018020105;;;;Stoffel;VANDOORNE;;BEL;BEL;VAN;;;1992032600;;;
2;2;12;1:19.045;+0.177;+0.177;113.6;14;Envision Virgin Racing;;A;;Audi e-tron FE05;MICHELIN;;;;;;;2018020102;;;;Sam;BIRD;;GBR;GBR;BIR;1087;;1987010900;;;
3;23;10;1:19.050;+0.182;+0.005;113.6;10;Nissan e.dams;;A;;Nissan IM01;MICHELIN;;;;;;;2018020109;;;;Sébastien;BUEMI;;CHE;CHE;BUE;1090;;1988103100;;;
4;22;12;1:19.084;+0.216;+0.034;113.5;13;Nissan e.dams;;B;;Nissan IM01;MICHELIN;;;;;;;2018020109;;;;Oliver;ROWLAND;;GBR;GBR;ROW;;;1992081000;;;
5;20;12;1:19.281;+0.413;+0.197;113.2;13;Panasonic Jaguar Racing;;B;;Jaguar I-Type III;MICHELIN;;;;;;;2016020101;;;;Mitch;EVANS;;NZL;NZL;EVA;8007;;1990015617;;;
6;25;11;1:19.450;+0.582;+0.169;113.0;13;DS TECHEETAH;;A;;DS E-TENSE FE19;MICHELIN;;;;;;;2018020118;;;;Jean-Eric;VERGNE;;FRA;FRA;JEV;1086;;1990042500;;;
7;27;13;1:19.486;+0.618;+0.036;113.0;13;BMW i ANDRETTI MOTORSPORT;;B;;BMW iFE.18;MICHELIN;;;;;;;2018020128;;;;Alexander;SIMS;;GBR;GBR;SIM;;;1989062202;;;
8;28;12;1:19.502;+0.634;+0.016;112.9;12;BMW i ANDRETTI MOTORSPORT;;A;;BMW iFE.18;MICHELIN;;;;;;;2018020128;;;;Antonio Felix;DA COSTA;;PRT;PRT;DAC;3177;;1991083100;;;
9;6;11;1:19.909;+1.041;+0.407;112.4;12;GEOX DRAGON;;B;;Penske EV-3;MICHELIN;;;;;;;2011110301;;;;Maximilian;GÜNTHER;;DEU;DEU;GUN;;;;;;
10;66;11;1:20.054;+1.186;+0.145;112.2;13;Audi Sport Abt Schaeffler Formula E Team;;A;;Audi e-tron FE05;MICHELIN;;;;;;;2017908101;;;;Daniel;ABT;;DEU;DEU;ABT;1080;;1990015408;;;
11;4;13;1:20.063;+1.195;+0.009;112.1;13;Envision Virgin Racing;;A;;Audi e-tron FE05;MICHELIN;;;;;;;2018020102;;;;Robin;FRIJNS;;NLD;NLD;FRI;;;1991080701;;;
12;11;12;1:20.154;+1.286;+0.091;112.0;14;Audi Sport Abt Schaeffler Formula E Team;;A;;Audi e-tron FE05;MICHELIN;;;;;;;2017908101;;;;Lucas;DI GRASSI;;BRA;BRA;DIG;1098;;1984081100;;;
13;36;13;1:20.167;+1.299;+0.013;112.0;14;DS TECHEETAH;;B;;DS E-TENSE FE19;MICHELIN;;;;;;;2018020118;;;;André;LOTTERER;;DEU;DEU;LOT;8013;;1981111900;;;
14;16;12;1:20.527;+1.659;+0.360;111.5;12;NIO Formula E Team;;B;;NIO Sport 004;MICHELIN;;;;;;;2017908102;;;;Oliver;TURVEY;;GBR;GBR;TUR;9092;;1987040100;;;
15;64;11;1:20.587;+1.719;+0.060;111.4;12;MAHINDRA RACING;;A;;Mahindra M5Electro;MICHELIN;;;;;;;1985122700;;;;Jérôme;D'AMBROSIO;;BEL;BEL;DAM;1084;;1985122700;;;
16;3;12;1:20.643;+1.775;+0.056;111.3;12;Panasonic Jaguar Racing;;B;;Jaguar I-Type III;MICHELIN;;;;;;;2016020101;;;;Nelson;PIQUET;;BRA;BRA;PIQ;9069;;1985072500;;;
17;7;9;1:20.981;+2.113;+0.338;110.9;13;GEOX DRAGON;;A;;Penske EV-3;MICHELIN;;;;;;;2011110301;;;;José Maria;LOPEZ;;ARG;ARG;LOP;8004;;1983042600;;;
18;8;11;1:21.220;+2.352;+0.239;110.5;13;NIO Formula E Team;;A;;NIO Sport 004;MICHELIN;;;;;;;2017908102;;;;Tom;DILLMANN;;FRA;FRA;DIL;8009;;1989040601;;;
19;19;9;1:22.479;+3.611;+1.259;108.9;10;Venturi Formula E Team;;B;;Venturi VFE05;MICHELIN;;;;;;;2014020109;;;;Felipe;MASSA;;BRA;BRA;MAS;;;1981042500;;;
20;94;9;1:22.868;+4.000;+0.389;108.3;13;MAHINDRA RACING;;B;;Mahindra M5Electro;MICHELIN;;;;;;;2011806107;;;;Felix;ROSENQVIST;;SWE;SWE;FRO;8005;;1990015169;;;
21;17;9;1:24.257;+5.389;+1.389;106.6;9;HWA RACELAB;;B;;Venturi VFE05;MICHELIN;;;;;;;2018020105;;;;Gary;PAFFETT;;GBR;GBR;PAF;;;1981032400;;;
22;48;2;1:44.036;+25.168;+19.779;86.3;4;Venturi Formula E Team;;A;;Venturi VFE05;MICHELIN;;;;;;;2014020109;;;;Edoardo;MORTARA;;CHE;CHE;MOR;8014;;1988010183;;;
