NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;1;1;12:29.456;0;;11:28.205;0;24.499;0;36.752;0;2.9;12:29.456;11:37:29.456;11:28.205;0:24.499;0:36.752;;Lucas DI GRASSI;0:11:06.095;;A;Audi Sport Abt Schaeffler Formula E Team;;
11;1;2;1:25.104;0;;26.350;0;23.540;0;35.214;0;105.5;13:54.560;11:38:54.560;0:26.350;0:23.540;0:35.214;;Lucas DI GRASSI;;;A;Audi Sport Abt Schaeffler Formula E Team;;
11;1;3;1:19.527;2;;25.612;2;22.398;2;31.517;2;112.9;15:14.087;11:40:14.087;0:25.612;0:22.398;0:31.517;;Lucas DI GRASSI;;;A;Audi Sport Abt Schaeffler Formula E Team;;
2;1;1;12:40.227;0;;11:42.112;0;25.079;0;33.036;0;2.8;12:40.227;11:37:40.227;11:42.112;0:25.079;0:33.036;;Sam BIRD;0:11:19.801;;A;Envision Virgin Racing;;
2;1;2;1:29.625;0;;25.967;0;25.444;0;38.214;0;100.2;14:09.852;11:39:09.852;0:25.967;0:25.444;0:38.214;;Sam BIRD;;;A;Envision Virgin Racing;;
2;1;3;1:18.511;2;;25.203;2;22.001;2;31.307;2;114.4;15:28.363;11:40:28.363;0:25.203;0:22.001;0:31.307;;Sam BIRD;;;A;Envision Virgin Racing;;
23;1;1;13:17.219;0;;12:11.388;0;25.496;0;40.335;0;2.7;13:17.219;11:38:17.219;12:11.388;0:25.496;0:40.335;;Sébastien BUEMI;0:11:47.607;;A;Nissan e.dams;;
23;1;2;1:19.667;0;;25.627;0;22.183;0;31.857;0;112.7;14:36.886;11:39:36.886;0:25.627;0:22.183;0:31.857;;Sébastien BUEMI;;;A;Nissan e.dams;;
23;1;3;1:18.269;2;;25.186;2;21.875;2;31.208;2;114.7;15:55.155;11:40:55.155;0:25.186;0:21.875;0:31.208;;Sébastien BUEMI;;;A;Nissan e.dams;;
25;1;1;12:21.965;0;;11:24.202;0;24.767;0;32.996;0;2.9;12:21.965;11:37:21.965;11:24.202;0:24.767;0:32.996;;Jean-Eric VERGNE;0:10:49.059;;A;DS TECHEETAH;;
25;1;2;1:19.082;0;;25.373;0;22.396;0;31.313;2;113.5;13:41.047;11:38:41.047;0:25.373;0:22.396;0:31.313;;Jean-Eric VERGNE;;;A;DS TECHEETAH;;
25;1;3;1:18.571;2;;25.187;2;21.942;2;31.442;0;114.3;14:59.618;11:39:59.618;0:25.187;0:21.942;0:31.442;;Jean-Eric VERGNE;;;A;DS TECHEETAH;;
28;1;1;12:39.295;0;;11:34.579;0;26.789;0;37.927;0;2.8;12:39.295;11:37:39.295;11:34.579;0:26.789;0:37.927;;Antonio Felix DA COSTA;0:11:10.449;;A;BMW i ANDRETTI MOTORSPORT;;
28;1;2;1:23.604;0;;25.622;0;25.012;0;32.970;0;107.4;14:02.899;11:39:02.899;0:25.622;0:25.012;0:32.970;;Antonio Felix DA COSTA;;;A;BMW i ANDRETTI MOTORSPORT;;
28;1;3;1:17.728;4;;25.057;2;21.867;2;30.804;4;115.5;15:20.627;11:40:20.627;0:25.057;0:21.867;0:30.804;;Antonio Felix DA COSTA;;;A;BMW i ANDRETTI MOTORSPORT;;
4;1;1;12:44.188;0;;11:44.898;0;25.288;0;34.002;0;2.8;12:44.188;11:37:44.188;11:44.898;0:25.288;0:34.002;;Robin FRIJNS;0:11:21.153;;A;Envision Virgin Racing;;
4;1;2;1:31.566;0;;26.325;0;24.307;0;40.934;0;98.1;14:15.754;11:39:15.754;0:26.325;0:24.307;0:40.934;;Robin FRIJNS;;;A;Envision Virgin Racing;;
4;1;3;1:19.036;2;;25.295;2;22.504;2;31.237;2;113.6;15:34.790;11:40:34.790;0:25.295;0:22.504;0:31.237;;Robin FRIJNS;;;A;Envision Virgin Racing;;
48;1;1;13:09.533;0;;12:08.050;0;25.882;0;35.601;0;2.7;13:09.533;11:38:09.533;12:08.050;0:25.882;0:35.601;;Edoardo MORTARA;0:11:44.646;;A;Venturi Formula E Team;;
48;1;2;1:23.383;0;;27.212;0;23.520;0;32.651;0;107.7;14:32.916;11:39:32.916;0:27.212;0:23.520;0:32.651;;Edoardo MORTARA;;;A;Venturi Formula E Team;;
48;1;3;1:20.330;2;;25.998;2;22.828;2;31.504;2;111.8;15:53.246;11:40:53.246;0:25.998;0:22.828;0:31.504;;Edoardo MORTARA;;;A;Venturi Formula E Team;;
64;1;1;12:23.229;0;;11:24.623;0;25.099;0;33.507;0;2.9;12:23.229;11:37:23.229;11:24.623;0:25.099;0:33.507;;Jérôme D'AMBROSIO;0:11:01.965;;A;MAHINDRA RACING;;
64;1;2;1:22.543;0;;26.527;0;23.239;0;32.777;0;108.8;13:45.772;11:38:45.772;0:26.527;0:23.239;0:32.777;;Jérôme D'AMBROSIO;;;A;MAHINDRA RACING;;
64;1;3;1:19.077;2;;25.490;2;22.165;2;31.422;2;113.5;15:04.849;11:40:04.849;0:25.490;0:22.165;0:31.422;;Jérôme D'AMBROSIO;;;A;MAHINDRA RACING;;
66;1;1;12:35.336;0;;11:30.080;0;26.787;0;38.469;0;2.8;12:35.336;11:37:35.336;11:30.080;0:26.787;0:38.469;;Daniel ABT;0:11:07.177;;A;Audi Sport Abt Schaeffler Formula E Team;;
66;1;2;1:21.796;0;;26.848;0;23.300;0;31.648;2;109.8;13:57.132;11:38:57.132;0:26.848;0:23.300;0:31.648;;Daniel ABT;;;A;Audi Sport Abt Schaeffler Formula E Team;;
66;1;3;1:20.385;2;;25.933;2;22.693;2;31.759;0;111.7;15:17.517;11:40:17.517;0:25.933;0:22.693;0:31.759;;Daniel ABT;;;A;Audi Sport Abt Schaeffler Formula E Team;;
7;1;1;10:43.047;0;;9:42.598;0;26.715;0;33.734;0;3.3;10:43.047;11:35:43.047;9:42.598;0:26.715;0:33.734;;José Maria LOPEZ;0:09:18.132;;A;GEOX DRAGON;;
7;1;2;1:20.661;0;;25.938;0;22.668;0;32.055;0;111.3;12:03.708;11:37:03.708;0:25.938;0:22.668;0:32.055;;José Maria LOPEZ;;;A;GEOX DRAGON;;
7;1;3;1:18.113;2;;25.261;2;21.912;2;30.940;2;114.9;13:21.821;11:38:21.821;0:25.261;0:21.912;0:30.940;;José Maria LOPEZ;;;A;GEOX DRAGON;;
7;1;4;2:22.803;0;B;31.305;0;25.559;0;1:25.939;0;62.9;15:44.624;11:40:44.624;0:31.305;0:25.559;1:25.939;;José Maria LOPEZ;;;A;GEOX DRAGON;;
8;1;1;2:17.792;0;;1:14.167;0;27.746;0;35.879;0;15.5;2:17.792;11:27:17.792;1:14.167;0:27.746;0:35.879;;Tom DILLMANN;0:00:48.992;;A;NIO Formula E Team;;
8;1;2;1:20.857;0;;25.940;0;22.481;0;32.436;0;111.0;3:38.649;11:28:38.649;0:25.940;0:22.481;0:32.436;;Tom DILLMANN;;;A;NIO Formula E Team;;
8;1;3;1:19.688;0;;25.709;0;22.179;0;31.800;0;112.7;4:58.337;11:29:58.337;0:25.709;0:22.179;0:31.800;;Tom DILLMANN;;;A;NIO Formula E Team;;
8;1;4;1:19.179;0;;25.396;0;22.093;0;31.690;0;113.4;6:17.516;11:31:17.516;0:25.396;0:22.093;0:31.690;;Tom DILLMANN;;;A;NIO Formula E Team;;
8;1;5;1:18.797;0;;25.298;0;21.949;0;31.550;0;113.9;7:36.313;11:32:36.313;0:25.298;0:21.949;0:31.550;;Tom DILLMANN;;;A;NIO Formula E Team;;
8;1;6;1:18.633;0;;25.127;0;21.860;0;31.646;0;114.2;8:54.946;11:33:54.946;0:25.127;0:21.860;0:31.646;;Tom DILLMANN;;;A;NIO Formula E Team;;
8;1;7;1:19.891;0;;24.961;4;21.957;0;32.973;0;112.4;10:14.837;11:35:14.837;0:24.961;0:21.957;0:32.973;;Tom DILLMANN;;;A;NIO Formula E Team;;
8;1;8;1:17.893;2;;25.247;0;21.813;4;30.833;2;115.3;11:32.730;11:36:32.730;0:25.247;0:21.813;0:30.833;;Tom DILLMANN;;;A;NIO Formula E Team;;
8;1;9;1:52.467;0;B;28.871;0;25.145;0;58.451;0;79.8;13:25.197;11:38:25.197;0:28.871;0:25.145;0:58.451;;Tom DILLMANN;;;A;NIO Formula E Team;;
8;1;10;1:41.470;0;B;;0;;0;;0;88.5;15:06.667;11:40:06.667;;;;;Tom DILLMANN;;;A;NIO Formula E Team;;
