NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
16;1;1;4:40.343;0;;3:34.657;0;27.215;0;38.471;0;7.6;4:40.343;11:54:40.343;3:34.657;0:27.215;0:38.471;;Oliver TURVEY;0:03:09.850;;B;NIO Formula E Team;;
16;1;2;1:22.569;0;;26.576;0;23.135;0;32.858;0;108.7;6:02.912;11:56:02.912;0:26.576;0:23.135;0:32.858;;Oliver TURVEY;;;B;NIO Formula E Team;;
16;1;3;1:19.912;2;;25.636;2;22.279;2;31.997;2;112.4;7:22.824;11:57:22.824;0:25.636;0:22.279;0:31.997;;Oliver TURVEY;;;B;NIO Formula E Team;;
16;1;4;8:41.200;0;B;28.622;0;25.276;0;7:47.302;0;17.2;16:04.024;12:06:04.024;0:28.622;0:25.276;7:47.302;;Oliver TURVEY;;;B;NIO Formula E Team;;
17;1;1;3:46.872;0;;2:44.373;0;26.894;0;35.605;0;9.4;3:46.872;11:53:46.872;2:44.373;0:26.894;0:35.605;;Gary PAFFETT;0:02:21.424;;B;HWA RACELAB;;
17;1;2;1:21.954;0;;26.493;0;23.043;0;32.418;0;109.6;5:08.826;11:55:08.826;0:26.493;0:23.043;0:32.418;;Gary PAFFETT;;;B;HWA RACELAB;;
17;1;3;1:19.929;2;;25.613;2;22.857;2;31.459;2;112.3;6:28.755;11:56:28.755;0:25.613;0:22.857;0:31.459;;Gary PAFFETT;;;B;HWA RACELAB;;
17;1;4;3:42.745;0;B;27.089;0;24.762;0;2:50.894;0;40.3;10:11.500;12:00:11.500;0:27.089;0:24.762;2:50.894;;Gary PAFFETT;;;B;HWA RACELAB;;
19;1;1;14:35.463;0;B;11:41.051;0;52.413;0;2:01.999;0;2.4;14:35.463;12:04:35.463;11:41.051;0:52.413;2:01.999;;Felipe MASSA;0:11:07.701;;B;Venturi Formula E Team;;
19;1;2;9:09.728;0;;7:57.071;0;31.145;0;41.512;0;16.3;23:45.190;12:13:45.191;7:57.071;0:31.145;0:41.512;;Felipe MASSA;0:08:27.550;;B;Venturi Formula E Team;;
19;1;3;1:22.315;0;;26.320;0;23.580;0;32.415;0;109.1;25:07.505;12:15:07.506;0:26.320;0:23.580;0:32.415;;Felipe MASSA;;;B;Venturi Formula E Team;;
19;1;4;1:20.407;2;;25.983;2;22.593;2;31.831;2;111.7;26:27.912;12:16:27.913;0:25.983;0:22.593;0:31.831;;Felipe MASSA;;;B;Venturi Formula E Team;;
20;1;1;14:33.312;0;B;11:37.229;0;49.825;0;2:06.258;0;2.5;14:33.312;12:04:33.312;11:37.229;0:49.825;2:06.258;;Mitch EVANS;0:11:01.670;;B;Panasonic Jaguar Racing;;
20;1;2;9:05.147;0;;7:56.225;0;29.596;0;39.326;0;16.5;23:38.458;12:13:38.459;7:56.225;0:29.596;0:39.326;;Mitch EVANS;0:08:29.348;;B;Panasonic Jaguar Racing;;
20;1;3;1:24.183;0;;27.039;0;23.471;0;33.673;0;106.7;25:02.641;12:15:02.642;0:27.039;0:23.471;0:33.673;;Mitch EVANS;;;B;Panasonic Jaguar Racing;;
20;1;4;1:19.712;2;;25.591;2;22.307;2;31.814;2;112.6;26:22.353;12:16:22.354;0:25.591;0:22.307;0:31.814;;Mitch EVANS;;;B;Panasonic Jaguar Racing;;
22;1;1;4:01.694;0;;2:50.882;0;27.702;0;43.110;0;8.9;4:01.694;11:54:01.694;2:50.882;0:27.702;0:43.110;;Oliver ROWLAND;0:02:23.121;;B;Nissan e.dams;;
22;1;2;1:20.849;0;;26.131;2;22.383;0;32.335;0;111.1;5:22.543;11:55:22.543;0:26.131;0:22.383;0:32.335;;Oliver ROWLAND;;;B;Nissan e.dams;;
22;1;3;1:19.755;2;;26.206;0;22.144;2;31.405;2;112.6;6:42.298;11:56:42.298;0:26.206;0:22.144;0:31.405;;Oliver ROWLAND;;;B;Nissan e.dams;;
22;1;4;5:34.683;0;B;27.993;0;23.532;0;4:43.158;0;26.8;12:16.981;12:02:16.981;0:27.993;0:23.532;4:43.158;;Oliver ROWLAND;;;B;Nissan e.dams;;
27;1;1;14:29.048;0;B;11:15.154;0;40.448;0;2:33.446;0;2.5;14:29.048;12:04:29.048;11:15.154;0:40.448;2:33.446;;Alexander SIMS;0:10:48.869;;B;BMW i ANDRETTI MOTORSPORT;;
27;1;2;8:44.468;0;;7:45.162;0;25.514;0;33.792;0;17.1;23:13.515;12:13:13.516;7:45.162;0:25.514;0:33.792;;Alexander SIMS;0:08:50.171;;B;BMW i ANDRETTI MOTORSPORT;;
27;1;3;1:24.281;0;;25.970;0;23.082;0;35.229;0;106.5;24:37.796;12:14:37.797;0:25.970;0:23.082;0:35.229;;Alexander SIMS;;;B;BMW i ANDRETTI MOTORSPORT;;
27;1;4;1:20.367;2;;25.958;2;22.342;2;32.067;2;111.7;25:58.163;12:15:58.164;0:25.958;0:22.342;0:32.067;;Alexander SIMS;;;B;BMW i ANDRETTI MOTORSPORT;;
3;1;1;14:30.327;0;B;10:40.209;0;30.817;0;3:19.301;0;2.5;14:30.327;12:04:30.327;10:40.209;0:30.817;3:19.301;;Nelson PIQUET;0:10:14.131;;B;Panasonic Jaguar Racing;;
3;1;2;9:17.498;0;;8:05.460;0;31.759;0;40.279;0;16.1;23:47.824;12:13:47.825;8:05.460;0:31.759;0:40.279;;Nelson PIQUET;0:10:00.686;;B;Panasonic Jaguar Racing;;
3;1;3;1:21.489;2;;26.428;0;23.211;0;31.850;2;110.2;25:09.313;12:15:09.314;0:26.428;0:23.211;0:31.850;;Nelson PIQUET;;;B;Panasonic Jaguar Racing;;
3;1;4;1:21.713;0;;26.203;2;23.117;2;32.393;0;109.9;26:31.026;12:16:31.027;0:26.203;0:23.117;0:32.393;;Nelson PIQUET;;;B;Panasonic Jaguar Racing;;
36;1;1;8:56.960;0;;8:00.052;0;23.651;0;33.257;0;4.0;8:56.960;11:58:56.960;8:00.052;0:23.651;0:33.257;;André LOTTERER;0:07:38.804;;B;DS TECHEETAH;;
36;1;2;1:22.808;0;;26.734;0;23.118;0;32.956;0;108.4;10:19.768;12:00:19.768;0:26.734;0:23.118;0:32.956;;André LOTTERER;;;B;DS TECHEETAH;;
36;1;3;4:40.283;0;B;25.654;0;21.830;3;3:52.799;0;32.0;15:00.051;12:05:00.051;0:25.654;0:21.830;3:52.799;;André LOTTERER;;;B;DS TECHEETAH;;
36;1;4;8:34.992;0;;7:19.320;0;36.564;0;39.108;0;17.4;23:35.042;12:13:35.043;7:19.320;0:36.564;0:39.108;;André LOTTERER;0:10:10.113;;B;DS TECHEETAH;;
36;1;5;1:19.317;2;;25.469;2;21.954;0;31.894;2;113.2;24:54.359;12:14:54.360;0:25.469;0:21.954;0:31.894;;André LOTTERER;;;B;DS TECHEETAH;;
36;1;6;1:45.989;0;B;27.785;0;24.709;0;53.495;0;84.7;26:40.348;12:16:40.349;0:27.785;0:24.709;0:53.495;;André LOTTERER;;;B;DS TECHEETAH;;
5;1;1;7:12.516;0;;6:14.209;0;24.488;0;33.819;0;5.0;7:12.516;11:57:12.516;6:14.209;0:24.488;0:33.819;;Stoffel VANDOORNE;0:05:50.679;;B;HWA RACELAB;;
5;1;2;1:19.640;0;;25.742;0;22.365;0;31.533;0;112.7;8:32.156;11:58:32.156;0:25.742;0:22.365;0:31.533;;Stoffel VANDOORNE;;;B;HWA RACELAB;;
5;1;3;1:18.490;3;;25.130;3;22.030;2;31.330;3;114.4;9:50.646;11:59:50.646;0:25.130;0:22.030;0:31.330;;Stoffel VANDOORNE;;;B;HWA RACELAB;;
5;1;4;7:59.619;0;B;32.906;0;25.344;0;7:01.369;0;18.7;17:50.265;12:07:50.265;0:32.906;0:25.344;7:01.369;;Stoffel VANDOORNE;;;B;HWA RACELAB;;
6;1;1;9:06.830;0;;8:06.375;0;25.650;0;34.805;0;3.9;9:06.830;11:59:06.830;8:06.375;0:25.650;0:34.805;;Maximilian GÜNTHER;0:07:41.791;;B;GEOX DRAGON;;
6;1;2;1:21.883;2;;25.863;2;23.038;2;32.982;2;109.6;10:28.713;12:00:28.713;0:25.863;0:23.038;0:32.982;;Maximilian GÜNTHER;;;B;GEOX DRAGON;;
94;1;1;23:10.721;0;;22:11.857;0;25.286;0;33.578;0;1.5;23:10.720;12:13:10.721;22:11.857;0:25.286;0:33.578;;Felix ROSENQVIST;0:21:47.201;;B;MAHINDRA RACING;;
94;1;2;1:23.037;2;;26.645;0;23.247;0;33.145;2;108.1;24:33.757;12:14:33.758;0:26.645;0:23.247;0:33.145;;Felix ROSENQVIST;;;B;MAHINDRA RACING;;
