POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;ECM ForixTeamId;*Extra 8;*Extra 9;*Extra 10;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_ECM ForixDriverId;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;28;Classified;33;46:29.377;-;-;31;1:13.265;122.5;BMW i ANDRETTI MOTORSPORT;;;;BMW iFE.18;MICHELIN;;;;;;;2018020128;;;;Antonio Felix;DA COSTA;;PRT;PRT;DAC;3177;;1991083100;;;
2;25;Classified;33;46:29.839;+0.462;+0.462;32;1:12.750;123.4;DS TECHEETAH;;;;DS E-TENSE FE19;MICHELIN;;;;;;;2018020118;;;;Jean-Eric;VERGNE;;FRA;FRA;JEV;1086;;1990042500;;;
3;64;Classified;33;46:33.410;+4.033;+3.571;33;1:13.830;121.6;MAHINDRA RACING;;;;Mahindra M5Electro;MICHELIN;;;;;;;1985122700;;;;Jérôme;D'AMBROSIO;;BEL;BEL;DAM;1084;;1985122700;;;
4;20;Classified;33;46:34.760;+5.383;+1.350;32;1:13.427;122.3;Panasonic Jaguar Racing;;;;Jaguar I-Type III;MICHELIN;;;;;;;2016020101;;;;Mitch;EVANS;;NZL;NZL;EVA;8007;;1990015617;;;
5;36;Classified;33;46:34.956;+5.579;+0.196;32;1:12.591;123.7;DS TECHEETAH;;;;DS E-TENSE FE19;MICHELIN;;;;;;;2018020118;;;;André;LOTTERER;;DEU;DEU;LOT;8013;;1981111900;;;
6;23;Classified;33;46:36.002;+6.625;+1.046;33;1:13.397;122.3;Nissan e.dams;;;;Nissan IM01;MICHELIN;;;;;;;2018020109;;;;Sébastien;BUEMI;;CHE;CHE;BUE;1090;;1988103100;;;
7;22;Classified;33;46:38.482;+9.105;+2.480;33;1:14.026;121.3;Nissan e.dams;;;;Nissan IM01;MICHELIN;;;;;;;2018020109;;;;Oliver;ROWLAND;;GBR;GBR;ROW;;;1992081000;;;
8;66;Classified;33;46:39.196;+9.819;+0.714;32;1:14.301;120.8;Audi Sport Abt Schaeffler Formula E Team;;;;Audi e-tron FE05;MICHELIN;;;;;;;2017908101;;;;Daniel;ABT;;DEU;DEU;ABT;1080;;1990015408;;;
9;11;Classified;33;46:40.313;+10.936;+1.117;22;1:13.914;121.5;Audi Sport Abt Schaeffler Formula E Team;;;;Audi e-tron FE05;MICHELIN;;;;;;;2017908101;;;;Lucas;DI GRASSI;;BRA;BRA;DIG;1098;;1984081100;;;
10;3;Classified;33;46:40.941;+11.564;+0.628;33;1:14.803;120.0;Panasonic Jaguar Racing;;;;Jaguar I-Type III;MICHELIN;;;;;;;2016020101;;;;Nelson;PIQUET;;BRA;BRA;PIQ;9069;;1985072500;;;
11;2;Classified;33;46:41.124;+11.747;+0.183;23;1:14.307;120.8;Envision Virgin Racing;;;;Audi e-tron FE05;MICHELIN;;;;;;;2018020102;;;;Sam;BIRD;;GBR;GBR;BIR;1087;;1987010900;;;
12;4;Classified;33;46:41.566;+12.189;+0.442;24;1:13.735;121.8;Envision Virgin Racing;;;;Audi e-tron FE05;MICHELIN;;;;;;;2018020102;;;;Robin;FRIJNS;;NLD;NLD;FRI;;;1991080701;;;
13;16;Classified;33;46:42.481;+13.104;+0.915;32;1:14.343;120.8;NIO Formula E Team;;;;NIO Sport 004;MICHELIN;;;;;;;2017908102;;;;Oliver;TURVEY;;GBR;GBR;TUR;9092;;1987040100;;;
14;8;Classified;33;46:43.650;+14.273;+1.169;33;1:13.205;122.6;NIO Formula E Team;;;;NIO Sport 004;MICHELIN;;;;;;;2017908102;;;;Tom;DILLMANN;;FRA;FRA;DIL;8009;;1989040601;;;
15;6;Classified;33;46:45.538;+16.161;+1.888;32;1:14.018;121.3;GEOX DRAGON;;;;Penske EV-3;MICHELIN;;;;;;;2011110301;;;;Maximilian;GÜNTHER;;DEU;DEU;GUN;;;;;;
16;5;Classified;33;46:49.390;+20.013;+3.852;33;1:14.850;120.0;HWA RACELAB;;;;Venturi VFE05;MICHELIN;;;;;;;2018020105;;;;Stoffel;VANDOORNE;;BEL;BEL;VAN;;;1992032600;;;
17;19;Classified;33;47:12.987;+43.610;+23.597;31;1:13.950;121.4;Venturi Formula E Team;;;;Venturi VFE05;MICHELIN;;;;;;;2014020109;;;;Felipe;MASSA;;BRA;BRA;MAS;;;1981042500;;;
18;27;Classified;33;47:17.089;+47.712;+4.102;22;1:13.604;122.0;BMW i ANDRETTI MOTORSPORT;;;;BMW iFE.18;MICHELIN;;;;;;;2018020128;;;;Alexander;SIMS;;GBR;GBR;SIM;;;1989062202;;;
19;48;Classified;32;47:03.922;1 Lap;1 Lap;13;1:14.547;120.4;Venturi Formula E Team;;;;Venturi VFE05;MICHELIN;;;;;;;2014020109;;;;Edoardo;MORTARA;;CHE;CHE;MOR;8014;;1988010183;;;
;7;Not classified;25;32:19.405;;;22;1:14.306;120.8;GEOX DRAGON;;;;Penske EV-3;MICHELIN;;;;;;;2011110301;;;;José Maria;LOPEZ;;ARG;ARG;LOP;8004;;1983042600;;;
;17;Not classified;9;12:19.479;;;7;1:16.654;117.1;HWA RACELAB;;;;Venturi VFE05;MICHELIN;;;;;;;2018020105;;;;Gary;PAFFETT;;GBR;GBR;PAF;;;1981032400;;;
;94;Not classified;8;11:01.072;;;7;1:16.113;118.0;MAHINDRA RACING;;;;Mahindra M5Electro;MICHELIN;;;;;;;2011806107;;;;Felix;ROSENQVIST;;SWE;SWE;FRO;8005;;1990015169;;;
