NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;1;0;30.717;0;;;0;;0;;0;69.7;30.717;15:07:21.924;;;;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;1;1:24.574;0;;28.585;0;23.719;0;32.270;0;106.2;1:55.291;15:08:46.498;0:28.585;0:23.719;0:32.270;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;2;1:20.296;0;;26.005;0;22.667;0;31.624;0;111.8;3:15.587;15:10:06.794;0:26.005;0:22.667;0:31.624;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;3;1:19.497;0;;25.327;0;22.757;0;31.413;0;112.9;4:35.084;15:11:26.291;0:25.327;0:22.757;0:31.413;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;4;1:18.586;0;;25.255;0;22.201;0;31.130;0;114.2;5:53.670;15:12:44.877;0:25.255;0:22.201;0:31.130;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;5;1:18.130;0;;25.032;0;21.923;0;31.175;0;114.9;7:11.800;15:14:03.007;0:25.032;0:21.923;0:31.175;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;6;1:17.302;0;;24.853;0;21.798;0;30.651;0;116.1;8:29.102;15:15:20.309;0:24.853;0:21.798;0:30.651;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;7;1:16.737;0;;24.679;0;21.605;0;30.453;0;117.0;9:45.839;15:16:37.046;0:24.679;0:21.605;0:30.453;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;8;1:17.115;0;;24.742;0;21.655;0;30.718;0;116.4;11:02.954;15:17:54.161;0:24.742;0:21.655;0:30.718;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;9;1:17.171;0;;24.875;0;21.756;0;30.540;0;116.3;12:20.125;15:19:11.332;0:24.875;0:21.756;0:30.540;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;10;1:17.723;0;;24.633;0;22.674;0;30.416;0;115.5;13:37.848;15:20:29.055;0:24.633;0:22.674;0:30.416;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;11;1:17.421;0;;24.626;0;22.353;0;30.442;0;116.0;14:55.269;15:21:46.476;0:24.626;0:22.353;0:30.442;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;12;1:16.732;0;;24.712;0;21.758;0;30.262;0;117.0;16:12.001;15:23:03.208;0:24.712;0:21.758;0:30.262;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;13;1:15.737;0;;24.343;0;21.421;0;29.973;0;118.5;17:27.738;15:24:18.945;0:24.343;0:21.421;0:29.973;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
