NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;1;1;1:38.776;0;;37.730;0;40.439;0;20.607;0;104.6;1:38.776;10:16:38.776;0:37.730;0:40.439;0:20.607;;Lucas DI GRASSI;0:00:09.325;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;2;1:50.514;0;B;30.219;0;46.463;0;33.832;0;96.8;3:29.290;10:18:29.290;0:30.219;0:46.463;0:33.832;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;3;9:43.425;0;;8:50.099;0;36.263;0;17.063;0;18.3;13:12.715;10:28:12.715;8:50.099;0:36.263;0:17.063;;Lucas DI GRASSI;0:08:26.022;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;4;1:20.257;2;;28.311;2;35.085;2;16.861;2;133.3;14:32.972;10:29:32.972;0:28.311;0:35.085;0:16.861;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;5;2:10.614;0;B;38.908;0;58.885;0;32.821;0;81.9;16:43.586;10:31:43.586;0:38.908;0:58.885;0:32.821;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
16;1;1;4:33.878;0;;3:29.175;0;41.667;0;23.036;0;37.7;4:33.878;10:19:33.878;3:29.175;0:41.667;0:23.036;;Oliver TURVEY;0:02:59.538;;;NIO Formula E Team;;
16;1;2;1:21.354;0;;28.829;0;35.434;0;17.091;0;131.5;5:55.232;10:20:55.232;0:28.829;0:35.434;0:17.091;;Oliver TURVEY;;;;NIO Formula E Team;;
16;1;3;1:21.283;0;;28.355;0;35.736;0;17.192;0;131.6;7:16.515;10:22:16.515;0:28.355;0:35.736;0:17.192;;Oliver TURVEY;;;;NIO Formula E Team;;
16;1;4;1:24.628;0;;28.366;0;35.342;0;20.920;0;126.4;8:41.143;10:23:41.143;0:28.366;0:35.342;0:20.920;;Oliver TURVEY;;;;NIO Formula E Team;;
16;1;5;1:20.857;0;;28.499;0;35.305;0;17.053;0;132.3;10:02.000;10:25:02.000;0:28.499;0:35.305;0:17.053;;Oliver TURVEY;;;;NIO Formula E Team;;
16;1;6;1:38.914;0;B;31.698;0;41.750;0;25.466;0;108.1;11:40.914;10:26:40.914;0:31.698;0:41.750;0:25.466;;Oliver TURVEY;;;;NIO Formula E Team;;
16;1;7;5:05.667;0;;4:04.751;0;40.011;0;20.905;0;35.0;16:46.581;10:31:46.581;4:04.751;0:40.011;0:20.905;;Oliver TURVEY;0:03:37.968;;;NIO Formula E Team;;
16;1;8;1:25.571;0;;31.678;0;36.807;0;17.086;0;125.0;18:12.152;10:33:12.152;0:31.678;0:36.807;0:17.086;;Oliver TURVEY;;;;NIO Formula E Team;;
16;1;9;1:19.022;0;;27.813;0;34.609;0;16.600;0;135.3;19:31.174;10:34:31.174;0:27.813;0:34.609;0:16.600;;Oliver TURVEY;;;;NIO Formula E Team;;
16;1;10;1:19.603;0;;27.940;0;35.010;0;16.653;0;134.4;20:50.777;10:35:50.777;0:27.940;0:35.010;0:16.653;;Oliver TURVEY;;;;NIO Formula E Team;;
16;1;11;1:44.461;0;B;33.624;0;43.106;0;27.731;0;102.4;22:35.238;10:37:35.238;0:33.624;0:43.106;0:27.731;;Oliver TURVEY;;;;NIO Formula E Team;;
16;1;12;4:17.415;0;;3:18.771;0;39.396;0;19.248;0;41.6;26:52.653;10:41:52.653;3:18.771;0:39.396;0:19.248;;Oliver TURVEY;0:02:52.493;;;NIO Formula E Team;;
16;1;13;1:27.312;0;;31.646;0;38.103;0;17.563;0;122.5;28:19.965;10:43:19.965;0:31.646;0:38.103;0:17.563;;Oliver TURVEY;;;;NIO Formula E Team;;
16;1;14;1:17.894;2;;27.440;2;34.109;2;16.345;2;137.3;29:37.859;10:44:37.859;0:27.440;0:34.109;0:16.345;;Oliver TURVEY;;;;NIO Formula E Team;;
16;1;15;1:28.185;0;;31.084;0;39.472;0;17.629;0;121.3;31:06.044;10:46:06.044;0:31.084;0:39.472;0:17.629;;Oliver TURVEY;;;;NIO Formula E Team;;
17;1;1;2:48.885;0;;1:42.977;0;45.159;0;20.749;0;61.2;2:48.885;10:17:48.885;1:42.977;0:45.159;0:20.749;;Gary PAFFETT;0:01:12.849;;;HWA RACELAB;;
17;1;2;1:30.226;0;;34.106;0;38.642;0;17.478;0;118.5;4:19.111;10:19:19.111;0:34.106;0:38.642;0:17.478;;Gary PAFFETT;;;;HWA RACELAB;;
17;1;3;1:19.788;0;;28.027;0;34.860;0;16.901;0;134.1;5:38.899;10:20:38.899;0:28.027;0:34.860;0:16.901;;Gary PAFFETT;;;;HWA RACELAB;;
