POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;ECM ForixTeamId;*Extra 8;*Extra 9;*Extra 10;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_ECM ForixDriverId;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;64;Classified;31;46:45.884;-;-;25;1:22.366;129.9;MAHINDRA RACING;;;;Mahindra M5Electro;MICHELIN;;;;;;;1985122700;;;;Jérôme;D'AMBROSIO;;BEL;BEL;DAM;1084;;1985122700;;;
2;4;Classified;31;46:46.027;+0.143;+0.143;20;1:22.247;130.0;Envision Virgin Racing;;;;Audi e-tron FE05;MICHELIN;;;;;;;2018020102;;;;Robin;FRIJNS;;NLD;NLD;FRI;;;1991080701;;;
3;2;Classified;31;46:46.345;+0.461;+0.318;31;1:22.101;130.3;Envision Virgin Racing;;;;Audi e-tron FE05;MICHELIN;;;;;;;2018020102;;;;Sam;BIRD;;GBR;GBR;BIR;1087;;1987010900;;;
4;27;Classified;31;46:46.624;+0.740;+0.279;20;1:21.992;130.4;BMW i ANDRETTI MOTORSPORT;;;;BMW iFE.18;MICHELIN;;;;;;;2018020128;;;;Alexander;SIMS;;GBR;GBR;SIM;;;1989062202;;;
5;25;Classified;31;46:47.116;+1.232;+0.492;18;1:21.391;131.4;DS TECHEETAH;;;;DS E-TENSE FE19;MICHELIN;;;;;;;2018020118;;;;Jean-Eric;VERGNE;;FRA;FRA;JEV;1086;;1990042500;;;
6;36;Classified;31;46:47.341;+1.457;+0.225;31;1:21.177;131.8;DS TECHEETAH;;;;DS E-TENSE FE19;MICHELIN;;;;;;;2018020118;;;;André;LOTTERER;;DEU;DEU;LOT;8013;;1981111900;;;
7;11;Classified;31;46:47.517;+1.633;+0.176;31;1:20.296;133.2;Audi Sport Abt Schaeffler Formula E Team;;;;Audi e-tron FE05;MICHELIN;;;;;;;2017908101;;;;Lucas;DI GRASSI;;BRA;BRA;DIG;1098;;1984081100;;;
8;23;Classified;31;46:48.339;+2.455;+0.822;31;1:20.538;132.8;Nissan e.dams;;;;Nissan IM01;MICHELIN;;;;;;;2018020109;;;;Sébastien;BUEMI;;CHE;CHE;BUE;1090;;1988103100;;;
9;20;Classified;31;46:48.864;+2.980;+0.525;31;1:20.594;132.7;Panasonic Jaguar Racing;;;;Jaguar I-Type III;MICHELIN;;;;;;;2016020101;;;;Mitch;EVANS;;NZL;NZL;EVA;8007;;1990015617;;;
10;66;Classified;31;46:49.898;+4.014;+1.034;31;1:21.118;131.9;Audi Sport Abt Schaeffler Formula E Team;;;;Audi e-tron FE05;MICHELIN;;;;;;;2017908101;;;;Daniel;ABT;;DEU;DEU;ABT;1080;;1990015408;;;
11;7;Classified;31;46:50.412;+4.528;+0.514;31;1:21.163;131.8;GEOX DRAGON;;;;Penske EV-3;MICHELIN;;;;;;;2011110301;;;;José Maria;LOPEZ;;ARG;ARG;LOP;8004;;1983042600;;;
12;6;Classified;31;46:51.918;+6.034;+1.506;31;1:21.691;130.9;GEOX DRAGON;;;;Penske EV-3;MICHELIN;;;;;;;2011110301;;;;Maximilian;GÜNTHER;;DEU;DEU;GUN;;;1997070200 ;;;
13;48;Classified;31;46:52.674;+6.790;+0.756;31;1:21.849;130.7;Venturi Formula E Team;;;;Venturi VFE05;MICHELIN;;;;;;;2014020109;;;;Edoardo;MORTARA;;CHE;CHE;MOR;8014;;1988010183;;;
