NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;1;1;2:12.099;0;;1:20.706;0;32.160;0;19.233;0;53.8;2:12.099;10:02:12.099;1:20.706;0:32.160;0:19.233;;Lucas DI GRASSI;0:01:10.480;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;2;1:00.353;0;;13.964;0;27.795;0;18.594;0;124.8;3:12.452;10:03:12.452;0:13.964;0:27.795;0:18.594;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;3;1:02.622;0;;15.596;0;28.051;0;18.975;0;120.3;4:15.074;10:04:15.074;0:15.596;0:28.051;0:18.975;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;4;1:06.411;0;B;14.328;0;28.298;0;23.785;0;113.5;5:21.485;10:05:21.485;0:14.328;0:28.298;0:23.785;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;5;3:50.613;0;;2:59.856;0;30.574;0;20.183;0;32.7;9:12.098;10:09:12.098;2:59.856;0:30.574;0:20.183;;Lucas DI GRASSI;0:02:53.344;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;6;1:00.391;0;;14.042;0;27.645;0;18.704;0;124.8;10:12.489;10:10:12.489;0:14.042;0:27.645;0:18.704;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;7;1:16.807;0;;17.132;0;38.064;0;21.611;0;98.1;11:29.296;10:11:29.296;0:17.132;0:38.064;0:21.611;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;8;1:00.576;0;;14.093;0;27.728;0;18.755;0;124.4;12:29.872;10:12:29.872;0:14.093;0:27.728;0:18.755;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;9;1:15.005;0;;17.913;0;34.092;0;23.000;0;100.5;13:44.877;10:13:44.877;0:17.913;0:34.092;0:23.000;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;10;1:21.926;0;;18.887;0;35.986;0;27.053;0;92.0;15:06.803;10:15:06.803;0:18.887;0:35.986;0:27.053;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;11;1:00.696;0;;14.151;0;27.839;0;18.706;0;124.1;16:07.499;10:16:07.499;0:14.151;0:27.839;0:18.706;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;12;1:09.402;0;B;14.727;0;30.115;0;24.560;0;108.6;17:16.901;10:17:16.901;0:14.727;0:30.115;0:24.560;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;13;8:43.614;0;;7:48.995;0;32.771;0;21.848;0;14.4;26:00.515;10:26:00.515;7:48.995;0:32.771;0:21.848;;Lucas DI GRASSI;0:07:40.672;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;14;59.506;2;;13.572;2;27.504;2;18.430;2;126.6;27:00.021;10:27:00.021;0:13.572;0:27.504;0:18.430;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;15;1:02.781;0;;14.958;0;29.057;0;18.766;0;120.0;28:02.802;10:28:02.802;0:14.958;0:29.057;0:18.766;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;16;1:01.857;0;;14.643;0;28.335;0;18.879;0;121.8;29:04.659;10:29:04.659;0:14.643;0:28.335;0:18.879;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;17;1:01.285;0;;14.199;0;28.172;0;18.914;0;122.9;30:05.944;10:30:05.944;0:14.199;0:28.172;0:18.914;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
16;1;1;2:04.887;0;;1:06.657;0;35.642;0;22.588;0;56.9;2:04.887;10:02:04.887;1:06.657;0:35.642;0:22.588;;Oliver TURVEY;0:00:54.786;;;NIO Formula E Team;;
16;1;2;1:16.146;0;;16.967;0;35.301;0;23.878;0;99.0;3:21.033;10:03:21.033;0:16.967;0:35.301;0:23.878;;Oliver TURVEY;;;;NIO Formula E Team;;
