NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;1;1;3:24.355;0;;2:31.452;0;32.159;0;20.744;0;34.8;3:24.355;12:08:24.355;2:31.452;0:32.159;0:20.744;;Lucas DI GRASSI;0:02:20.147;;3;Audi Sport Abt Schaeffler Formula E Team;;
11;1;2;1:06.700;0;;15.354;0;29.730;0;21.616;0;113.0;4:31.055;12:09:31.055;0:15.354;0:29.730;0:21.616;;Lucas DI GRASSI;;;3;Audi Sport Abt Schaeffler Formula E Team;;
11;1;3;59.739;2;;13.666;2;27.650;2;18.423;2;126.1;5:30.794;12:10:30.794;0:13.666;0:27.650;0:18.423;;Lucas DI GRASSI;;;3;Audi Sport Abt Schaeffler Formula E Team;;
16;1;1;2:52.749;0;;1:56.315;0;34.644;0;21.790;0;41.2;2:52.749;12:07:52.749;1:56.315;0:34.644;0:21.790;;Oliver TURVEY;0:01:44.637;;3;NIO Formula E Team;;
16;1;2;1:12.728;0;;18.338;0;33.150;0;21.240;0;103.6;4:05.477;12:09:05.477;0:18.338;0:33.150;0:21.240;;Oliver TURVEY;;;3;NIO Formula E Team;;
16;1;3;59.936;2;;13.775;2;27.803;2;18.358;2;125.7;5:05.413;12:10:05.413;0:13.775;0:27.803;0:18.358;;Oliver TURVEY;;;3;NIO Formula E Team;;
16;1;4;1:30.774;0;B;15.345;0;28.590;0;46.839;0;83.0;6:36.187;12:11:36.187;0:15.345;0:28.590;0:46.839;;Oliver TURVEY;;;3;NIO Formula E Team;;
22;1;1;3:30.144;0;;2:36.087;0;33.119;0;20.938;0;33.8;3:30.144;12:08:30.144;2:36.087;0:33.119;0:20.938;;Oliver ROWLAND;0:02:22.548;;3;Nissan e.dams;;
22;1;2;1:05.992;0;;15.312;0;30.708;0;19.972;0;114.2;4:36.136;12:09:36.136;0:15.312;0:30.708;0:19.972;;Oliver ROWLAND;;;3;Nissan e.dams;;
22;1;3;59.593;4;;13.613;2;27.640;3;18.340;2;126.4;5:35.729;12:10:35.729;0:13.613;0:27.640;0:18.340;;Oliver ROWLAND;;;3;Nissan e.dams;;
23;1;1;4:15.301;0;;3:25.067;0;30.590;0;19.644;0;27.8;4:15.301;12:09:15.301;3:25.067;0:30.590;0:19.644;;Sébastien BUEMI;0:03:10.746;;3;Nissan e.dams;;
23;1;2;1:05.462;0;;15.091;0;31.103;0;19.268;0;115.1;5:20.763;12:10:20.763;0:15.091;0:31.103;0:19.268;;Sébastien BUEMI;;;3;Nissan e.dams;;
23;1;3;59.763;2;;13.720;2;27.673;2;18.370;2;126.1;6:20.526;12:11:20.526;0:13.720;0:27.673;0:18.370;;Sébastien BUEMI;;;3;Nissan e.dams;;
48;1;1;1:27.354;0;;33.488;0;33.369;0;20.497;0;81.4;1:27.354;12:06:27.354;0:33.488;0:33.369;0:20.497;;Edoardo MORTARA;0:00:20.699;;3;Venturi Formula E Team;;
48;1;2;59.935;2;;13.801;2;27.851;2;18.283;3;125.7;2:27.289;12:07:27.289;0:13.801;0:27.851;0:18.283;;Edoardo MORTARA;;;3;Venturi Formula E Team;;
48;1;3;1:05.140;0;;15.071;0;30.389;0;19.680;0;115.7;3:32.429;12:08:32.429;0:15.071;0:30.389;0:19.680;;Edoardo MORTARA;;;3;Venturi Formula E Team;;
48;1;4;1:14.684;0;B;15.042;0;29.876;0;29.766;0;100.9;4:47.113;12:09:47.113;0:15.042;0:29.876;0:29.766;;Edoardo MORTARA;;;3;Venturi Formula E Team;;
7;1;1;2:08.475;0;;1:16.025;0;32.422;0;20.028;0;55.3;2:08.475;12:07:08.475;1:16.025;0:32.422;0:20.028;;José Maria LOPEZ;0:01:05.523;;3;GEOX DRAGON;;
7;1;2;1:00.293;2;;13.575;3;27.832;2;18.886;2;125.0;3:08.768;12:08:08.768;0:13.575;0:27.832;0:18.886;;José Maria LOPEZ;;;3;GEOX DRAGON;;
7;1;3;1:01.869;0;;14.317;0;28.577;0;18.975;0;121.8;4:10.637;12:09:10.637;0:14.317;0:28.577;0:18.975;;José Maria LOPEZ;;;3;GEOX DRAGON;;
7;1;4;1:12.507;0;B;14.352;0;29.020;0;29.135;0;103.9;5:23.144;12:10:23.144;0:14.352;0:29.020;0:29.135;;José Maria LOPEZ;;;3;GEOX DRAGON;;
