NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;1;1;4:53.003;0;;4:01.169;0;31.130;0;20.704;0;24.3;4:53.003;12:34:53.003;4:01.169;0:31.130;0:20.704;;Lucas DI GRASSI;0:03:50.124;;3;Audi Sport Abt Schaeffler Formula E Team;;
11;1;2;59.653;2;;13.641;3;27.715;2;18.297;2;126.3;5:52.656;12:35:52.656;0:13.641;0:27.715;0:18.297;;Lucas DI GRASSI;;;3;Audi Sport Abt Schaeffler Formula E Team;;
11;1;3;1:09.084;0;B;14.970;0;28.890;0;25.224;0;109.1;7:01.740;12:37:01.740;0:14.970;0:28.890;0:25.224;;Lucas DI GRASSI;;;3;Audi Sport Abt Schaeffler Formula E Team;;
19;1;1;6:46.439;0;;5:51.799;0;33.668;0;20.972;0;17.5;6:46.439;12:36:46.439;5:51.799;0:33.668;0:20.972;;Felipe MASSA;0:05:39.647;;4;Venturi Formula E Team;;
19;1;2;59.695;2;;13.653;2;27.679;2;18.363;2;126.2;7:46.134;12:37:46.134;0:13.653;0:27.679;0:18.363;;Felipe MASSA;;;4;Venturi Formula E Team;;
19;1;3;1:17.054;0;B;15.104;0;31.669;0;30.281;0;97.8;9:03.188;12:39:03.188;0:15.104;0:31.669;0:30.281;;Felipe MASSA;;;4;Venturi Formula E Team;;
22;1;1;10:45.527;0;;9:51.649;0;33.409;0;20.469;0;11.0;10:45.527;12:40:45.527;9:51.649;0:33.409;0:20.469;;Oliver ROWLAND;0:09:39.068;;3;Nissan e.dams;;
22;1;2;59.808;2;;13.646;2;27.726;2;18.436;2;126.0;11:45.335;12:41:45.335;0:13.646;0:27.726;0:18.436;;Oliver ROWLAND;;;3;Nissan e.dams;;
23;1;1;2:59.893;0;;2:09.311;0;30.806;0;19.776;0;39.5;2:59.893;12:32:59.893;2:09.311;0:30.806;0:19.776;;Sébastien BUEMI;0:01:57.536;;3;Nissan e.dams;;
23;1;2;59.949;2;;13.691;2;27.890;2;18.368;2;125.7;3:59.842;12:33:59.842;0:13.691;0:27.890;0:18.368;;Sébastien BUEMI;;;3;Nissan e.dams;;
23;1;3;1:13.237;0;B;16.078;0;29.801;0;27.358;0;102.9;5:13.079;12:35:13.079;0:16.078;0:29.801;0:27.358;;Sébastien BUEMI;;;3;Nissan e.dams;;
28;1;1;1:09.868;0;;15.052;0;34.528;0;20.288;0;101.8;1:09.868;12:31:09.868;0:15.052;0:34.528;0:20.288;;Antonio Felix DA COSTA;0:00:02.823;;1;BMW i ANDRETTI MOTORSPORT;;
28;1;2;59.819;2;;13.695;2;27.831;2;18.293;2;126.0;2:09.687;12:32:09.687;0:13.695;0:27.831;0:18.293;;Antonio Felix DA COSTA;;;1;BMW i ANDRETTI MOTORSPORT;;
28;1;3;1:13.878;0;B;14.808;0;29.849;0;29.221;0;102.0;3:23.565;12:33:23.565;0:14.808;0:29.849;0:29.221;;Antonio Felix DA COSTA;;;1;BMW i ANDRETTI MOTORSPORT;;
94;1;1;8:43.466;0;;7:47.752;0;34.862;0;20.852;0;13.6;8:43.466;12:38:43.466;7:47.752;0:34.862;0:20.852;;Pascal WEHRLEIN;0:07:34.236;;2;MAHINDRA RACING;;
94;1;2;59.347;3;;13.669;2;27.601;3;18.077;3;127.0;9:42.813;12:39:42.813;0:13.669;0:27.601;0:18.077;;Pascal WEHRLEIN;;;2;MAHINDRA RACING;;
94;1;3;1:16.029;0;B;16.467;0;28.352;0;31.210;0;99.1;10:58.842;12:40:58.842;0:16.467;0:28.352;0:31.210;;Pascal WEHRLEIN;;;2;MAHINDRA RACING;;
