POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;ECM ForixTeamId;*Extra 8;*Extra 9;*Extra 10;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_ECM ForixDriverId;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;11;Classified;45;1:13:15.422;-;-;9;1:01.277;123.0;Audi Sport Abt Schaeffler Formula E Team;;3;;Audi e-tron FE05;MICHELIN;;;;;;;2017908101;;;;Lucas;DI GRASSI;;BRA;BRA;DIG;1098;;1984081100;;;
2;28;Classified;45;1:13:15.858;+0.436;+0.436;9;1:01.463;122.6;BMW i ANDRETTI MOTORSPORT;;1;;BMW iFE.18;MICHELIN;;;;;;;2018020128;;;;Antonio Felix;DA COSTA;;PRT;PRT;DAC;3177;;1991083100;;;
3;48;Classified;45;1:13:16.167;+0.745;+0.309;9;1:01.441;122.6;Venturi Formula E Team;;3;;Venturi VFE05;MICHELIN;;;;;;;2014020109;;;;Edoardo;MORTARA;;CHE;CHE;MOR;8014;;1988010183;;;
4;64;Classified;45;1:13:16.581;+1.159;+0.414;9;1:01.450;122.6;MAHINDRA RACING;;1;;Mahindra M5Electro;MICHELIN;;;;;;;1985122700;;;;Jérôme;D'AMBROSIO;;BEL;BEL;DAM;1084;;1985122700;;;
5;36;Classified;45;1:13:17.207;+1.785;+0.626;9;1:01.603;122.3;DS TECHEETAH;;2;;DS E-TENSE FE19;MICHELIN;;;;;;;2018020118;;;;André;LOTTERER;;DEU;DEU;LOT;8013;;1981111900;;;
6;94;Classified;45;1:13:20.632;+5.210;+3.425;10;1:01.112;123.3;MAHINDRA RACING;;2;;Mahindra M5Electro;MICHELIN;;;;;;;2011806107;;;;Pascal;WEHRLEIN;;DEU;DEU;WEH;;;1994101800;;;
7;20;Classified;45;1:13:21.222;+5.800;+0.590;9;1:01.397;122.7;Panasonic Jaguar Racing;;2;;Jaguar I-Type III;MICHELIN;;;;;;;2016020101;;;;Mitch;EVANS;;NZL;NZL;EVA;8007;;1990015617;;;
8;19;Classified;45;1:13:23.506;+8.084;+2.284;9;1:01.557;122.4;Venturi Formula E Team;;4;;Venturi VFE05;MICHELIN;;;;;;;2014020109;;;;Felipe;MASSA;;BRA;BRA;MAS;;;1981042500;;;
9;2;Classified;45;1:13:23.778;+8.356;+0.272;9;1:01.522;122.5;Envision Virgin Racing;;1;;Audi e-tron FE05;MICHELIN;;;;;;;2018020102;;;;Sam;BIRD;;GBR;GBR;BIR;1087;;1987010900;;;
10;66;Classified;45;1:13:23.860;+8.438;+0.082;43;1:01.372;122.8;Audi Sport Abt Schaeffler Formula E Team;;2;;Audi e-tron FE05;MICHELIN;;;;;;;2017908101;;;;Daniel;ABT;;DEU;DEU;ABT;1080;;1990015408;;;
