NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;1;1;1:07.972;0;;18.709;0;30.010;0;19.253;0;104.6;1:07.972;16:04:54.695;0:18.709;0:30.010;0:19.253;;Lucas DI GRASSI;;;3;Audi Sport Abt Schaeffler Formula E Team;;
11;1;2;1:02.931;0;;14.946;0;28.805;0;19.180;0;119.7;2:10.903;16:05:57.626;0:14.946;0:28.805;0:19.180;;Lucas DI GRASSI;;;3;Audi Sport Abt Schaeffler Formula E Team;;
11;1;3;1:02.504;0;;14.837;0;28.623;0;19.044;0;120.5;3:13.407;16:07:00.130;0:14.837;0:28.623;0:19.044;;Lucas DI GRASSI;;;3;Audi Sport Abt Schaeffler Formula E Team;;
11;1;4;1:41.405;0;;14.715;0;32.159;0;54.531;0;74.3;4:54.812;16:08:41.535;0:14.715;0:32.159;0:54.531;;Lucas DI GRASSI;;;3;Audi Sport Abt Schaeffler Formula E Team;;
11;1;5;2:59.184;0;B;53.154;0;1:03.387;0;1:02.643;0;42.1;7:53.996;16:11:40.719;0:53.154;1:03.387;1:02.643;;Lucas DI GRASSI;;;3;Audi Sport Abt Schaeffler Formula E Team;;
11;1;6;24:29.001;0;;23:16.896;0;42.964;0;29.141;0;5.1;32:22.997;16:36:09.720;23:16.896;0:42.964;0:29.141;;Lucas DI GRASSI;0:23:10.383;;3;Audi Sport Abt Schaeffler Formula E Team;;
11;1;7;1:24.271;0;;22.742;0;38.608;0;22.921;0;89.4;33:47.268;16:37:33.991;0:22.742;0:38.608;0:22.921;;Lucas DI GRASSI;;;3;Audi Sport Abt Schaeffler Formula E Team;;
11;1;8;1:01.632;0;;14.481;0;28.375;0;18.776;0;122.3;34:48.900;16:38:35.623;0:14.481;0:28.375;0:18.776;;Lucas DI GRASSI;;;3;Audi Sport Abt Schaeffler Formula E Team;;
11;1;9;1:01.277;2;;14.271;0;28.283;0;18.723;2;123.0;35:50.177;16:39:36.900;0:14.271;0:28.283;0:18.723;;Lucas DI GRASSI;;;3;Audi Sport Abt Schaeffler Formula E Team;;
11;1;10;1:01.315;0;;14.215;2;28.237;0;18.863;0;122.9;36:51.492;16:40:38.215;0:14.215;0:28.237;0:18.863;;Lucas DI GRASSI;;;3;Audi Sport Abt Schaeffler Formula E Team;;
11;1;11;1:01.707;0;;14.361;0;28.313;0;19.033;0;122.1;37:53.199;16:41:39.922;0:14.361;0:28.313;0:19.033;;Lucas DI GRASSI;;;3;Audi Sport Abt Schaeffler Formula E Team;;
11;1;12;1:01.818;0;;14.600;0;28.221;2;18.997;0;121.9;38:55.017;16:42:41.740;0:14.600;0:28.221;0:18.997;;Lucas DI GRASSI;;;3;Audi Sport Abt Schaeffler Formula E Team;;
11;1;13;1:02.055;0;;14.475;0;28.438;0;19.142;0;121.4;39:57.072;16:43:43.795;0:14.475;0:28.438;0:19.142;;Lucas DI GRASSI;;;3;Audi Sport Abt Schaeffler Formula E Team;;
11;1;14;1:01.888;0;;14.605;0;28.312;0;18.971;0;121.7;40:58.960;16:44:45.683;0:14.605;0:28.312;0:18.971;;Lucas DI GRASSI;;;3;Audi Sport Abt Schaeffler Formula E Team;;
11;1;15;1:02.102;0;;14.666;0;28.309;0;19.127;0;121.3;42:01.062;16:45:47.785;0:14.666;0:28.309;0:19.127;;Lucas DI GRASSI;;;3;Audi Sport Abt Schaeffler Formula E Team;;
11;1;16;1:01.893;0;;14.550;0;28.323;0;19.020;0;121.7;43:02.955;16:46:49.678;0:14.550;0:28.323;0:19.020;;Lucas DI GRASSI;;;3;Audi Sport Abt Schaeffler Formula E Team;;
11;1;17;1:02.128;0;;14.621;0;28.373;0;19.134;0;121.3;44:05.083;16:47:51.806;0:14.621;0:28.373;0:19.134;;Lucas DI GRASSI;;;3;Audi Sport Abt Schaeffler Formula E Team;;
11;1;18;1:02.035;0;;14.623;0;28.432;0;18.980;0;121.5;45:07.118;16:48:53.841;0:14.623;0:28.432;0:18.980;;Lucas DI GRASSI;;;3;Audi Sport Abt Schaeffler Formula E Team;;
11;1;19;1:02.189;0;;14.663;0;28.502;0;19.024;0;121.2;46:09.307;16:49:56.030;0:14.663;0:28.502;0:19.024;;Lucas DI GRASSI;;;3;Audi Sport Abt Schaeffler Formula E Team;;
11;1;20;1:02.177;0;;14.573;0;28.435;0;19.169;0;121.2;47:11.484;16:50:58.207;0:14.573;0:28.435;0:19.169;;Lucas DI GRASSI;;;3;Audi Sport Abt Schaeffler Formula E Team;;
11;1;21;1:02.084;0;;14.599;0;28.488;0;18.997;0;121.4;48:13.568;16:52:00.291;0:14.599;0:28.488;0:18.997;;Lucas DI GRASSI;;;3;Audi Sport Abt Schaeffler Formula E Team;;
11;1;22;1:02.221;0;;14.529;0;28.613;0;19.079;0;121.1;49:15.789;16:53:02.512;0:14.529;0:28.613;0:19.079;;Lucas DI GRASSI;;;3;Audi Sport Abt Schaeffler Formula E Team;;
