NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;
11;1;1;2:56.376;0;;1:48.373;0;19.104;0;48.899;0;47.9;2:56.376;10:17:56.376;1:48.373;0:19.104;0:48.899;;Lucas DI GRASSI;0:01:19.168;;;Audi Sport Abt Schaeffler Formula E Team;;225;
11;1;2;1:14.211;0;;22.914;0;17.040;0;34.257;0;113.9;4:10.587;10:19:10.587;0:22.914;0:17.040;0:34.257;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;225;
11;1;3;1:24.177;0;B;23.218;0;18.140;0;42.819;0;100.4;5:34.764;10:20:34.764;0:23.218;0:18.140;0:42.819;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;4;4:18.525;0;;3:19.602;0;21.022;0;37.901;0;32.7;9:53.289;10:24:53.289;3:19.602;0:21.022;0:37.901;;Lucas DI GRASSI;0:02:57.998;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;5;1:10.430;0;;22.981;0;17.529;0;29.920;0;120.0;11:03.719;10:26:03.719;0:22.981;0:17.529;0:29.920;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;6;1:39.965;0;;28.280;0;26.788;0;44.897;0;84.6;12:43.684;10:27:43.684;0:28.280;0:26.788;0:44.897;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;7;1:09.736;0;;22.878;0;17.385;0;29.473;0;121.2;13:53.420;10:28:53.420;0:22.878;0:17.385;0:29.473;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;250;
11;1;8;1:38.091;0;;23.448;0;26.992;0;47.651;0;86.2;15:31.511;10:30:31.511;0:23.448;0:26.992;0:47.651;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;9;1:10.110;0;;22.986;0;17.458;0;29.666;0;120.6;16:41.621;10:31:41.621;0:22.986;0:17.458;0:29.666;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;10;1:42.664;0;;28.099;0;31.450;0;43.115;0;82.3;18:24.285;10:33:24.285;0:28.099;0:31.450;0:43.115;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;11;1:10.164;0;;22.986;0;17.407;0;29.771;0;120.5;19:34.449;10:34:34.449;0:22.986;0:17.407;0:29.771;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;12;1:29.973;0;B;26.143;0;20.905;0;42.925;0;93.9;21:04.422;10:36:04.422;0:26.143;0:20.905;0:42.925;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;13;6:22.985;0;;5:25.272;0;20.509;0;37.204;0;22.1;27:27.407;10:42:27.407;5:25.272;0:20.509;0:37.204;;Lucas DI GRASSI;0:05:07.526;;;Audi Sport Abt Schaeffler Formula E Team;;250;
11;1;14;1:08.299;2;;22.662;2;16.664;2;28.973;2;123.8;28:35.706;10:43:35.706;0:22.662;0:16.664;0:28.973;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;250;
11;1;15;1:13.925;0;;25.602;0;18.552;0;29.771;0;114.3;29:49.631;10:44:49.631;0:25.602;0:18.552;0:29.771;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;16;1:10.253;0;;23.050;0;17.384;0;29.819;0;120.3;30:59.884;10:45:59.884;0:23.050;0:17.384;0:29.819;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
16;1;1;2:47.901;0;;1:41.729;0;23.309;0;42.863;0;50.3;2:47.901;10:17:47.901;1:41.729;0:23.309;0:42.863;;Oliver TURVEY;0:01:10.634;;;NIO Formula E Team;;;
16;1;2;1:11.729;0;;23.642;0;17.713;0;30.374;0;117.8;3:59.630;10:18:59.630;0:23.642;0:17.713;0:30.374;;Oliver TURVEY;;;;NIO Formula E Team;;;
16;1;3;1:11.230;0;;23.274;0;17.681;0;30.275;0;118.7;5:10.860;10:20:10.860;0:23.274;0:17.681;0:30.275;;Oliver TURVEY;;;;NIO Formula E Team;;;
16;1;4;1:28.004;0;;24.911;0;22.199;0;40.894;0;96.1;6:38.864;10:21:38.864;0:24.911;0:22.199;0:40.894;;Oliver TURVEY;;;;NIO Formula E Team;;;
16;1;5;1:11.177;0;;23.283;0;17.693;0;30.201;0;118.8;7:50.041;10:22:50.041;0:23.283;0:17.693;0:30.201;;Oliver TURVEY;;;;NIO Formula E Team;;;
16;1;6;7:53.210;0;B;27.585;0;21.357;0;7:04.268;0;17.9;15:43.251;10:30:43.251;0:27.585;0:21.357;7:04.268;;Oliver TURVEY;;;;NIO Formula E Team;;;
16;1;7;1:28.473;0;;34.822;0;20.294;0;33.357;0;95.5;17:11.724;10:32:11.724;0:34.822;0:20.294;0:33.357;;Oliver TURVEY;0:06:30.138;;;NIO Formula E Team;;225;
16;1;8;1:10.229;0;;23.062;0;17.373;0;29.794;0;120.4;18:21.953;10:33:21.953;0:23.062;0:17.373;0:29.794;;Oliver TURVEY;;;;NIO Formula E Team;;225;
16;1;9;5:42.302;0;B;29.859;0;30.080;0;4:42.363;0;24.7;24:04.255;10:39:04.255;0:29.859;0:30.080;4:42.363;;Oliver TURVEY;;;;NIO Formula E Team;;;
16;1;10;1:42.097;0;;38.276;0;23.989;0;39.832;0;82.8;25:46.352;10:40:46.352;0:38.276;0:23.989;0:39.832;;Oliver TURVEY;0:04:11.891;;;NIO Formula E Team;;;
16;1;11;1:23.411;0;;29.473;0;20.260;0;33.678;0;101.3;27:09.763;10:42:09.763;0:29.473;0:20.260;0:33.678;;Oliver TURVEY;;;;NIO Formula E Team;;250;
16;1;12;1:08.823;2;;22.833;2;16.845;2;29.145;2;122.8;28:18.586;10:43:18.586;0:22.833;0:16.845;0:29.145;;Oliver TURVEY;;;;NIO Formula E Team;;250;
16;1;13;1:33.544;0;;29.240;0;23.599;0;40.705;0;90.4;29:52.130;10:44:52.130;0:29.240;0:23.599;0:40.705;;Oliver TURVEY;;;;NIO Formula E Team;;250;
16;1;14;1:49.319;0;;32.260;0;24.623;0;52.436;0;77.3;31:41.449;10:46:41.449;0:32.260;0:24.623;0:52.436;;Oliver TURVEY;;;;NIO Formula E Team;;;
17;1;1;2:15.882;0;;1:21.488;0;22.676;0;31.718;0;62.2;2:15.882;10:17:15.882;1:21.488;0:22.676;0:31.718;;Gary PAFFETT;0:00:40.101;;;HWA RACELAB;;225;
17;1;2;1:10.833;0;;23.517;0;17.469;0;29.847;0;119.3;3:26.715;10:18:26.715;0:23.517;0:17.469;0:29.847;;Gary PAFFETT;;;;HWA RACELAB;;225;
17;1;3;1:11.108;0;;23.312;2;17.580;0;30.216;0;118.9;4:37.823;10:19:37.823;0:23.312;0:17.580;0:30.216;;Gary PAFFETT;;;;HWA RACELAB;;225;
17;1;4;1:14.541;0;;24.770;0;18.266;0;31.505;0;113.4;5:52.364;10:20:52.364;0:24.770;0:18.266;0:31.505;;Gary PAFFETT;;;;HWA RACELAB;;225;
17;1;5;1:28.359;0;;31.667;0;24.696;0;31.996;0;95.7;7:20.723;10:22:20.723;0:31.667;0:24.696;0:31.996;;Gary PAFFETT;;;;HWA RACELAB;;;
17;1;6;1:13.869;0;;24.042;0;18.489;0;31.338;0;114.4;8:34.592;10:23:34.592;0:24.042;0:18.489;0:31.338;;Gary PAFFETT;;;;HWA RACELAB;;;
17;1;7;1:13.613;0;;23.787;0;18.532;0;31.294;0;114.8;9:48.205;10:24:48.205;0:23.787;0:18.532;0:31.294;;Gary PAFFETT;;;;HWA RACELAB;;;
17;1;8;1:14.274;0;;24.097;0;18.646;0;31.531;0;113.8;11:02.479;10:26:02.479;0:24.097;0:18.646;0:31.531;;Gary PAFFETT;;;;HWA RACELAB;;;
17;1;9;1:13.876;0;;24.007;0;18.540;0;31.329;0;114.4;12:16.355;10:27:16.355;0:24.007;0:18.540;0:31.329;;Gary PAFFETT;;;;HWA RACELAB;;;
17;1;10;1:13.517;0;;23.912;0;18.527;0;31.078;0;115.0;13:29.872;10:28:29.872;0:23.912;0:18.527;0:31.078;;Gary PAFFETT;;;;HWA RACELAB;;;
17;1;11;1:14.240;0;;24.356;0;18.586;0;31.298;0;113.9;14:44.112;10:29:44.112;0:24.356;0:18.586;0:31.298;;Gary PAFFETT;;;;HWA RACELAB;;;
17;1;12;5:35.724;0;B;24.629;0;19.883;0;4:51.212;0;25.2;20:19.836;10:35:19.836;0:24.629;0:19.883;4:51.212;;Gary PAFFETT;;;;HWA RACELAB;;;
17;1;13;1:39.730;0;;40.078;0;23.363;0;36.289;0;84.8;21:59.566;10:36:59.566;0:40.078;0:23.363;0:36.289;;Gary PAFFETT;0:04:26.648;;;HWA RACELAB;;250;
17;1;14;1:10.550;2;;23.689;0;17.026;2;29.835;2;119.8;23:10.116;10:38:10.116;0:23.689;0:17.026;0:29.835;;Gary PAFFETT;;;;HWA RACELAB;;250;
17;1;15;1:11.580;0;;23.487;0;17.804;0;30.289;0;118.1;24:21.696;10:39:21.696;0:23.487;0:17.804;0:30.289;;Gary PAFFETT;;;;HWA RACELAB;;;
17;1;16;4:30.717;0;B;24.302;0;18.825;0;3:47.590;0;31.2;28:52.413;10:43:52.413;0:24.302;0:18.825;3:47.590;;Gary PAFFETT;;;;HWA RACELAB;;;
17;1;17;1:24.934;0;;31.968;0;21.091;0;31.875;0;99.5;30:17.347;10:45:17.347;0:31.968;0:21.091;0:31.875;;Gary PAFFETT;0:03:21.539;;;HWA RACELAB;;;
19;1;1;2:41.847;0;;1:34.312;0;24.980;0;42.555;0;52.2;2:41.847;10:17:41.847;1:34.312;0:24.980;0:42.555;;Felipe MASSA;0:01:01.806;;;Venturi Formula E Team;;225;
19;1;2;1:49.138;0;;23.266;0;17.135;0;1:08.737;0;77.5;4:30.985;10:19:30.985;0:23.266;0:17.135;1:08.737;;Felipe MASSA;;;;Venturi Formula E Team;;225;
19;1;3;1:10.885;0;;23.360;0;17.591;0;29.934;0;119.2;5:41.870;10:20:41.870;0:23.360;0:17.591;0:29.934;;Felipe MASSA;;;;Venturi Formula E Team;;225;
19;1;4;1:30.834;0;;33.055;0;24.880;0;32.899;0;93.1;7:12.704;10:22:12.704;0:33.055;0:24.880;0:32.899;;Felipe MASSA;;;;Venturi Formula E Team;;;
19;1;5;1:10.553;0;;23.088;0;17.572;0;29.893;0;119.8;8:23.257;10:23:23.257;0:23.088;0:17.572;0:29.893;;Felipe MASSA;;;;Venturi Formula E Team;;;
19;1;6;1:32.027;0;;32.953;0;26.624;0;32.450;0;91.9;9:55.284;10:24:55.284;0:32.953;0:26.624;0:32.450;;Felipe MASSA;;;;Venturi Formula E Team;;;
19;1;7;1:13.149;0;;23.804;0;18.427;0;30.918;0;115.6;11:08.433;10:26:08.433;0:23.804;0:18.427;0:30.918;;Felipe MASSA;;;;Venturi Formula E Team;;;
19;1;8;1:13.905;0;;23.956;0;18.464;0;31.485;0;114.4;12:22.338;10:27:22.338;0:23.956;0:18.464;0:31.485;;Felipe MASSA;;;;Venturi Formula E Team;;;
19;1;9;1:12.841;0;;24.016;0;18.309;0;30.516;0;116.0;13:35.179;10:28:35.179;0:24.016;0:18.309;0:30.516;;Felipe MASSA;;;;Venturi Formula E Team;;;
19;1;10;1:29.101;0;;26.191;0;24.832;0;38.078;0;94.9;15:04.280;10:30:04.280;0:26.191;0:24.832;0:38.078;;Felipe MASSA;;;;Venturi Formula E Team;;;
19;1;11;1:11.209;0;;23.114;0;17.746;0;30.349;0;118.7;16:15.489;10:31:15.489;0:23.114;0:17.746;0:30.349;;Felipe MASSA;;;;Venturi Formula E Team;;;
19;1;12;7:01.071;0;B;23.356;0;17.731;0;6:19.984;0;20.1;23:16.560;10:38:16.560;0:23.356;0:17.731;6:19.984;;Felipe MASSA;;;;Venturi Formula E Team;;;
19;1;13;1:35.305;0;;35.249;0;22.561;0;37.495;0;88.7;24:51.865;10:39:51.865;0:35.249;0:22.561;0:37.495;;Felipe MASSA;0:05:56.437;;;Venturi Formula E Team;;250;
19;1;14;1:08.896;2;;22.857;2;16.860;2;29.179;2;122.7;26:00.761;10:41:00.761;0:22.857;0:16.860;0:29.179;;Felipe MASSA;;;;Venturi Formula E Team;;250;
19;1;15;1:41.452;0;;28.298;0;30.118;0;43.036;0;83.3;27:42.213;10:42:42.213;0:28.298;0:30.118;0:43.036;;Felipe MASSA;;;;Venturi Formula E Team;;250;
19;1;16;1:19.723;0;;23.387;0;17.597;0;38.739;0;106.0;29:01.936;10:44:01.936;0:23.387;0:17.597;0:38.739;;Felipe MASSA;;;;Venturi Formula E Team;;;
19;1;17;1:10.738;0;;23.208;0;17.667;0;29.863;0;119.5;30:12.674;10:45:12.674;0:23.208;0:17.667;0:29.863;;Felipe MASSA;;;;Venturi Formula E Team;;;
2;1;1;1:41.718;0;;44.425;0;22.447;0;34.846;0;83.1;1:41.718;10:16:41.718;0:44.425;0:22.447;0:34.846;;Sam BIRD;0:00:13.118;;;Envision Virgin Racing;;;
2;1;2;1:22.295;0;;28.263;0;21.739;0;32.293;0;102.7;3:04.013;10:18:04.013;0:28.263;0:21.739;0:32.293;;Sam BIRD;;;;Envision Virgin Racing;;225;
2;1;3;1:09.329;0;;22.950;0;16.972;0;29.407;0;121.9;4:13.342;10:19:13.342;0:22.950;0:16.972;0:29.407;;Sam BIRD;;;;Envision Virgin Racing;;225;
2;1;4;1:25.304;0;B;24.743;0;18.120;0;42.441;0;99.1;5:38.646;10:20:38.646;0:24.743;0:18.120;0:42.441;;Sam BIRD;;;;Envision Virgin Racing;;;
2;1;5;9:45.418;0;;8:50.466;0;20.055;0;34.897;0;14.4;15:24.064;10:30:24.064;8:50.466;0:20.055;0:34.897;;Sam BIRD;0:08:35.946;;;Envision Virgin Racing;;;
2;1;6;1:32.099;0;;28.127;0;26.329;0;37.643;0;91.8;16:56.163;10:31:56.163;0:28.127;0:26.329;0:37.643;;Sam BIRD;;;;Envision Virgin Racing;;250;
2;1;7;1:08.341;2;;22.661;2;16.692;2;28.988;2;123.7;18:04.504;10:33:04.504;0:22.661;0:16.692;0:28.988;;Sam BIRD;;;;Envision Virgin Racing;;250;
2;1;8;1:11.808;0;;23.642;0;17.743;0;30.423;0;117.7;19:16.312;10:34:16.312;0:23.642;0:17.743;0:30.423;;Sam BIRD;;;;Envision Virgin Racing;;250;
2;1;9;1:48.214;0;;32.726;0;32.048;0;43.440;0;78.1;21:04.526;10:36:04.526;0:32.726;0:32.048;0:43.440;;Sam BIRD;;;;Envision Virgin Racing;;;
2;1;10;1:36.825;0;;34.038;0;28.197;0;34.590;0;87.3;22:41.351;10:37:41.351;0:34.038;0:28.197;0:34.590;;Sam BIRD;;;;Envision Virgin Racing;;;
2;1;11;1:10.214;0;;23.050;0;17.329;0;29.835;0;120.4;23:51.565;10:38:51.565;0:23.050;0:17.329;0:29.835;;Sam BIRD;;;;Envision Virgin Racing;;;
2;1;12;1:59.254;0;;29.631;0;39.300;0;50.323;0;70.9;25:50.819;10:40:50.819;0:29.631;0:39.300;0:50.323;;Sam BIRD;;;;Envision Virgin Racing;;;
2;1;13;1:25.617;0;;24.421;0;26.880;0;34.316;0;98.7;27:16.436;10:42:16.436;0:24.421;0:26.880;0:34.316;;Sam BIRD;;;;Envision Virgin Racing;;;
2;1;14;1:10.564;0;;23.055;0;17.528;0;29.981;0;119.8;28:27.000;10:43:27.000;0:23.055;0:17.528;0:29.981;;Sam BIRD;;;;Envision Virgin Racing;;;
2;1;15;1:25.145;0;;28.296;0;22.800;0;34.049;0;99.3;29:52.145;10:44:52.145;0:28.296;0:22.800;0:34.049;;Sam BIRD;;;;Envision Virgin Racing;;;
2;1;16;1:38.071;0;B;22.820;0;20.043;0;55.208;0;86.2;31:30.216;10:46:30.216;0:22.820;0:20.043;0:55.208;;Sam BIRD;;;;Envision Virgin Racing;;;
20;1;1;2:24.947;0;;1:23.165;0;23.294;0;38.488;0;58.3;2:24.947;10:17:24.947;1:23.165;0:23.294;0:38.488;;Mitch EVANS;0:00:41.899;;;Panasonic Jaguar Racing;;225;
20;1;2;1:09.806;0;;23.025;0;17.089;0;29.692;0;121.1;3:34.753;10:18:34.753;0:23.025;0:17.089;0:29.692;;Mitch EVANS;;;;Panasonic Jaguar Racing;;225;
20;1;3;1:12.635;0;;24.472;0;17.508;0;30.655;0;116.4;4:47.388;10:19:47.388;0:24.472;0:17.508;0:30.655;;Mitch EVANS;;;;Panasonic Jaguar Racing;;;
20;1;4;1:12.909;0;;23.958;0;18.038;0;30.913;0;115.9;6:00.297;10:21:00.297;0:23.958;0:18.038;0:30.913;;Mitch EVANS;;;;Panasonic Jaguar Racing;;;
20;1;5;1:14.153;0;;24.359;0;18.181;0;31.613;0;114.0;7:14.450;10:22:14.450;0:24.359;0:18.181;0:31.613;;Mitch EVANS;;;;Panasonic Jaguar Racing;;;
20;1;6;1:30.902;0;;28.933;0;25.588;0;36.381;0;93.0;8:45.352;10:23:45.352;0:28.933;0:25.588;0:36.381;;Mitch EVANS;;;;Panasonic Jaguar Racing;;;
20;1;7;1:10.385;0;;23.134;0;17.371;0;29.880;0;120.1;9:55.737;10:24:55.737;0:23.134;0:17.371;0:29.880;;Mitch EVANS;;;;Panasonic Jaguar Racing;;;
20;1;8;1:28.339;0;;28.353;0;26.231;0;33.755;0;95.7;11:24.076;10:26:24.076;0:28.353;0:26.231;0:33.755;;Mitch EVANS;;;;Panasonic Jaguar Racing;;;
20;1;9;1:10.586;0;;23.046;0;17.526;0;30.014;0;119.8;12:34.662;10:27:34.662;0:23.046;0:17.526;0:30.014;;Mitch EVANS;;;;Panasonic Jaguar Racing;;;
20;1;10;10:54.305;0;B;25.656;0;18.713;0;10:09.936;0;12.9;23:28.967;10:38:28.967;0:25.656;0:18.713;10:09.936;;Mitch EVANS;;;;Panasonic Jaguar Racing;;;
20;1;11;1:40.688;0;;41.722;0;24.367;0;34.599;0;84.0;25:09.655;10:40:09.655;0:41.722;0:24.367;0:34.599;;Mitch EVANS;0:09:43.818;;;Panasonic Jaguar Racing;;250;
20;1;12;1:08.456;2;;22.781;2;16.654;2;29.021;2;123.5;26:18.111;10:41:18.111;0:22.781;0:16.654;0:29.021;;Mitch EVANS;;;;Panasonic Jaguar Racing;;250;
20;1;13;1:28.103;0;;27.486;0;25.002;0;35.615;0;95.9;27:46.214;10:42:46.214;0:27.486;0:25.002;0:35.615;;Mitch EVANS;;;;Panasonic Jaguar Racing;;;
20;1;14;1:09.902;0;;22.797;0;17.319;0;29.786;0;120.9;28:56.116;10:43:56.116;0:22.797;0:17.319;0:29.786;;Mitch EVANS;;;;Panasonic Jaguar Racing;;;
