NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;
16;1;1;2:30.905;0;;1:32.245;0;23.072;0;35.588;0;56.0;2:30.905;12:22:30.905;1:32.245;0:23.072;0:35.588;;Oliver TURVEY;0:01:01.299;;3;NIO Formula E Team;;;
16;1;2;1:23.812;0;;29.031;0;21.259;0;33.522;0;100.9;3:54.717;12:23:54.717;0:29.031;0:21.259;0:33.522;;Oliver TURVEY;;;3;NIO Formula E Team;;250;
16;1;3;1:09.645;2;;23.176;2;17.018;2;29.451;2;121.4;5:04.362;12:25:04.362;0:23.176;0:17.018;0:29.451;;Oliver TURVEY;;;3;NIO Formula E Team;;250;
22;1;1;1:55.393;0;;53.345;0;25.582;0;36.466;0;73.3;1:55.393;12:21:55.393;0:53.345;0:25.582;0:36.466;;Oliver ROWLAND;0:00:19.925;;3;Nissan e.dams;;250;
22;1;2;1:09.365;2;;23.516;2;16.743;3;29.106;2;121.9;3:04.758;12:23:04.758;0:23.516;0:16.743;0:29.106;;Oliver ROWLAND;;;3;Nissan e.dams;;250;
3;1;1;1:37.157;0;;41.676;0;22.893;0;32.588;0;87.0;1:37.157;12:21:37.157;0:41.676;0:22.893;0:32.588;;Nelson PIQUET;0:00:12.309;;3;Panasonic Jaguar Racing;;250;
3;1;2;1:09.705;2;;23.348;2;16.880;2;29.477;2;121.3;2:46.862;12:22:46.862;0:23.348;0:16.880;0:29.477;;Nelson PIQUET;;;3;Panasonic Jaguar Racing;;250;
6;1;1;2:35.919;0;;1:41.355;0;20.550;0;34.014;0;54.2;2:35.919;12:22:35.919;1:41.355;0:20.550;0:34.014;;Maximilian GÜNTHER;0:01:11.959;;3;GEOX DRAGON;;;
6;1;2;1:23.899;0;;26.795;0;19.056;0;38.048;0;100.7;3:59.818;12:23:59.818;0:26.795;0:19.056;0:38.048;;Maximilian GÜNTHER;;;3;GEOX DRAGON;;250;
6;1;3;1:09.143;2;;22.960;3;16.845;2;29.338;2;122.3;5:08.961;12:25:08.961;0:22.960;0:16.845;0:29.338;;Maximilian GÜNTHER;;;3;GEOX DRAGON;;250;
66;1;1;2:51.085;0;;1:54.670;0;20.258;0;36.157;0;49.4;2:51.085;12:22:51.085;1:54.670;0:20.258;0:36.157;;Daniel ABT;0:01:24.522;;3;Audi Sport Abt Schaeffler Formula E Team;;;
66;1;2;1:20.437;0;;26.825;0;19.871;0;33.741;0;105.1;4:11.522;12:24:11.522;0:26.825;0:19.871;0:33.741;;Daniel ABT;;;3;Audi Sport Abt Schaeffler Formula E Team;;250;
66;1;3;1:09.030;3;;23.169;2;16.815;2;29.046;3;122.5;5:20.552;12:25:20.552;0:23.169;0:16.815;0:29.046;;Daniel ABT;;;3;Audi Sport Abt Schaeffler Formula E Team;;250;
7;1;1;2:20.007;0;;1:22.191;0;21.272;0;36.544;0;60.4;2:20.007;12:22:20.007;1:22.191;0:21.272;0:36.544;;José Maria LOPEZ;0:00:51.244;;3;GEOX DRAGON;;;
7;1;2;1:21.338;0;;28.940;0;20.073;0;32.325;0;103.9;3:41.345;12:23:41.345;0:28.940;0:20.073;0:32.325;;José Maria LOPEZ;;;3;GEOX DRAGON;;250;
7;1;3;1:09.201;2;;23.041;2;16.831;2;29.329;2;122.1;4:50.546;12:24:50.546;0:23.041;0:16.831;0:29.329;;José Maria LOPEZ;;;3;GEOX DRAGON;;250;
